data,h,real,pred
2020-12-27,12,1.0,1.8023770020543917
2021-01-03,12,1.0,6.063985617092941
2021-01-10,12,9.0,9.31631823627781
2021-01-17,12,12.0,11.664528338859231
2021-01-24,12,12.0,19.190603756060256
2021-01-31,12,8.0,4.324806995542796
2021-02-07,12,7.0,9.575026392429693
2021-02-14,12,9.0,21.151533543796067
2021-02-21,12,5.0,6.111327223278263
2021-02-28,12,0.0,16.49669649123045
2021-03-07,12,1.0,2.8197059690876527
2021-03-14,12,1.0,-1.830165615478068
2021-03-21,12,0.0,27.640457750135155
2021-03-28,12,0.0,9.922495652972746
2021-04-04,12,0.0,-1.1813018673039546
2021-04-11,12,1.0,21.354944838880037
2021-04-18,12,0.0,8.360566186293518
2021-04-25,12,1.0,1.1744949021483078
2021-05-02,12,0.0,0.7211118703049094
2021-05-09,12,0.0,0.5314609661859806
2021-05-16,12,0.0,1.8949491042975481
2021-05-23,12,0.0,1.862037973379462
2021-05-30,12,0.0,0.25932935134052565
2021-06-06,12,0.0,-0.04000610349217461
2021-06-13,12,0.0,0.6100610615261569
2021-06-20,12,0.0,-0.02215853109153228
2021-06-27,12,0.0,0.394402151676404
2021-07-04,12,0.0,1.6415229878298627
2021-07-11,12,0.0,0.4270665244338146
2021-07-18,12,0.0,1.4947676889859094
2021-07-25,12,0.0,1.0017923571463456
2021-08-01,12,0.0,-0.06586112738996018
2021-08-08,12,0.0,-0.19921539381576978
2021-08-15,12,0.0,0.3344252769593668
2021-08-22,12,0.0,-0.5132278787264265
2021-08-29,12,0.0,0.7994694066506625
2021-09-05,12,0.0,-0.2217766739644332
2021-09-12,12,1.0,1.1257076355763098
2021-09-19,12,0.0,-0.2835797667180422
2021-09-26,12,0.0,0.2359261133119509
2021-10-03,12,0.0,0.4520054901094808
2021-10-10,12,1.0,-0.021766191767837825
2021-10-17,12,0.0,1.6321189754016392
2021-10-24,12,2.0,1.6666547682506974
2021-10-31,12,0.0,0.5196162782309635
2021-11-07,12,1.0,3.313629002975869
2021-11-14,12,2.0,2.450759798141274
2021-11-21,12,9.0,-0.3048030460553467
2021-11-28,12,20.0,1.2329990813499478
2021-12-05,12,51.0,2.3170739828675067
2021-12-12,12,203.0,16.575604668686058
2021-12-19,12,269.0,0.023695634956689228
2021-12-26,12,463.0,133.37504431105447
2022-01-02,12,482.0,12.572113351661448
2022-01-09,12,524.0,139.17721416420002
2022-01-16,12,753.0,-18.56010326311835
2022-01-23,12,879.0,196.87988255847387
2022-01-30,12,569.0,238.5361390594206
