data,h,real,pred
2020-03-15,12,0.0,8.411254126520964
2020-03-22,12,0.0,-0.6072628778473077
2020-03-29,12,0.0,3.547218459330206
2020-04-05,12,0.0,2.3486945968894855
2020-04-12,12,0.0,0.3589173311548024
2020-04-19,12,0.0,0.19044673571226375
2020-04-26,12,0.0,-0.16893045676410642
2020-05-03,12,0.0,1.6292732054285486
2020-05-10,12,0.0,0.3434238174213054
2020-05-17,12,0.0,-0.34089997453328075
2020-05-24,12,0.0,0.42482647429632797
2020-05-31,12,0.0,0.04092111023099948
2020-06-07,12,0.0,0.16723877138132884
2020-06-14,12,0.0,-0.4033430184741451
2020-06-21,12,0.0,-0.5170035513440059
2020-06-28,12,0.0,-0.00609610281550096
2020-07-05,12,0.0,-0.06291037673305729
2020-07-12,12,0.0,-0.16926698990823866
2020-07-19,12,0.0,0.00547804248386837
2020-07-26,12,0.0,-0.016512282490033614
2020-08-02,12,0.0,-0.001941657018611686
2020-08-09,12,0.0,0.06220904493393383
2020-08-16,12,0.0,0.011357594439372861
2020-08-23,12,0.0,0.1315974933194355
2020-08-30,12,0.0,0.12942880528779344
2020-09-06,12,0.0,0.13128885218902175
2020-09-13,12,0.0,0.3393061129368836
2020-09-20,12,0.0,0.12745641815850237
2020-09-27,12,0.0,0.05105959068165451
2020-10-04,12,0.0,0.6722899420875574
2020-10-11,12,0.0,1.0783209257081932
2020-10-18,12,0.0,2.0184768263973085
2020-10-25,12,0.0,2.393375069309813
2020-11-01,12,0.0,2.426008796407406
2020-11-08,12,0.0,1.9115778600410727
2020-11-15,12,0.0,1.3574150659088713
2020-11-22,12,0.0,2.167895549511943
2020-11-29,12,2.0,1.4391984870229175
2020-12-06,12,0.0,2.4683053125169434
2020-12-13,12,1.0,2.2493768348590772
2020-12-20,12,0.0,9.506679151849404
2020-12-27,12,1.0,37.54977952553587
2021-01-03,12,1.0,26.974810104864904
2021-01-10,12,9.0,23.858630289843585
2021-01-17,12,12.0,18.874508569071043
2021-01-24,12,12.0,40.00492232939333
2021-01-31,12,8.0,14.032322913014774
2021-02-07,12,7.0,15.18097955393274
2021-02-14,12,9.0,13.109616061716642
2021-02-21,12,5.0,43.72618820555476
2021-02-28,12,0.0,25.944874047610313
2021-03-07,12,1.0,14.131372978874039
2021-03-14,12,1.0,0.8840300495828931
2021-03-21,12,0.0,2.656534212414919
2021-03-28,12,0.0,5.320398086241846
2021-04-04,12,0.0,-1.014095590064006
2021-04-11,12,1.0,7.697903072027043
2021-04-18,12,0.0,-1.407213823729415
2021-04-25,12,1.0,-1.0197834004886865
2021-05-02,12,0.0,0.6314418498757645
2021-05-09,12,0.0,0.7300315049050996
2021-05-16,12,0.0,3.4442402494362363
2021-05-23,12,0.0,0.21515470798468003
2021-05-30,12,0.0,0.08571878587297822
2021-06-06,12,0.0,-0.11519768812797107
2021-06-13,12,0.0,0.11315529061451364
2021-06-20,12,0.0,-0.023136596607187802
2021-06-27,12,0.0,-0.18030024648335471
2021-07-04,12,0.0,0.13551796568059088
2021-07-11,12,0.0,0.03682923587251157
2021-07-18,12,0.0,0.07970305485129567
2021-07-25,12,0.0,-0.08000470491989722
2021-08-01,12,0.0,0.018094188097134988
2021-08-08,12,0.0,0.04422019496787285
2021-08-15,12,0.0,-0.0896290561799831
2021-08-22,12,0.0,-0.03975194427185642
