data,h,real,pred
2020-01-12,12,2.0,26.260460956135724
2020-01-19,12,3.0,46.65588398163032
2020-01-26,12,1.0,46.90144429147892
2020-02-02,12,0.0,46.487971720131036
2020-02-09,12,0.0,49.623947591650406
2020-02-16,12,0.0,46.790016323564
2020-02-23,12,1.0,51.495471961285105
2020-03-01,12,0.0,34.80653211967829
2020-03-08,12,0.0,18.37744670986636
2020-03-15,12,0.0,17.706128711547144
2020-03-22,12,0.0,0.8127848845178101
2020-03-29,12,0.0,11.977121153519947
2020-04-05,12,0.0,2.704554612230748
2020-04-12,12,0.0,-4.228980282559262
2020-04-19,12,0.0,-3.7595223661059416
2020-04-26,12,0.0,2.8793953488845196
2020-05-03,12,0.0,0.26860488609459265
2020-05-10,12,0.0,-4.008088892349627
2020-05-17,12,0.0,-0.045112101634301675
2020-05-24,12,0.0,-0.6869467131739274
2020-05-31,12,0.0,-0.5363340077706567
2020-06-07,12,0.0,-0.48216668869773704
2020-06-14,12,0.0,-0.3969314491617905
2020-06-21,12,0.0,-0.47691049638656585
2020-06-28,12,0.0,-0.28862368268923205
2020-07-05,12,0.0,0.03696656840531434
2020-07-12,12,0.0,-0.70102979077458
2020-07-19,12,0.0,0.1004672719779912
2020-07-26,12,0.0,-0.02646495242701306
2020-08-02,12,0.0,0.05297226350490825
2020-08-09,12,0.0,0.3367317626006292
2020-08-16,12,0.0,0.0880628757988685
2020-08-23,12,0.0,0.29222099693233927
2020-08-30,12,0.0,0.1900160968530045
2020-09-06,12,0.0,0.11325380054353364
2020-09-13,12,0.0,0.24228446097573966
2020-09-20,12,0.0,0.1053584370632752
2020-09-27,12,0.0,0.16075736985589
2020-10-04,12,0.0,0.8234610083823152
2020-10-11,12,0.0,1.2605159461788078
2020-10-18,12,0.0,2.8761746860450987
2020-10-25,12,0.0,2.3685312900644253
2020-11-01,12,0.0,2.543035543912607
2020-11-08,12,0.0,1.4610385376834587
2020-11-15,12,0.0,1.898852888566471
2020-11-22,12,0.0,2.0980740414008614
2020-11-29,12,2.0,1.764003699333584
2020-12-06,12,0.0,1.957886617440886
2020-12-13,12,1.0,0.02260891633223326
2020-12-20,12,0.0,5.3797452993604296
2020-12-27,12,1.0,19.779022848535146
2021-01-03,12,1.0,15.54142812919258
2021-01-10,12,9.0,9.913829143361477
2021-01-17,12,12.0,5.394140584397392
2021-01-24,12,12.0,2.945837285260929
2021-01-31,12,8.0,31.186698966891612
2021-02-07,12,7.0,31.00514665719433
2021-02-14,12,9.0,31.908738788605483
2021-02-21,12,5.0,12.91070168852699
2021-02-28,12,0.0,0.13159296291213746
2021-03-07,12,1.0,0.33606805127050887
2021-03-14,12,1.0,-0.3812815656800204
2021-03-21,12,0.0,1.0316645386476808
2021-03-28,12,0.0,2.0982423383936935
2021-04-04,12,0.0,-0.2676091629298546
2021-04-11,12,1.0,-0.2846373391801858
2021-04-18,12,0.0,0.06733637401299163
2021-04-25,12,1.0,-0.1376952776349769
2021-05-02,12,0.0,-0.1523812470166876
2021-05-09,12,0.0,0.5097052870244759
2021-05-16,12,0.0,0.8004245913755378
2021-05-23,12,0.0,0.4957019292712205
2021-05-30,12,0.0,1.016830495915838
2021-06-06,12,0.0,-0.2953495671696294
2021-06-13,12,0.0,0.22211120316626987
2021-06-20,12,0.0,-0.4233215594423633
2021-06-27,12,0.0,-0.0046169962373021085
2021-07-04,12,0.0,0.01841791699432373
2021-07-11,12,0.0,0.07742499386898297
2021-07-18,12,0.0,0.16660603770687252
2021-07-25,12,0.0,-0.03242592356006814
2021-08-01,12,0.0,0.14335156678413227
2021-08-08,12,0.0,-0.014736283941537745
2021-08-15,12,0.0,-0.0035144687298924323
2021-08-22,12,0.0,-0.023329346993024507
2021-08-29,12,0.0,-0.021933855541663286
2021-09-05,12,0.0,-0.02015781466557157
2021-09-12,12,1.0,0.10189690544728484
2021-09-19,12,0.0,0.3908017816871665
2021-09-26,12,0.0,0.9825923522098047
2021-10-03,12,0.0,0.49493989191306115
2021-10-10,12,1.0,0.70475899958466
2021-10-17,12,0.0,0.6989509260484813
2021-10-24,12,2.0,1.716151289258749
2021-10-31,12,0.0,-0.04064529203152785
2021-11-07,12,1.0,1.2874525753467267
2021-11-14,12,2.0,6.068166329915995
2021-11-21,12,9.0,-0.7933597116396964
2021-11-28,12,20.0,-1.281593467607993
2021-12-05,12,51.0,14.282845553956564
2021-12-12,12,203.0,6.687753239238487
2021-12-19,12,269.0,7.2210406686440045
2021-12-26,12,463.0,110.44229455633139
2022-01-02,12,482.0,271.0828382278018
2022-01-09,12,524.0,243.34905393107093
2022-01-16,12,753.0,280.2401149097985
2022-01-23,12,879.0,141.67206629418234
2022-01-30,12,569.0,68.9050743237593
