algoritmo,conjunto,h,n,MAE,R2
elastic_net,M0_clima6,1,131,84.50321020371784,0.8515901071283938
elastic_net,M0_clima6,2,131,106.56879984243662,0.7379065657641175
elastic_net,M0_clima6,3,130,132.86432761261585,0.6476796360126107
elastic_net,M0_clima6,4,130,140.47556665847065,0.5792057808270765
elastic_net,M0_clima6,5,129,170.09151564326552,0.4700291796914713
elastic_net,M0_clima6,6,129,183.97975372758046,0.36271022306006906
elastic_net,M0_clima6,7,128,186.93446084047685,0.3008896952071436
elastic_net,M0_clima6,8,128,195.79648041191967,0.2233609824506687
elastic_net,M0_clima6,9,127,194.51313570677155,0.19585144415514766
elastic_net,M0_clima6,10,127,200.75265666130687,0.16702511308921864
elastic_net,M0_clima6,11,126,192.94595488790085,0.1681096081710871
elastic_net,M0_clima6,12,126,198.83326739426326,0.1484915064672998
elastic_net,M1_clima6_vetor,1,125,78.09102713846681,0.862565222293687
elastic_net,M1_clima6_vetor,2,125,109.85653562690622,0.7346624629624692
elastic_net,M1_clima6_vetor,3,124,117.40208463202259,0.726328789390785
elastic_net,M1_clima6_vetor,4,124,143.55447340518782,0.5969523171040882
elastic_net,M1_clima6_vetor,5,123,163.97845180615812,0.5692558749756518
elastic_net,M1_clima6_vetor,6,123,166.27348727943365,0.4803941203954061
elastic_net,M1_clima6_vetor,7,122,175.28496519766767,0.4429605424572304
elastic_net,M1_clima6_vetor,8,122,169.95575708710984,0.40820720515843445
elastic_net,M1_clima6_vetor,9,121,192.38752278168096,0.3679741519986507
elastic_net,M1_clima6_vetor,10,121,188.83262147912689,0.3532802758860052
elastic_net,M1_clima6_vetor,11,120,204.9452953917144,0.33318932216975383
elastic_net,M1_clima6_vetor,12,120,197.695023782559,0.2856375552494004
elastic_net,M0_clima8,1,131,83.17938874321585,0.8529051448148379
elastic_net,M0_clima8,2,131,104.75793161119171,0.7409150772829447
elastic_net,M0_clima8,3,130,131.47396298098886,0.6504709810431992
elastic_net,M0_clima8,4,130,139.44684696417085,0.5815519317689254
elastic_net,M0_clima8,5,129,169.80889080999788,0.4724835296695161
elastic_net,M0_clima8,6,129,183.5025519993462,0.3670371597380554
elastic_net,M0_clima8,7,128,186.5367852686452,0.3040368877284846
elastic_net,M0_clima8,8,128,195.568395177968,0.22598734475901738
elastic_net,M0_clima8,9,127,195.00440366682056,0.198843448552535
elastic_net,M0_clima8,10,127,201.35490121904067,0.16875022788059224
elastic_net,M0_clima8,11,126,193.20728030795482,0.17042933466731258
elastic_net,M0_clima8,12,126,198.73376897462575,0.1527699645637467
elastic_net,M1_clima8_vetor,1,125,77.15617335919664,0.8634462159785223
elastic_net,M1_clima8_vetor,2,125,108.72321567872741,0.7369114204127004
elastic_net,M1_clima8_vetor,3,124,116.3531026555297,0.7280976228128841
elastic_net,M1_clima8_vetor,4,124,142.48251870362736,0.5983551638450644
elastic_net,M1_clima8_vetor,5,123,163.4356987012654,0.5700683343325829
elastic_net,M1_clima8_vetor,6,123,165.49425519333622,0.4813857636284199
elastic_net,M1_clima8_vetor,7,122,174.58043104094105,0.4428997406644447
elastic_net,M1_clima8_vetor,8,122,169.96257946241815,0.40671569001694674
elastic_net,M1_clima8_vetor,9,121,192.8749141499838,0.36721612148900784
elastic_net,M1_clima8_vetor,10,121,189.11775710705953,0.3524499018357844
elastic_net,M1_clima8_vetor,11,120,205.08333417908787,0.33419222712885854
elastic_net,M1_clima8_vetor,12,120,197.57556782668905,0.28987578981951445
