algoritmo,conjunto,h,n,MAE,R2
extra_trees,M0_clima6,1,131,85.09969054984712,0.8292694698778468
extra_trees,M0_clima6,2,131,99.00731384342578,0.764177581900382
extra_trees,M0_clima6,3,130,114.38215288749386,0.7096827421193568
extra_trees,M0_clima6,4,130,111.53270375351946,0.7165711006426336
extra_trees,M0_clima6,5,129,115.7079538712717,0.6882587919028589
extra_trees,M0_clima6,6,129,120.06932790790412,0.6858402346222863
extra_trees,M0_clima6,7,128,116.50819810514452,0.6610647194558706
extra_trees,M0_clima6,8,128,121.4743032222501,0.6456249557119852
extra_trees,M0_clima6,9,127,121.54851901991364,0.6295696423230415
extra_trees,M0_clima6,10,127,125.8286542549285,0.6310516937272603
extra_trees,M0_clima6,11,126,124.70688996902828,0.6168665823298455
extra_trees,M0_clima6,12,126,129.8102403050057,0.5964511254682195
extra_trees,M1_clima6_vetor,1,125,70.80140348144451,0.8612842460841481
extra_trees,M1_clima6_vetor,2,125,102.70349751663157,0.7303540271853213
extra_trees,M1_clima6_vetor,3,124,110.0687606012917,0.735893743331185
extra_trees,M1_clima6_vetor,4,124,115.6069325100676,0.680172249694915
extra_trees,M1_clima6_vetor,5,123,126.362618060801,0.6546063542040319
extra_trees,M1_clima6_vetor,6,123,116.97434080388472,0.6538034351979247
extra_trees,M1_clima6_vetor,7,122,121.61008937830414,0.6546698274243554
extra_trees,M1_clima6_vetor,8,122,111.14562296714851,0.6835366463989161
extra_trees,M1_clima6_vetor,9,121,120.47037368833338,0.67576814692711
extra_trees,M1_clima6_vetor,10,121,109.5289023769313,0.7125008394831676
extra_trees,M1_clima6_vetor,11,120,123.51635990429325,0.6863248780609423
extra_trees,M1_clima6_vetor,12,120,111.14989464582484,0.7219917744853593
extra_trees,M0_clima8,1,131,84.80107152363858,0.8312360551057485
extra_trees,M0_clima8,2,131,99.41233284450995,0.767618372515819
extra_trees,M0_clima8,3,130,114.42806424187019,0.709770696032713
extra_trees,M0_clima8,4,130,108.73411887407252,0.7303147897916329
extra_trees,M0_clima8,5,129,116.19849261819101,0.6870323215066282
extra_trees,M0_clima8,6,129,120.18998680032749,0.6832456553065791
extra_trees,M0_clima8,7,128,117.98565738327406,0.6536394462265049
extra_trees,M0_clima8,8,128,124.8519813108388,0.6250799235710949
extra_trees,M0_clima8,9,127,123.79050635527456,0.608999656384952
extra_trees,M0_clima8,10,127,130.49647335376588,0.5951665276253968
extra_trees,M0_clima8,11,126,126.85669989964823,0.6025890668855722
extra_trees,M0_clima8,12,126,130.81214778317437,0.5836662796839441
extra_trees,M1_clima8_vetor,1,125,70.48594902797205,0.8617074724908191
extra_trees,M1_clima8_vetor,2,125,102.33810227413333,0.7357236714567199
extra_trees,M1_clima8_vetor,3,124,109.0441647541527,0.7408122150443115
extra_trees,M1_clima8_vetor,4,124,113.56336750107721,0.685793079656785
extra_trees,M1_clima8_vetor,5,123,123.32834705463162,0.662830253183599
extra_trees,M1_clima8_vetor,6,123,112.65933554807133,0.6778929335802458
extra_trees,M1_clima8_vetor,7,122,120.05773335875391,0.6592378425657153
extra_trees,M1_clima8_vetor,8,122,110.73856044145596,0.6866877630972957
extra_trees,M1_clima8_vetor,9,121,119.04858973177876,0.6832383469144214
extra_trees,M1_clima8_vetor,10,121,109.7864291886565,0.710480820579648
extra_trees,M1_clima8_vetor,11,120,124.43621748475289,0.6808483453713363
extra_trees,M1_clima8_vetor,12,120,112.55140333805856,0.7170888956736572
