algoritmo,conjunto,h,n,MAE,R2
gradient_boosting,M0_clima6,1,131,67.38930261908955,0.8873771902333447
gradient_boosting,M0_clima6,2,131,87.42857417318669,0.7836884664731509
gradient_boosting,M0_clima6,3,130,87.27800217303599,0.8001443895353824
gradient_boosting,M0_clima6,4,130,88.81262394212071,0.8007198473726111
gradient_boosting,M0_clima6,5,129,96.4190956119617,0.7398693644396566
gradient_boosting,M0_clima6,6,129,100.74591562267246,0.7575055134230897
gradient_boosting,M0_clima6,7,128,109.14372863761687,0.6738389222565826
gradient_boosting,M0_clima6,8,128,116.64774874525052,0.6893806881477544
gradient_boosting,M0_clima6,9,127,121.49324811781601,0.6703336509545947
gradient_boosting,M0_clima6,10,127,114.97068521491273,0.7179209962193608
gradient_boosting,M0_clima6,11,126,124.8403422132627,0.6681650482087883
gradient_boosting,M0_clima6,12,126,133.39035148679224,0.6088538728141745
gradient_boosting,M1_clima6_vetor,1,125,61.461362552171465,0.88669029971201
gradient_boosting,M1_clima6_vetor,2,125,84.97359707005171,0.7535808123560208
gradient_boosting,M1_clima6_vetor,3,124,92.78286802021712,0.765533008166811
gradient_boosting,M1_clima6_vetor,4,124,101.80667489253197,0.7359828810551964
gradient_boosting,M1_clima6_vetor,5,123,117.29147697153125,0.6737717238022682
gradient_boosting,M1_clima6_vetor,6,123,101.88258956422735,0.7328002158952979
gradient_boosting,M1_clima6_vetor,7,122,109.47002698598884,0.7227457063332231
gradient_boosting,M1_clima6_vetor,8,122,107.30313327262651,0.7563953981553615
gradient_boosting,M1_clima6_vetor,9,121,125.2564008538369,0.6726934803787812
gradient_boosting,M1_clima6_vetor,10,121,108.8704040924721,0.7635709758089732
gradient_boosting,M1_clima6_vetor,11,120,132.45670164831574,0.6554111931209179
gradient_boosting,M1_clima6_vetor,12,120,120.01364925473915,0.6913018506388474
gradient_boosting,M0_clima8,1,131,69.55982764174594,0.8849026023213467
gradient_boosting,M0_clima8,2,131,85.5093309691526,0.8028641187512165
gradient_boosting,M0_clima8,3,130,87.93873043348167,0.8047540711154697
gradient_boosting,M0_clima8,4,130,88.8474520412494,0.8135387723982073
gradient_boosting,M0_clima8,5,129,99.69539985364979,0.737241517200971
gradient_boosting,M0_clima8,6,129,103.13918402756687,0.7660543499241722
gradient_boosting,M0_clima8,7,128,111.7815938086875,0.66447497932528
gradient_boosting,M0_clima8,8,128,115.09165896922448,0.6912072638081237
gradient_boosting,M0_clima8,9,127,119.44886680486024,0.6385672623953784
gradient_boosting,M0_clima8,10,127,119.88758368186278,0.6624049348681321
gradient_boosting,M0_clima8,11,126,135.7363171374391,0.5848015856525759
gradient_boosting,M0_clima8,12,126,128.98719418907865,0.6206445950070962
gradient_boosting,M1_clima8_vetor,1,125,60.717968772143855,0.8844864974403281
gradient_boosting,M1_clima8_vetor,2,125,83.61034036079755,0.7691318389546025
gradient_boosting,M1_clima8_vetor,3,124,91.5747809725796,0.7698027402614952
gradient_boosting,M1_clima8_vetor,4,124,102.37438414241738,0.7288537872728491
gradient_boosting,M1_clima8_vetor,5,123,117.11638254575384,0.6898725074582951
gradient_boosting,M1_clima8_vetor,6,123,102.07330427872503,0.7495752698059067
gradient_boosting,M1_clima8_vetor,7,122,109.03676630321279,0.7178162126695838
gradient_boosting,M1_clima8_vetor,8,122,103.90487970063855,0.7718921026671206
gradient_boosting,M1_clima8_vetor,9,121,122.3837142783326,0.6833195429159945
gradient_boosting,M1_clima8_vetor,10,121,105.79293452399753,0.7728887619021696
gradient_boosting,M1_clima8_vetor,11,120,126.71965517384957,0.6685662091508988
gradient_boosting,M1_clima8_vetor,12,120,117.34341118664005,0.6990247508347928
