algoritmo,conjunto,h,n,MAE,R2
hist_gradient_boosting,M0_clima6,1,131,68.46967891963618,0.8732483244792595
hist_gradient_boosting,M0_clima6,2,131,88.81025750829183,0.7847688219648269
hist_gradient_boosting,M0_clima6,3,130,92.25695803403688,0.7848853342602579
hist_gradient_boosting,M0_clima6,4,130,93.76351735332943,0.7732806774411137
hist_gradient_boosting,M0_clima6,5,129,101.86703388094095,0.7061408411686219
hist_gradient_boosting,M0_clima6,6,129,101.80065211931324,0.7397117843171621
hist_gradient_boosting,M0_clima6,7,128,105.69251253086821,0.7197399941391434
hist_gradient_boosting,M0_clima6,8,128,119.73417502437279,0.6747500551866616
hist_gradient_boosting,M0_clima6,9,127,111.9507820066866,0.6818523639334715
hist_gradient_boosting,M0_clima6,10,127,112.97035218862808,0.7245025561667147
hist_gradient_boosting,M0_clima6,11,126,113.25002978298627,0.7016132195764871
hist_gradient_boosting,M0_clima6,12,126,138.61529402071662,0.590348901224033
hist_gradient_boosting,M1_clima6_vetor,1,125,59.67115983568628,0.9009605255560008
hist_gradient_boosting,M1_clima6_vetor,2,125,84.623089049863,0.7713662221328452
hist_gradient_boosting,M1_clima6_vetor,3,124,91.90508151639291,0.7735907726605438
hist_gradient_boosting,M1_clima6_vetor,4,124,103.75596808131891,0.7305661534773848
hist_gradient_boosting,M1_clima6_vetor,5,123,112.22253549701198,0.6997966381688631
hist_gradient_boosting,M1_clima6_vetor,6,123,105.5664424333318,0.7228457833867432
hist_gradient_boosting,M1_clima6_vetor,7,122,99.62682178739479,0.7545336346861531
hist_gradient_boosting,M1_clima6_vetor,8,122,92.85836745403742,0.8175751606979067
hist_gradient_boosting,M1_clima6_vetor,9,121,123.09633352044331,0.681416965175651
hist_gradient_boosting,M1_clima6_vetor,10,121,103.27177288296834,0.7660997531221212
hist_gradient_boosting,M1_clima6_vetor,11,120,124.46851006784188,0.677964585623077
hist_gradient_boosting,M1_clima6_vetor,12,120,117.74887796472098,0.699790713988927
hist_gradient_boosting,M0_clima8,1,131,71.19893941139846,0.865787457743642
hist_gradient_boosting,M0_clima8,2,131,88.38233751370888,0.7893246602788951
hist_gradient_boosting,M0_clima8,3,130,90.15450725624827,0.7978857516906115
hist_gradient_boosting,M0_clima8,4,130,97.02483322233725,0.7732010827209428
hist_gradient_boosting,M0_clima8,5,129,100.38320632968819,0.7161685489934757
hist_gradient_boosting,M0_clima8,6,129,103.58662853126529,0.7556846585160166
hist_gradient_boosting,M0_clima8,7,128,105.72585998283151,0.7275084892175833
hist_gradient_boosting,M0_clima8,8,128,118.40104943781989,0.6731935529260538
hist_gradient_boosting,M0_clima8,9,127,114.46435344799457,0.6615235588401052
hist_gradient_boosting,M0_clima8,10,127,122.14569050905556,0.6618672103074348
hist_gradient_boosting,M0_clima8,11,126,126.51622454332924,0.632466658859608
hist_gradient_boosting,M0_clima8,12,126,136.62354191384935,0.5986379757063455
hist_gradient_boosting,M1_clima8_vetor,1,125,60.04370378678408,0.9003495488380304
hist_gradient_boosting,M1_clima8_vetor,2,125,84.3329488404811,0.7769333069055963
hist_gradient_boosting,M1_clima8_vetor,3,124,90.90762202640045,0.7855392930018561
hist_gradient_boosting,M1_clima8_vetor,4,124,104.70765779940368,0.729942860905692
hist_gradient_boosting,M1_clima8_vetor,5,123,109.39688251674583,0.7212947651707132
hist_gradient_boosting,M1_clima8_vetor,6,123,108.01656106556302,0.7147387139660415
hist_gradient_boosting,M1_clima8_vetor,7,122,103.95524441076418,0.7345958870297395
hist_gradient_boosting,M1_clima8_vetor,8,122,93.36499343184677,0.8148729994013635
hist_gradient_boosting,M1_clima8_vetor,9,121,122.50204131352022,0.6841727507902862
hist_gradient_boosting,M1_clima8_vetor,10,121,108.87702677025442,0.765373173019515
hist_gradient_boosting,M1_clima8_vetor,11,120,128.4294095527726,0.6581908154098118
hist_gradient_boosting,M1_clima8_vetor,12,120,118.24612941697234,0.6835566495075773
