algoritmo,conjunto,h,n,MAE,R2
knn,M0_clima6,1,131,90.94276535685698,0.7992169540773774
knn,M0_clima6,2,131,105.63619794749405,0.6956317447890978
knn,M0_clima6,3,130,126.81601259781671,0.6406753204791988
knn,M0_clima6,4,130,126.72620476363126,0.6243569862546866
knn,M0_clima6,5,129,136.02675881780644,0.5630880761020969
knn,M0_clima6,6,129,143.18302111230156,0.5155366192581443
knn,M0_clima6,7,128,140.66623932569757,0.5052448912878558
knn,M0_clima6,8,128,147.62619188687898,0.4311995014322587
knn,M0_clima6,9,127,142.06204926405525,0.4745138423622256
knn,M0_clima6,10,127,149.94119647957953,0.3995173590535641
knn,M0_clima6,11,126,147.57335006395297,0.4255821650726883
knn,M0_clima6,12,126,158.70727475686806,0.38518691828626384
knn,M1_clima6_vetor,1,125,80.1629599865694,0.8070312716060918
knn,M1_clima6_vetor,2,125,107.83938302032078,0.6808087109880785
knn,M1_clima6_vetor,3,124,113.57612455435391,0.6739693647713929
knn,M1_clima6_vetor,4,124,130.1055592758147,0.5721790811600282
knn,M1_clima6_vetor,5,123,137.36141091638214,0.5911158979876108
knn,M1_clima6_vetor,6,123,136.51255472401593,0.5538324249162352
knn,M1_clima6_vetor,7,122,141.06320644171097,0.5713651992245988
knn,M1_clima6_vetor,8,122,125.90706980690689,0.634637113361054
knn,M1_clima6_vetor,9,121,128.800710593604,0.634943057458722
knn,M1_clima6_vetor,10,121,113.23507103468883,0.7123013521926005
knn,M1_clima6_vetor,11,120,126.41685910684556,0.688696494618172
knn,M1_clima6_vetor,12,120,111.76881367035843,0.7210503796283079
knn,M0_clima8,1,131,92.00356295967943,0.7972379956564691
knn,M0_clima8,2,131,104.64740969979728,0.7107153906286643
knn,M0_clima8,3,130,126.36224765692769,0.649287924048708
knn,M0_clima8,4,130,125.97387975070706,0.6303259656987084
knn,M0_clima8,5,129,133.70146038870084,0.5784799790898594
knn,M0_clima8,6,129,140.3257454651657,0.5330530053357903
knn,M0_clima8,7,128,139.09349694606698,0.5157953847520407
knn,M0_clima8,8,128,144.44963671109213,0.4574767039829133
knn,M0_clima8,9,127,139.7211321674213,0.49889137549243245
knn,M0_clima8,10,127,148.07445046305259,0.41452555268612856
knn,M0_clima8,11,126,146.45286013397916,0.4440529518968416
knn,M0_clima8,12,126,157.72427656439655,0.3963393627305075
knn,M1_clima8_vetor,1,125,79.97629840600229,0.8074666028518072
knn,M1_clima8_vetor,2,125,107.73310154395216,0.6821271962949873
knn,M1_clima8_vetor,3,124,114.48307376440576,0.6713641171964294
knn,M1_clima8_vetor,4,124,131.4723070617061,0.5682630651992258
knn,M1_clima8_vetor,5,123,138.08352716876826,0.5897302889883804
knn,M1_clima8_vetor,6,123,137.49659471853485,0.548555126540406
knn,M1_clima8_vetor,7,122,141.49778246123415,0.5622808497659664
knn,M1_clima8_vetor,8,122,126.14720279692686,0.6219686836090595
knn,M1_clima8_vetor,9,121,129.6815802052062,0.6289934000343136
knn,M1_clima8_vetor,10,121,115.1201195263694,0.6990123549685737
knn,M1_clima8_vetor,11,120,127.39155074800547,0.6849670949217641
knn,M1_clima8_vetor,12,120,110.52062274215713,0.732182893397214
