algoritmo,conjunto,h,n,MAE,R2
lightgbm,M0_clima6,1,131,80.53340442574974,0.8101722004978603
lightgbm,M0_clima6,2,131,95.68780779562375,0.7317730812284617
lightgbm,M0_clima6,3,130,96.99105329137234,0.7376797367259085
lightgbm,M0_clima6,4,130,97.88115881224175,0.7436259409851147
lightgbm,M0_clima6,5,129,98.78449285905963,0.7183383516671487
lightgbm,M0_clima6,6,129,107.89189224399217,0.711947448836388
lightgbm,M0_clima6,7,128,106.18616469506317,0.6970662588849218
lightgbm,M0_clima6,8,128,116.44996023599975,0.681101441550198
lightgbm,M0_clima6,9,127,109.08784191035815,0.6925862641059375
lightgbm,M0_clima6,10,127,114.47244502315307,0.7085517322929777
lightgbm,M0_clima6,11,126,124.49356152756461,0.6371688897355775
lightgbm,M0_clima6,12,126,132.12923224510303,0.6193199530695128
lightgbm,M1_clima6_vetor,1,125,60.161943484719316,0.8973308947885646
lightgbm,M1_clima6_vetor,2,125,103.75401588777214,0.6622689685853006
lightgbm,M1_clima6_vetor,3,124,111.37084600125687,0.6634607622050663
lightgbm,M1_clima6_vetor,4,124,116.10061162499039,0.6363466816064962
lightgbm,M1_clima6_vetor,5,123,124.2885724474152,0.6162188489729086
lightgbm,M1_clima6_vetor,6,123,113.2999631226018,0.6729439162640993
lightgbm,M1_clima6_vetor,7,122,109.72569106582984,0.7001757933363333
lightgbm,M1_clima6_vetor,8,122,100.39418547555682,0.8139970497652512
lightgbm,M1_clima6_vetor,9,121,127.94137285074895,0.662722604178893
lightgbm,M1_clima6_vetor,10,121,105.64081433671862,0.7644107584119493
lightgbm,M1_clima6_vetor,11,120,123.42239415405713,0.6777808032323148
lightgbm,M1_clima6_vetor,12,120,126.35083439401838,0.6220536081745536
lightgbm,M0_clima8,1,131,79.40109783536656,0.8199577593347307
lightgbm,M0_clima8,2,131,92.11847794704768,0.7629120139084499
lightgbm,M0_clima8,3,130,92.46636972581292,0.765241963313341
lightgbm,M0_clima8,4,130,94.91423412377301,0.7579344239333891
lightgbm,M0_clima8,5,129,102.41745177113482,0.7049360542760905
lightgbm,M0_clima8,6,129,109.42477348868871,0.7245829929500777
lightgbm,M0_clima8,7,128,107.42769814898347,0.6927427405808331
lightgbm,M0_clima8,8,128,115.68946629897154,0.68213270049104
lightgbm,M0_clima8,9,127,116.63122124360817,0.6483632362610028
lightgbm,M0_clima8,10,127,123.52555123537257,0.6516353891831452
lightgbm,M0_clima8,11,126,131.16577895642038,0.5949308222037281
lightgbm,M0_clima8,12,126,136.5519231911706,0.5736573585910703
lightgbm,M1_clima8_vetor,1,125,61.46675715141079,0.8928445961341233
lightgbm,M1_clima8_vetor,2,125,103.45347664151322,0.6744080288116843
lightgbm,M1_clima8_vetor,3,124,110.97648615368479,0.6620782928341258
lightgbm,M1_clima8_vetor,4,124,112.94388529630122,0.662198186670795
lightgbm,M1_clima8_vetor,5,123,121.52754230706574,0.6415400156214048
lightgbm,M1_clima8_vetor,6,123,114.24706387808806,0.6698782553412159
lightgbm,M1_clima8_vetor,7,122,109.31641293847063,0.7007554233270415
lightgbm,M1_clima8_vetor,8,122,95.19245335124656,0.8183584668481909
lightgbm,M1_clima8_vetor,9,121,122.60791863149495,0.670205175645251
lightgbm,M1_clima8_vetor,10,121,101.26949108312614,0.7983448211772076
lightgbm,M1_clima8_vetor,11,120,124.57699323168005,0.6751980993326889
lightgbm,M1_clima8_vetor,12,120,123.69899609466457,0.6298127370747961
