algoritmo,conjunto,h,n,MAE,R2
random_forest,M0_clima6,1,131,85.67076820044788,0.8285649280169092
random_forest,M0_clima6,2,131,102.12585272521264,0.7660067764406493
random_forest,M0_clima6,3,130,112.98389320843756,0.721387803982007
random_forest,M0_clima6,4,130,117.40660680335624,0.6981271095333366
random_forest,M0_clima6,5,129,122.21298370421974,0.677436097549905
random_forest,M0_clima6,6,129,121.09933704413679,0.6796856301846549
random_forest,M0_clima6,7,128,127.77014985511501,0.5789458406385389
random_forest,M0_clima6,8,128,138.59395510014303,0.545401100582052
random_forest,M0_clima6,9,127,140.56243946410714,0.5210923518645676
random_forest,M0_clima6,10,127,145.78043659089263,0.5189143796386999
random_forest,M0_clima6,11,126,147.400457546664,0.49891373128307903
random_forest,M0_clima6,12,126,149.09066172455073,0.4660241889743294
random_forest,M1_clima6_vetor,1,125,74.95493318426269,0.8530771125939437
random_forest,M1_clima6_vetor,2,125,105.62891614183037,0.7222705587600116
random_forest,M1_clima6_vetor,3,124,114.34423486195202,0.7233477618314217
random_forest,M1_clima6_vetor,4,124,116.60754770042466,0.6660097817498645
random_forest,M1_clima6_vetor,5,123,132.36027932351348,0.618048681730895
random_forest,M1_clima6_vetor,6,123,122.66292308411401,0.6186405454918201
random_forest,M1_clima6_vetor,7,122,126.08235046895429,0.6334820178948605
random_forest,M1_clima6_vetor,8,122,123.56014314864743,0.639508354652915
random_forest,M1_clima6_vetor,9,121,139.93343415923184,0.588888151304144
random_forest,M1_clima6_vetor,10,121,131.12316916212987,0.5848897146481515
random_forest,M1_clima6_vetor,11,120,152.76206022364184,0.5196350762121149
random_forest,M1_clima6_vetor,12,120,142.5438172734444,0.5328042563469378
random_forest,M0_clima8,1,131,85.4713333098457,0.8302561503325032
random_forest,M0_clima8,2,131,101.74984440265084,0.7691162348287959
random_forest,M0_clima8,3,130,112.42396157430562,0.7282500135728776
random_forest,M0_clima8,4,130,116.02989830493928,0.7050547765119213
random_forest,M0_clima8,5,129,122.74559296154364,0.6722295121502044
random_forest,M0_clima8,6,129,122.71301319995186,0.6737177815120889
random_forest,M0_clima8,7,128,129.9092613156565,0.5780898640444607
random_forest,M0_clima8,8,128,140.1903998545949,0.5433518350057489
random_forest,M0_clima8,9,127,139.34464546017426,0.5226149239776978
random_forest,M0_clima8,10,127,145.14302328265305,0.49625827090034624
random_forest,M0_clima8,11,126,146.26780421678743,0.4889725521410011
random_forest,M0_clima8,12,126,149.32650470378618,0.46026916755024205
random_forest,M1_clima8_vetor,1,125,75.73758422197245,0.8528524605004127
random_forest,M1_clima8_vetor,2,125,105.71343938780257,0.7223842873985376
random_forest,M1_clima8_vetor,3,124,114.77157064140434,0.7218033693788024
random_forest,M1_clima8_vetor,4,124,115.59407783141037,0.6724648625088483
random_forest,M1_clima8_vetor,5,123,131.3854860049495,0.6235509848032624
random_forest,M1_clima8_vetor,6,123,122.61116482763872,0.6166817549048356
random_forest,M1_clima8_vetor,7,122,126.72858951129423,0.6236915210315619
random_forest,M1_clima8_vetor,8,122,123.72458924379706,0.627505283972774
random_forest,M1_clima8_vetor,9,121,140.00107696293688,0.5839193997080736
random_forest,M1_clima8_vetor,10,121,131.21298408295462,0.5855980763227503
random_forest,M1_clima8_vetor,11,120,152.22080705790114,0.5140564322004881
random_forest,M1_clima8_vetor,12,120,144.00917313802938,0.5193277753857937
