algoritmo,conjunto,h,n,MAE,R2
ridge,M0_clima6,1,131,59.915078317010675,0.9167959368388937
ridge,M0_clima6,2,131,100.58997723084288,0.7935761021753432
ridge,M0_clima6,3,130,127.34604801050628,0.7091355593946373
ridge,M0_clima6,4,130,130.78535477485303,0.656991560166619
ridge,M0_clima6,5,129,163.76456976867362,0.5300455043509187
ridge,M0_clima6,6,129,180.0190792450298,0.4303353051234673
ridge,M0_clima6,7,128,194.83774078443332,0.35816321048893285
ridge,M0_clima6,8,128,205.85030911972348,0.23043555810963046
ridge,M0_clima6,9,127,204.2973527016117,0.22891691107061507
ridge,M0_clima6,10,127,204.15845304547736,0.21084428679530476
ridge,M0_clima6,11,126,196.62857688994967,0.21342319922920006
ridge,M0_clima6,12,126,201.74991073146256,0.21019908267669085
ridge,M1_clima6_vetor,1,125,61.59029808332324,0.9132386752717427
ridge,M1_clima6_vetor,2,125,99.09253643223057,0.7978728555703372
ridge,M1_clima6_vetor,3,124,110.9827133073867,0.7748529888312821
ridge,M1_clima6_vetor,4,124,141.8012857199763,0.6260176469913633
ridge,M1_clima6_vetor,5,123,163.3498692301517,0.5697352584097535
ridge,M1_clima6_vetor,6,123,172.5399097113177,0.48101264948036615
ridge,M1_clima6_vetor,7,122,196.62549074720627,0.42752940096249104
ridge,M1_clima6_vetor,8,122,197.33187315453034,0.39602023798017216
ridge,M1_clima6_vetor,9,121,214.96724531986163,0.3530012103902982
ridge,M1_clima6_vetor,10,121,200.93654715396596,0.3728487657119466
ridge,M1_clima6_vetor,11,120,215.56605322564465,0.36212792904090185
ridge,M1_clima6_vetor,12,120,210.13474780682301,0.32827547859680106
ridge,M0_clima8,1,131,60.12951477593326,0.9174542310419092
ridge,M0_clima8,2,131,100.59923092679567,0.7965710890706925
ridge,M0_clima8,3,130,126.82923957964648,0.7119095716865227
ridge,M0_clima8,4,130,130.03892651118244,0.6590908721581175
ridge,M0_clima8,5,129,163.36711968529337,0.5302622159242636
ridge,M0_clima8,6,129,178.65836339309035,0.4327373134690552
ridge,M0_clima8,7,128,193.02538261191762,0.3586011332587221
ridge,M0_clima8,8,128,204.87675052829252,0.2293850411175159
ridge,M0_clima8,9,127,205.0682593446526,0.2250223432254005
ridge,M0_clima8,10,127,205.06636696843128,0.20643514963475262
ridge,M0_clima8,11,126,197.1592607166733,0.2090625088466619
ridge,M0_clima8,12,126,201.58910778908754,0.20843400706780735
ridge,M1_clima8_vetor,1,125,61.28953199606862,0.9138647404231187
ridge,M1_clima8_vetor,2,125,98.04518644222206,0.8004909177620866
ridge,M1_clima8_vetor,3,124,109.39728306279417,0.7767261746161366
ridge,M1_clima8_vetor,4,124,140.95590024913338,0.6272710753702193
ridge,M1_clima8_vetor,5,123,162.7592953648048,0.5703840306295463
ridge,M1_clima8_vetor,6,123,172.48047877827727,0.48209460968024975
ridge,M1_clima8_vetor,7,122,197.26303473839934,0.425383743148289
ridge,M1_clima8_vetor,8,122,198.47701289510744,0.3924954751905275
ridge,M1_clima8_vetor,9,121,216.1158647473856,0.3504354590840669
ridge,M1_clima8_vetor,10,121,201.73588630099198,0.3712070919962498
ridge,M1_clima8_vetor,11,120,215.62654741981922,0.36302580632905956
ridge,M1_clima8_vetor,12,120,208.74762095929972,0.33524544915422294
