algoritmo,conjunto,h,n,MAE,R2
svr,M0_clima6,1,131,138.87272886179255,0.3684596648200775
svr,M0_clima6,2,131,151.67982621736223,0.3166859723164268
svr,M0_clima6,3,130,156.12069619853685,0.2949217388278532
svr,M0_clima6,4,130,172.51176333609087,0.22410936106010249
svr,M0_clima6,5,129,174.83688517135175,0.16950187085074708
svr,M0_clima6,6,129,187.66947465198942,0.10540323325065326
svr,M0_clima6,7,128,186.67363218800486,0.08172980739907909
svr,M0_clima6,8,128,196.68775834733222,0.021971581316531874
svr,M0_clima6,9,127,193.58058010584452,0.02016056688931933
svr,M0_clima6,10,127,203.82103206670143,-0.04222857482995179
svr,M0_clima6,11,126,201.05471500124145,-0.05164919036763216
svr,M0_clima6,12,126,210.73852112774668,-0.08831749029371183
svr,M1_clima6_vetor,1,125,147.03702698100483,0.31210341120585716
svr,M1_clima6_vetor,2,125,151.98395077045313,0.29379523961579157
svr,M1_clima6_vetor,3,124,166.19029344669295,0.29523789867169536
svr,M1_clima6_vetor,4,124,165.09249088365635,0.2761274687886145
svr,M1_clima6_vetor,5,123,177.5353397390762,0.26119099676659663
svr,M1_clima6_vetor,6,123,170.9849449574626,0.2575088851390076
svr,M1_clima6_vetor,7,122,183.2925423540146,0.2426815141593156
svr,M1_clima6_vetor,8,122,171.06700442970552,0.27391382002229614
svr,M1_clima6_vetor,9,121,183.12941523295007,0.26095475901223664
svr,M1_clima6_vetor,10,121,172.98508764820983,0.28702945560139237
svr,M1_clima6_vetor,11,120,188.3679445884503,0.24604418405611472
svr,M1_clima6_vetor,12,120,179.6921368083844,0.2442221785359151
svr,M0_clima8,1,131,140.14654748989932,0.35779531826463085
svr,M0_clima8,2,131,153.2306901381061,0.30879821341339087
svr,M0_clima8,3,130,156.45288943781736,0.28906327802066323
svr,M0_clima8,4,130,172.74860595423246,0.22188945575282804
svr,M0_clima8,5,129,174.93606044524773,0.17068065657987697
svr,M0_clima8,6,129,187.49243592507202,0.10577035493842624
svr,M0_clima8,7,128,186.7561416977009,0.08335179236526491
svr,M0_clima8,8,128,196.68998757665474,0.021354425292239743
svr,M0_clima8,9,127,193.17314914743983,0.019976043557046852
svr,M0_clima8,10,127,203.21957632758682,-0.03995555438599907
svr,M0_clima8,11,126,200.59353023298598,-0.053444766584535675
svr,M0_clima8,12,126,209.56548470043634,-0.08092913819926983
svr,M1_clima8_vetor,1,125,147.86999133083594,0.303889941104977
svr,M1_clima8_vetor,2,125,152.45713614278668,0.29166253490443184
svr,M1_clima8_vetor,3,124,166.4816216906648,0.2885705900637353
svr,M1_clima8_vetor,4,124,165.66144104817363,0.27071375678626597
svr,M1_clima8_vetor,5,123,177.8325361958814,0.2599167117005523
svr,M1_clima8_vetor,6,123,171.5599467517081,0.25310931908529977
svr,M1_clima8_vetor,7,122,183.83263658515344,0.238624391643664
svr,M1_clima8_vetor,8,122,171.40945130594474,0.26970790814660706
svr,M1_clima8_vetor,9,121,183.27004624963843,0.2577591555593881
svr,M1_clima8_vetor,10,121,173.35012314475165,0.27962801716335517
svr,M1_clima8_vetor,11,120,188.61549401266888,0.23823557750097668
svr,M1_clima8_vetor,12,120,180.16306106893617,0.23370640795197384
