algoritmo,conjunto,h,MAE,R2
lightgbm,M0_clima6,1,74.92752576939247,0.8315570675906518
lightgbm,M0_clima6,2,83.8331206760089,0.7918670720995
lightgbm,M0_clima6,3,88.84893043493648,0.7694341699138315
lightgbm,M0_clima6,4,96.00288105587003,0.749968295585606
lightgbm,M0_clima6,5,110.80711254351687,0.6725670142582386
lightgbm,M0_clima6,6,108.99830973426123,0.7150875482765084
lightgbm,M0_clima6,7,112.68890004242992,0.671816899257565
lightgbm,M0_clima6,8,118.32508759728587,0.6596879383723222
lightgbm,M0_clima6,9,117.1368173905145,0.6597864920531522
lightgbm,M0_clima6,10,125.10042371499928,0.6713752256896038
lightgbm,M0_clima6,11,130.54280062191305,0.6054971245808429
lightgbm,M0_clima6,12,144.64567025715724,0.5432528868224178
lightgbm,M1_clima6_vetor,1,54.19408883905244,0.9025310889147367
lightgbm,M1_clima6_vetor,2,93.10795418195283,0.7128025588057323
lightgbm,M1_clima6_vetor,3,106.214382082638,0.7058705550449262
lightgbm,M1_clima6_vetor,4,129.07779444427283,0.5539323525018081
lightgbm,M1_clima6_vetor,5,130.6562430796812,0.6160612390014562
lightgbm,M1_clima6_vetor,6,127.48294855735539,0.5920774093514205
lightgbm,M1_clima6_vetor,7,134.45902168711837,0.5119838583000798
lightgbm,M1_clima6_vetor,8,117.35155483077912,0.7102441252885581
lightgbm,M1_clima6_vetor,9,132.0077444290332,0.642085069306995
lightgbm,M1_clima6_vetor,10,127.38637957815565,0.6970897144229601
lightgbm,M1_clima6_vetor,11,143.22697798494562,0.5933724927860016
lightgbm,M1_clima6_vetor,12,143.48590873690654,0.5659904268426421
lightgbm,M0_clima8,1,76.3686490400112,0.8259040098447429
lightgbm,M0_clima8,2,86.89077078500647,0.7754266763187294
lightgbm,M0_clima8,3,81.61919576173693,0.8110186692484367
lightgbm,M0_clima8,4,94.60347738322125,0.760896917154609
lightgbm,M0_clima8,5,103.11029623618192,0.7102515360533407
lightgbm,M0_clima8,6,106.78969168264679,0.7287246744782595
lightgbm,M0_clima8,7,109.23241849360888,0.6949109376895496
lightgbm,M0_clima8,8,113.16165040517274,0.6828225708109603
lightgbm,M0_clima8,9,119.17827865940856,0.6447343422352175
lightgbm,M0_clima8,10,128.29134627886006,0.634520246733808
lightgbm,M0_clima8,11,135.6327816830721,0.5767097050577032
lightgbm,M0_clima8,12,144.6741771656967,0.52694760631786
lightgbm,M1_clima8_vetor,1,59.562503021548515,0.8942082598181204
lightgbm,M1_clima8_vetor,2,97.61359843775696,0.7014144736679844
lightgbm,M1_clima8_vetor,3,107.86316319150934,0.6911918978825107
lightgbm,M1_clima8_vetor,4,131.30221407123787,0.5589910181523549
lightgbm,M1_clima8_vetor,5,142.26151193366155,0.5673063116735055
lightgbm,M1_clima8_vetor,6,127.78413441585296,0.6054077382301072
lightgbm,M1_clima8_vetor,7,127.80926067035122,0.604636929320403
lightgbm,M1_clima8_vetor,8,99.440473652918,0.805067831170755
lightgbm,M1_clima8_vetor,9,131.3952619966403,0.6498153097946916
lightgbm,M1_clima8_vetor,10,120.02658678645344,0.7299414524301698
lightgbm,M1_clima8_vetor,11,141.5419281163135,0.6095828497342626
lightgbm,M1_clima8_vetor,12,138.0589644393188,0.5739497622488325
