algoritmo,conjunto,h,MAE,R2
lightgbm,M0_clima6,1,72.48894205183478,0.8420802644521146
lightgbm,M0_clima6,2,77.5178258112908,0.8115389049744653
lightgbm,M0_clima6,3,84.46016160995718,0.7991672395385697
lightgbm,M0_clima6,4,91.41934355402661,0.7830169983971966
lightgbm,M0_clima6,5,98.6150575452735,0.7036906022909009
lightgbm,M0_clima6,6,94.40764438544234,0.7570509128284482
lightgbm,M0_clima6,7,116.56426190398,0.6421096379503712
lightgbm,M0_clima6,8,117.3141866245002,0.6669600401263855
lightgbm,M0_clima6,9,119.95272248018397,0.5921124175029044
lightgbm,M0_clima6,10,126.8383983660693,0.6160741844597406
lightgbm,M0_clima6,11,132.6517530662581,0.5797177550726611
lightgbm,M0_clima6,12,138.47090164112828,0.5968651758301965
lightgbm,M1_clima6_vetor,1,55.15464091651741,0.905914082981971
lightgbm,M1_clima6_vetor,2,100.15131153607165,0.6766152004027837
lightgbm,M1_clima6_vetor,3,110.17886169358079,0.6855005066203371
lightgbm,M1_clima6_vetor,4,122.92438087351384,0.6152365135225506
lightgbm,M1_clima6_vetor,5,131.1229156108087,0.6198505874123024
lightgbm,M1_clima6_vetor,6,111.83583590155496,0.6874495662288371
lightgbm,M1_clima6_vetor,7,132.9404802156081,0.5398191726116348
lightgbm,M1_clima6_vetor,8,108.83125919138715,0.7483721686916815
lightgbm,M1_clima6_vetor,9,122.52727500959959,0.6805328963244299
lightgbm,M1_clima6_vetor,10,117.84268162387087,0.7639227068368923
lightgbm,M1_clima6_vetor,11,134.22015227250594,0.6731605817850572
lightgbm,M1_clima6_vetor,12,135.14725832325817,0.6487615695216025
lightgbm,M0_clima8,1,76.33589299087456,0.83813404125587
lightgbm,M0_clima8,2,81.7186856682163,0.7880272651809154
lightgbm,M0_clima8,3,80.01913086739253,0.8223071785780554
lightgbm,M0_clima8,4,91.30899899467923,0.7824754621761134
lightgbm,M0_clima8,5,100.54116853893116,0.7268987282224324
lightgbm,M0_clima8,6,96.97790652325456,0.76136646998005
lightgbm,M0_clima8,7,114.69964843357411,0.6508352862581535
lightgbm,M0_clima8,8,116.64664250516071,0.6677256412139058
lightgbm,M0_clima8,9,121.60024954666017,0.5823199854504166
lightgbm,M0_clima8,10,130.15337102653731,0.6057052078269232
lightgbm,M0_clima8,11,131.57334883685675,0.5664537283961033
lightgbm,M0_clima8,12,139.7127513026234,0.5732325133846687
lightgbm,M1_clima8_vetor,1,58.68964796927357,0.9036524614012756
lightgbm,M1_clima8_vetor,2,97.3917206719271,0.6898149604880672
lightgbm,M1_clima8_vetor,3,111.72365952338644,0.6785446313404073
lightgbm,M1_clima8_vetor,4,124.71456469591722,0.6050070506501932
lightgbm,M1_clima8_vetor,5,136.44437835103813,0.599427133837213
lightgbm,M1_clima8_vetor,6,113.88195913385321,0.6730143907716201
lightgbm,M1_clima8_vetor,7,131.10994966356884,0.5494591146686482
lightgbm,M1_clima8_vetor,8,114.77760019143949,0.7197902003484524
lightgbm,M1_clima8_vetor,9,123.9207426637812,0.6812273760208237
lightgbm,M1_clima8_vetor,10,123.00945861789417,0.7302156135459777
lightgbm,M1_clima8_vetor,11,139.13809414378522,0.6513908508481833
lightgbm,M1_clima8_vetor,12,133.97565674715142,0.6331595038537213
lightgbm,so_clima,1,83.51174107443545,0.8161917460560693
lightgbm,so_clima,2,83.99772106930175,0.8050975762959562
lightgbm,so_clima,3,98.851084468776,0.764811425217693
lightgbm,so_clima,4,92.85131827895772,0.7815972228348614
lightgbm,so_clima,5,109.06173796303496,0.7226269073083136
lightgbm,so_clima,6,103.76389318127973,0.7409418880103317
lightgbm,so_clima,7,122.4512555526656,0.666372016771438
lightgbm,so_clima,8,111.84683421496096,0.6941348984062466
lightgbm,so_clima,9,114.23016081716968,0.6845830826635655
lightgbm,so_clima,10,122.02316295609184,0.5849740836804198
lightgbm,so_clima,11,127.2948227818958,0.584574398420495
lightgbm,so_clima,12,135.92822403474116,0.5948870687938459
lightgbm,so_vetor,1,62.27130249042968,0.8032755045821129
lightgbm,so_vetor,2,68.64185786795942,0.8241294510579427
lightgbm,so_vetor,3,82.59847576190418,0.6987561922571695
lightgbm,so_vetor,4,92.27656744099076,0.7360089332182296
lightgbm,so_vetor,5,80.51483917588737,0.7775188439786678
lightgbm,so_vetor,6,96.04627214419808,0.7126758358927473
lightgbm,so_vetor,7,86.88040457605693,0.7667690173749941
lightgbm,so_vetor,8,92.06631900898944,0.7252043941037698
lightgbm,so_vetor,9,77.16090166246461,0.84009627145997
lightgbm,so_vetor,10,94.4826020347487,0.7315200052558057
lightgbm,so_vetor,11,82.50378082747051,0.8121217368320122
lightgbm,so_vetor,12,98.17343942978135,0.7215612391837296
