algoritmo,n,n_pos,tp,fp,fn,tn,sensib,espec,precisao,f1,bal_acc,auc,ap,exp,pctl,h,modelo
lightgbm,679,178,118,18,60,483,0.6629213483146067,0.9640718562874252,0.8676470588235294,0.7515923566878981,0.813496602301016,0.927997936710848,0.8357273548907668,A_infodengue,90,4,clima+AR_LGBM
lightgbm,679,178,0,0,178,501,0.0,1.0,,0.0,0.5,0.7870102491645922,0.4728535060805484,A_infodengue,90,4,sazonal
lightgbm,679,178,135,41,43,460,0.7584269662921348,0.9181636726546906,0.7670454545454546,0.7627118644067796,0.8382953194734126,,,A_infodengue,90,4,persistencia
lightgbm,675,182,97,31,85,462,0.532967032967033,0.9371196754563894,0.7578125,0.6258064516129033,0.7350433542117112,0.8906114169805854,0.7676308819202572,A_infodengue,90,8,clima+AR_LGBM
lightgbm,675,182,0,0,182,493,0.0,1.0,,0.0,0.5,0.7859817667119899,0.5066106230431402,A_infodengue,90,8,sazonal
lightgbm,675,182,104,74,78,419,0.5714285714285714,0.8498985801217038,0.5842696629213483,0.5777777777777777,0.7106635757751376,,,A_infodengue,90,8,persistencia
lightgbm,671,179,83,27,96,465,0.46368715083798884,0.9451219512195121,0.7545454545454545,0.5743944636678201,0.7044045510287504,0.864797656356452,0.6997567285835695,A_infodengue,90,12,clima+AR_LGBM
lightgbm,671,179,0,0,179,492,0.0,1.0,,0.0,0.5,0.7951639642094743,0.5296730952045573,A_infodengue,90,12,sazonal
lightgbm,671,179,69,100,110,392,0.3854748603351955,0.7967479674796748,0.40828402366863903,0.39655172413793105,0.5911114139074352,,,A_infodengue,90,12,persistencia
lightgbm,679,102,68,18,34,559,0.6666666666666666,0.9688041594454073,0.7906976744186046,0.723404255319149,0.817735413056037,0.9524756176300676,0.8274640882996839,A_infodengue,95,4,clima+AR_LGBM
lightgbm,679,102,0,0,102,577,0.0,1.0,,0.0,0.5,0.8534084344309648,0.36986780044197115,A_infodengue,95,4,sazonal
lightgbm,679,102,71,29,31,548,0.696078431372549,0.949740034662045,0.71,0.7029702970297029,0.822909233017297,,,A_infodengue,95,4,persistencia
lightgbm,675,109,44,26,65,540,0.4036697247706422,0.9540636042402827,0.6285714285714286,0.49162011173184356,0.6788666645054624,0.9025675106169158,0.6453996250109605,A_infodengue,95,8,clima+AR_LGBM
lightgbm,675,109,0,0,109,566,0.0,1.0,,0.0,0.5,0.8670535222225824,0.45023529723776434,A_infodengue,95,8,sazonal
lightgbm,675,109,45,60,64,506,0.41284403669724773,0.8939929328621908,0.42857142857142855,0.4205607476635514,0.6534184847797193,,,A_infodengue,95,8,persistencia
lightgbm,671,109,37,21,72,541,0.3394495412844037,0.9626334519572953,0.6379310344827587,0.4431137724550898,0.6510414966208495,0.8870025139573607,0.5599799098656262,A_infodengue,95,12,clima+AR_LGBM
lightgbm,671,109,0,0,109,562,0.0,1.0,,0.0,0.5,0.8718126612034347,0.44381303114382537,A_infodengue,95,12,sazonal
lightgbm,671,109,16,84,93,478,0.14678899082568808,0.8505338078291815,0.16,0.15311004784688995,0.4986613993274348,,,A_infodengue,95,12,persistencia
lightgbm,243,59,2,0,57,184,0.03389830508474576,1.0,1.0,0.06557377049180328,0.5169491525423728,0.9271831245394253,0.7482885546935142,B_tabela_final,90,4,sazonal
lightgbm,243,59,39,5,20,179,0.6610169491525424,0.9728260869565217,0.8863636363636364,0.7572815533980582,0.8169215180545321,0.9615880619012528,0.9118652073277654,B_tabela_final,90,4,so-clima
lightgbm,243,59,50,12,9,172,0.847457627118644,0.9347826086956522,0.8064516129032258,0.8264462809917356,0.8911201179071482,0.9581798084008843,0.8847394666537332,B_tabela_final,90,4,clima+vetor
lightgbm,237,58,2,0,56,179,0.034482758620689655,1.0,1.0,0.06666666666666667,0.5172413793103449,0.9287227894432672,0.7626672850911036,B_tabela_final,90,8,sazonal
lightgbm,237,58,31,6,27,173,0.5344827586206896,0.9664804469273743,0.8378378378378378,0.6526315789473685,0.750481602774032,0.9346946638412638,0.8264775280396447,B_tabela_final,90,8,so-clima
