algoritmo,conjunto,h,n,dMAE,DM_sq,p_sq,DM_abs,p_abs
lightgbm,sem_maturidade,1,262,1.0426221569319338,0.19035881390002224,0.42458797212490323,0.47863494911564847,0.31629952945723483
lightgbm,sem_maturidade,2,261,-6.708771856474101,-1.539383887490913,0.9375366390491116,-1.1682765391101455,0.8781173214715872
lightgbm,sem_maturidade,3,260,-15.83983769988535,-1.9049787038483834,0.9710547810283391,-1.929749780650109,0.9726350162532859
lightgbm,sem_maturidade,4,259,-16.25050983105082,-1.03877118517179,0.8500581544762482,-0.9372628392493876,0.8252500490237871
lightgbm,sem_maturidade,5,258,-10.602639946012786,-0.8046790172996798,0.789125652886838,-0.6888814115606791,0.7542403397518269
lightgbm,sem_maturidade,6,257,-17.32754380165983,-1.0518389099385999,0.8530673489040748,-0.9996472308285986,0.8407874004284838
lightgbm,sem_maturidade,7,256,-22.56163223381634,-0.9199394545922486,0.8207630917083334,-0.7710880792366427,0.7793156930813541
lightgbm,sem_maturidade,8,255,-4.184679744260137,0.0400215835388569,0.4840536790985381,-0.26217019203975167,0.6032986361848756
lightgbm,sem_maturidade,9,254,1.720212339808441,0.553444904369597,0.2902237725919764,0.09371849147071055,0.4627034780065799
lightgbm,sem_maturidade,10,253,-2.041218769937444,0.025908994340712938,0.4896752154891543,-0.07910973284737892,0.5314959374252286
lightgbm,sem_maturidade,11,252,-3.6713929588037217,0.06430638331620574,0.4743887275584319,-0.21762376679455545,0.586050463936234
lightgbm,sem_maturidade,12,251,-4.263106632204341,-0.09032622673805832,0.5359498475207529,-0.2882508670746713,0.6133032249981982
lightgbm,com_maturidade,1,250,-1.0712115732316647,-0.842415791107727,0.7998181651205725,-0.35867277901021155,0.6399280928462752
lightgbm,com_maturidade,2,249,-1.4831654393422724,-1.1431499069195155,0.87296066474662,-0.28829504151265695,0.6133191485330587
lightgbm,com_maturidade,3,248,-6.1860377598740115,-1.2995056921471264,0.902509001160957,-1.1513952538174366,0.8746585101825832
lightgbm,com_maturidade,4,247,-8.75645214646191,-1.011997230691955,0.843733146480602,-0.7550907011671296,0.7745415635855692
lightgbm,com_maturidade,5,246,-7.511897742195629,-1.2505524775697923,0.8938545927082532,-1.00593035833005,0.8422792358707905
lightgbm,com_maturidade,6,245,2.6288853146989766,-0.2707645220239779,0.6065994741325238,0.3066215293250129,0.3796964790273077
lightgbm,com_maturidade,7,244,6.983556997425779,0.5995314007828025,0.27468858050700995,0.8179711043489859,0.20708751310446172
lightgbm,com_maturidade,8,243,1.4157089329674903,0.29541666212080264,0.38396445633243675,0.11971292366401919,0.45240494223099376
lightgbm,com_maturidade,9,242,5.175598899623793,1.3478522493602425,0.08948575226800991,0.7060572966439725,0.24041724077186005
lightgbm,com_maturidade,10,241,10.782511627869539,1.067402158714072,0.14343139185742487,1.5837080374488166,0.05728848864721148
lightgbm,com_maturidade,11,240,16.12599100567263,1.0505092016227229,0.14727255283910534,1.4144059551372667,0.07927207566201347
lightgbm,com_maturidade,12,239,9.902091989006635,0.18839698823346124,0.42536299999091615,0.5793186770774432,0.2814610431104425
