alvo,pctl,h,n,n_pos,clima_certo_vetor_errado,vetor_certo_clima_errado,discordantes,p_exato,p_holm_12
confirmados,90,4,287,69,9,9,18,1.0,1.0
confirmados,90,8,283,70,5,10,15,0.30175781249999994,1.0
confirmados,90,12,279,69,4,24,28,0.00017999112606048584,0.00215989351272583
confirmados,95,4,288,47,11,7,18,0.480682373046875,1.0
confirmados,95,8,283,46,5,11,16,0.210113525390625,1.0
confirmados,95,12,279,46,5,17,22,0.01690053939819336,0.18590593338012695
notificados,90,4,565,116,9,9,18,1.0,1.0
notificados,90,8,559,115,15,10,25,0.42435622215270996,1.0
notificados,90,12,553,113,14,10,24,0.5412561893463135,1.0
notificados,95,4,568,75,14,8,22,0.28627872467041016,1.0
notificados,95,8,560,76,10,7,17,0.629058837890625,1.0
notificados,95,12,554,76,12,8,20,0.5034446716308594,1.0
