data_inicio_semana_epidemi,casos_confirmados,casos_notificados,surto_confirmados,surto_notificados
2019-02-17,1.0,6.0,1.0,0.0
2019-02-24,1.0,6.0,1.0,0.0
2019-03-03,5.0,10.0,1.0,0.0
2019-03-10,7.0,12.0,1.0,0.0
2019-03-17,8.0,23.0,1.0,0.0
2019-03-24,18.0,40.0,1.0,0.0
2019-03-31,22.0,51.0,1.0,1.0
2019-04-07,21.0,57.0,1.0,1.0
2019-04-14,53.0,85.0,1.0,1.0
2019-04-21,45.0,100.0,1.0,1.0
2019-04-28,38.0,97.0,1.0,1.0
2019-05-05,47.0,99.0,1.0,1.0
2019-05-12,64.0,136.0,1.0,1.0
2019-05-19,47.0,115.0,1.0,1.0
2019-05-26,20.0,78.0,0.0,1.0
2019-06-02,11.0,57.0,0.0,1.0
2019-06-09,16.0,55.0,0.0,1.0
2019-06-16,22.0,53.0,1.0,1.0
2019-06-23,18.0,44.0,0.0,0.0
2019-06-30,10.0,26.0,0.0,0.0
2019-07-07,1.0,9.0,0.0,0.0
2019-07-14,2.0,14.0,0.0,0.0
2019-07-21,0.0,10.0,0.0,0.0
2019-07-28,0.0,13.0,0.0,0.0
2019-08-04,1.0,10.0,0.0,0.0
2019-08-11,1.0,8.0,0.0,0.0
2019-08-18,0.0,5.0,0.0,0.0
2019-08-25,0.0,6.0,0.0,0.0
2019-09-01,1.0,3.0,0.0,0.0
2019-09-08,0.0,4.0,0.0,0.0
2019-09-15,0.0,6.0,0.0,0.0
2019-09-22,0.0,6.0,0.0,0.0
2019-09-29,3.0,10.0,0.0,0.0
2019-10-06,0.0,3.0,0.0,0.0
2019-10-13,0.0,3.0,0.0,0.0
2019-10-20,0.0,4.0,0.0,0.0
2019-10-27,0.0,5.0,0.0,0.0
2019-11-03,0.0,6.0,0.0,0.0
2019-11-10,0.0,3.0,0.0,0.0
2019-11-17,0.0,11.0,0.0,0.0
2019-11-24,0.0,7.0,0.0,0.0
2019-12-01,0.0,6.0,0.0,0.0
2019-12-08,1.0,7.0,0.0,0.0
2019-12-15,0.0,14.0,0.0,0.0
2019-12-22,0.0,6.0,0.0,0.0
2019-12-29,1.0,5.0,0.0,0.0
2020-01-05,2.0,14.0,0.0,0.0
2020-01-12,4.0,13.0,0.0,0.0
2020-01-19,2.0,10.0,0.0,0.0
2020-01-26,3.0,10.0,0.0,0.0
2020-02-02,3.0,11.0,0.0,0.0
2020-02-09,2.0,14.0,0.0,0.0
2020-02-16,1.0,8.0,0.0,0.0
2020-02-23,4.0,10.0,0.0,0.0
2020-03-01,4.0,10.0,0.0,0.0
2020-03-08,3.0,9.0,0.0,0.0
2020-03-15,1.0,3.0,0.0,0.0
2020-03-22,0.0,2.0,0.0,0.0
2020-03-29,1.0,5.0,0.0,0.0
2020-04-05,2.0,4.0,0.0,0.0
2020-04-12,3.0,6.0,0.0,0.0
2020-04-19,1.0,3.0,0.0,0.0
2020-04-26,0.0,2.0,0.0,0.0
2020-05-03,0.0,2.0,0.0,0.0
2020-05-10,0.0,2.0,0.0,0.0
2020-05-17,1.0,4.0,0.0,0.0
2020-05-24,0.0,0.0,0.0,0.0
2020-05-31,0.0,1.0,0.0,0.0
2020-06-07,0.0,3.0,0.0,0.0
2020-06-14,0.0,4.0,0.0,0.0
2020-06-21,0.0,1.0,0.0,0.0
2020-06-28,0.0,0.0,0.0,0.0
2020-07-05,0.0,1.0,0.0,0.0
2020-07-12,0.0,2.0,0.0,0.0
2020-07-19,0.0,0.0,0.0,0.0
2020-07-26,0.0,2.0,0.0,0.0
2020-08-02,0.0,2.0,0.0,0.0
2020-08-09,0.0,1.0,0.0,0.0
2020-08-16,0.0,0.0,0.0,0.0
2020-08-23,0.0,0.0,0.0,0.0
2020-08-30,0.0,0.0,0.0,0.0
2020-09-06,0.0,1.0,0.0,0.0
2020-09-13,0.0,2.0,0.0,0.0
2020-09-20,0.0,2.0,0.0,0.0
2020-09-27,0.0,0.0,0.0,0.0
