data,coluna,periodo,valor_anterior,valor_novo
2026-04-26,precip_total_mm,reprocessamento,15.25,52.6
2026-05-03,precip_total_mm,reprocessamento,8.829999999999998,4.67
2026-05-10,precip_total_mm,reprocessamento,0.08,0.0
2026-05-17,precip_total_mm,reprocessamento,3.0599999999999996,2.62
2026-05-24,precip_total_mm,reprocessamento,17.4,12.65
2026-05-31,precip_total_mm,reprocessamento,1.74,0.63
2026-04-26,precip_max_dia_mm,reprocessamento,7.78,46.47
2026-05-03,precip_max_dia_mm,reprocessamento,4.39,3.3
2026-05-10,precip_max_dia_mm,reprocessamento,0.08,0.0
2026-05-17,precip_max_dia_mm,reprocessamento,2.51,1.5
2026-05-24,precip_max_dia_mm,reprocessamento,10.95,4.13
2026-05-31,precip_max_dia_mm,reprocessamento,0.51,0.26
2026-04-26,precip_media_dia_mm,reprocessamento,2.1785714285714284,7.514285714285714
2026-05-03,precip_media_dia_mm,reprocessamento,1.2614285714285711,0.6671428571428571
2026-05-10,precip_media_dia_mm,reprocessamento,0.0114285714285714,0.0
2026-05-17,precip_media_dia_mm,reprocessamento,0.4371428571428571,0.3742857142857143
2026-05-24,precip_media_dia_mm,reprocessamento,2.4857142857142853,1.8071428571428572
2026-05-31,precip_media_dia_mm,reprocessamento,0.2485714285714285,0.09
2026-05-03,dias_de_chuva,reprocessamento,3.0,1.0
2026-05-17,dias_de_chuva,reprocessamento,1.0,2.0
2026-04-26,temp_media,reprocessamento,17.56142857142857,17.42857142857143
2026-05-03,temp_media,reprocessamento,18.875714285714285,18.571428571428573
2026-05-10,temp_media,reprocessamento,13.528571428571428,12.68142857142857
2026-05-17,temp_media,reprocessamento,13.124285714285715,12.65857142857143
2026-05-24,temp_media,reprocessamento,15.834285714285716,15.688571428571427
2026-05-31,temp_media,reprocessamento,16.284285714285712,16.617142857142856
2026-05-03,temp_min,reprocessamento,9.66,7.78
2026-05-10,temp_min,reprocessamento,6.59,4.64
2026-05-17,temp_min,reprocessamento,6.33,4.38
2026-05-24,temp_min,reprocessamento,11.08,10.08
2026-05-31,temp_min,reprocessamento,10.3,10.59
2026-04-26,temp_max,reprocessamento,27.91,29.27
2026-05-03,temp_max,reprocessamento,30.1,30.23
2026-05-10,temp_max,reprocessamento,22.15,22.25
2026-05-17,temp_max,reprocessamento,19.2,19.72
2026-05-24,temp_max,reprocessamento,22.24,22.76
2026-05-31,temp_max,reprocessamento,23.85,25.63
2026-04-26,temp_amplitude_media,reprocessamento,12.204285714285716,12.657142857142862
2026-05-03,temp_amplitude_media,reprocessamento,9.689999999999998,11.081428571428575
2026-05-10,temp_amplitude_media,reprocessamento,10.55,12.024285714285714
2026-05-17,temp_amplitude_media,reprocessamento,8.662857142857142,9.705714285714285
2026-05-24,temp_amplitude_media,reprocessamento,7.532857142857143,9.351428571428572
2026-05-31,temp_amplitude_media,reprocessamento,8.834285714285713,10.604285714285718
2026-05-03,orvalho_min,reprocessamento,3.93,5.01
2026-05-10,orvalho_min,reprocessamento,3.54,4.7
2026-05-17,orvalho_min,reprocessamento,4.84,5.49
2026-05-24,orvalho_min,reprocessamento,11.94,12.26
2026-05-31,orvalho_min,reprocessamento,11.99,11.91
2026-04-26,orvalho_media,reprocessamento,11.678571428571429,11.552857142857144
2026-05-03,orvalho_media,reprocessamento,13.914285714285716,14.145714285714286
2026-05-10,orvalho_media,reprocessamento,7.654285714285714,7.991428571428571
2026-05-17,orvalho_media,reprocessamento,8.528571428571428,9.271428571428572
2026-05-24,orvalho_media,reprocessamento,13.694285714285714,13.545714285714286
2026-05-31,orvalho_media,reprocessamento,13.62,13.532857142857141
2026-04-26,orvalho_max,reprocessamento,17.37,17.3
2026-05-03,orvalho_max,reprocessamento,20.68,20.18
2026-05-10,orvalho_max,reprocessamento,12.87,13.01
2026-05-17,orvalho_max,reprocessamento,13.47,14.12
2026-05-24,orvalho_max,reprocessamento,16.26,15.33
2026-05-31,orvalho_max,reprocessamento,14.89,14.68
2026-05-03,umid_min,reprocessamento,55.67,64.05
2026-05-10,umid_min,reprocessamento,59.66,69.38
2026-05-17,umid_min,reprocessamento,65.04,75.17
2026-05-24,umid_min,reprocessamento,85.29,84.1
2026-05-31,umid_min,reprocessamento,82.41,76.77
2026-04-26,umid_media,reprocessamento,71.10142857142857,71.22285714285715
2026-05-03,umid_media,reprocessamento,74.35285714285715,77.43142857142857
2026-05-10,umid_media,reprocessamento,69.75,75.93714285714285
2026-05-17,umid_media,reprocessamento,75.46428571428571,81.58714285714287
2026-05-24,umid_media,reprocessamento,88.10571428571428,87.25142857142859
2026-05-31,umid_media,reprocessamento,85.39857142857143,83.08142857142856
2026-04-26,umid_max,reprocessamento,83.82,82.12
2026-05-03,umid_max,reprocessamento,85.89,87.27
2026-05-10,umid_max,reprocessamento,83.3,86.29
2026-05-17,umid_max,reprocessamento,89.46,92.49
2026-05-24,umid_max,reprocessamento,95.07,91.35
2026-05-31,umid_max,reprocessamento,88.04,86.78
2026-05-03,pressao_min,reprocessamento,100.02,100.08
2026-05-10,pressao_min,reprocessamento,101.05,101.13
2026-05-17,pressao_min,reprocessamento,101.13,101.19
2026-05-24,pressao_min,reprocessamento,101.29,101.35
2026-05-31,pressao_min,reprocessamento,101.2,101.31
2026-04-26,pressao_media,reprocessamento,101.02571428571429,101.0442857142857
2026-05-03,pressao_media,reprocessamento,100.86,100.93999999999998
2026-05-10,pressao_media,reprocessamento,101.33428571428573,101.41999999999999
2026-05-17,pressao_media,reprocessamento,101.77857142857144,101.85714285714286
2026-05-24,pressao_media,reprocessamento,101.56428571428572,101.63428571428572
2026-05-31,pressao_media,reprocessamento,101.73285714285714,101.8057142857143
2026-05-03,pressao_max,reprocessamento,101.72,101.8
2026-05-10,pressao_max,reprocessamento,101.58,101.67
2026-05-17,pressao_max,reprocessamento,102.11,102.2
2026-05-24,pressao_max,reprocessamento,101.69,101.77
2026-05-31,pressao_max,reprocessamento,102.05,102.1
2026-01-04,radiacao_min,reprocessamento,17.48,17.36
2026-01-11,radiacao_min,reprocessamento,6.91,13.02
2026-01-18,radiacao_min,reprocessamento,23.5,20.48
2026-01-25,radiacao_min,reprocessamento,5.31,14.41
2026-02-01,radiacao_min,reprocessamento,17.97,15.63
2026-02-08,radiacao_min,reprocessamento,10.63,10.46
2026-02-15,radiacao_min,reprocessamento,8.93,15.9
2026-02-22,radiacao_min,reprocessamento,7.37,6.01
2026-03-01,radiacao_min,reprocessamento,14.67,16.21
2026-03-08,radiacao_min,reprocessamento,5.97,7.95
2026-03-15,radiacao_min,reprocessamento,6.0,8.8
2026-03-22,radiacao_min,reprocessamento,5.89,4.8
2026-03-29,radiacao_min,reprocessamento,9.44,11.92
2026-04-05,radiacao_min,reprocessamento,4.29,3.05
2026-04-12,radiacao_min,reprocessamento,10.27,9.12
2026-04-19,radiacao_min,reprocessamento,3.27,2.76
2026-04-26,radiacao_min,reprocessamento,2.33,5.05
2026-05-03,radiacao_min,reprocessamento,9.77,11.04
2026-05-10,radiacao_min,reprocessamento,12.27,10.37
2026-05-17,radiacao_min,reprocessamento,3.81,3.82
2026-05-24,radiacao_min,reprocessamento,4.29,4.58
2025-12-28,radiacao_media,reprocessamento,26.71428571428571,26.610000000000003
2026-01-04,radiacao_media,reprocessamento,25.07571428571428,25.222857142857144
2026-01-11,radiacao_media,reprocessamento,21.982857142857146,22.96428571428572
2026-01-18,radiacao_media,reprocessamento,26.54428571428571,26.862857142857145
2026-01-25,radiacao_media,reprocessamento,23.087142857142855,24.008571428571425
2026-02-01,radiacao_media,reprocessamento,24.744285714285716,25.300000000000004
2026-02-08,radiacao_media,reprocessamento,22.707142857142856,22.462857142857143
2026-02-15,radiacao_media,reprocessamento,20.067142857142866,20.202857142857145
2026-02-22,radiacao_media,reprocessamento,21.585714285714285,20.767142857142854
2026-03-01,radiacao_media,reprocessamento,22.889999999999993,23.44142857142857
2026-03-08,radiacao_media,reprocessamento,16.504285714285714,16.961428571428574
2026-03-15,radiacao_media,reprocessamento,17.694285714285712,17.63142857142857
2026-03-22,radiacao_media,reprocessamento,13.348571428571429,12.167142857142858
2026-03-29,radiacao_media,reprocessamento,17.82,17.141428571428573
2026-04-05,radiacao_media,reprocessamento,14.64857142857143,14.120000000000001
2026-04-12,radiacao_media,reprocessamento,14.86285714285714,14.021428571428572
2026-04-19,radiacao_media,reprocessamento,11.090000000000002,10.292857142857143
2026-04-26,radiacao_media,reprocessamento,13.602857142857143,13.817142857142855
2026-05-03,radiacao_media,reprocessamento,13.999999999999998,14.17
2026-05-10,radiacao_media,reprocessamento,13.791666666666666,13.667142857142858
2026-05-17,radiacao_media,reprocessamento,10.239999999999998,10.54857142857143
2026-05-24,radiacao_media,reprocessamento,8.305,8.285714285714285
2025-12-28,radiacao_max,reprocessamento,30.9,31.14
