data,h,real,pred
2018-02-18,8,0.0,1.0
2018-02-25,8,0.0,0.0
2018-03-04,8,0.0,0.0
2018-03-11,8,0.0,0.0
2018-03-18,8,0.0,0.0
2018-03-25,8,0.0,0.0
2018-04-01,8,0.0,0.0
2018-04-08,8,0.0,1.0
2018-04-15,8,0.0,0.0
2018-04-22,8,0.0,0.0
2018-04-29,8,0.0,0.0
2018-05-06,8,0.0,0.0
2018-05-13,8,0.0,0.0
2018-05-20,8,0.0,0.0
2018-05-27,8,1.0,0.0
2018-06-03,8,0.0,0.0
2018-06-10,8,0.0,0.0
2018-06-17,8,0.0,0.0
2018-06-24,8,0.0,0.0
2018-07-01,8,0.0,0.0
2018-07-08,8,0.0,0.0
2018-07-15,8,0.0,0.0
2018-07-22,8,0.0,1.0
2018-07-29,8,0.0,0.0
2018-08-05,8,0.0,0.0
2018-08-12,8,0.0,0.0
2018-08-19,8,0.0,0.0
2018-08-26,8,0.0,0.0
2018-09-02,8,0.0,0.0
2018-09-09,8,0.0,0.0
2018-09-16,8,0.0,0.0
2018-09-23,8,0.0,0.0
2018-09-30,8,0.0,0.0
2018-10-07,8,0.0,0.0
2018-10-14,8,0.0,0.0
2018-10-21,8,0.0,0.0
2018-10-28,8,0.0,0.0
2018-11-04,8,1.0,0.0
2018-11-11,8,0.0,0.0
2018-11-18,8,2.0,0.0
2018-11-25,8,1.0,0.0
2018-12-02,8,0.0,0.0
2018-12-09,8,0.0,0.0
2018-12-16,8,1.0,0.0
2018-12-23,8,1.0,0.0
2018-12-30,8,1.0,1.0
2019-01-06,8,5.0,0.0
2019-01-13,8,7.0,2.0
2019-01-20,8,8.0,1.0
2019-01-27,8,18.0,0.0
2019-02-03,8,22.0,0.0
2019-02-10,8,21.0,1.0
2019-02-17,8,53.0,1.0
2019-02-24,8,45.0,1.0
2019-03-03,8,38.0,5.0
2019-03-10,8,47.0,7.0
2019-03-17,8,64.0,8.0
2019-03-24,8,47.0,18.0
2019-03-31,8,20.0,22.0
2019-04-07,8,11.0,21.0
2019-04-14,8,16.0,53.0
2019-04-21,8,22.0,45.0
2019-04-28,8,18.0,38.0
2019-05-05,8,10.0,47.0
2019-05-12,8,1.0,64.0
2019-05-19,8,2.0,47.0
2019-05-26,8,0.0,20.0
2019-06-02,8,0.0,11.0
2019-06-09,8,1.0,16.0
2019-06-16,8,1.0,22.0
2019-06-23,8,0.0,18.0
2019-06-30,8,0.0,10.0
2019-07-07,8,1.0,1.0
2019-07-14,8,0.0,2.0
2019-07-21,8,0.0,0.0
2019-07-28,8,0.0,0.0
2019-08-04,8,3.0,1.0
2019-08-11,8,0.0,1.0
2019-08-18,8,0.0,0.0
2019-08-25,8,0.0,0.0
2019-09-01,8,0.0,1.0
2019-09-08,8,0.0,0.0
2019-09-15,8,0.0,0.0
2019-09-22,8,0.0,0.0
2019-09-29,8,0.0,3.0
2019-10-06,8,0.0,0.0
2019-10-13,8,1.0,0.0
2019-10-20,8,0.0,0.0
2019-10-27,8,0.0,0.0
2019-11-03,8,1.0,0.0
2019-11-10,8,2.0,0.0
2019-11-17,8,4.0,0.0
2019-11-24,8,2.0,0.0
2019-12-01,8,3.0,0.0
2019-12-08,8,3.0,1.0
2019-12-15,8,2.0,0.0
2019-12-22,8,1.0,0.0
2019-12-29,8,4.0,1.0
2020-01-05,8,4.0,2.0
2020-01-12,8,3.0,4.0
2020-01-19,8,1.0,2.0
2020-01-26,8,0.0,3.0
2020-02-02,8,1.0,3.0
2020-02-09,8,2.0,2.0
2020-02-16,8,3.0,1.0
2020-02-23,8,1.0,4.0
2020-03-01,8,0.0,4.0
2020-03-08,8,0.0,3.0
2020-03-15,8,0.0,1.0
2020-03-22,8,1.0,0.0
2020-03-29,8,0.0,1.0
2020-04-05,8,0.0,2.0
2020-04-12,8,0.0,3.0
2020-04-19,8,0.0,1.0
2020-04-26,8,0.0,0.0
2020-05-03,8,0.0,0.0
2020-05-10,8,0.0,0.0
2020-05-17,8,0.0,1.0
2020-05-24,8,0.0,0.0
2020-05-31,8,0.0,0.0
2020-06-07,8,0.0,0.0
2020-06-14,8,0.0,0.0
2020-06-21,8,0.0,0.0
2020-06-28,8,0.0,0.0
2020-07-05,8,0.0,0.0
2020-07-12,8,0.0,0.0
2020-07-19,8,0.0,0.0
2020-07-26,8,0.0,0.0
2020-08-02,8,0.0,0.0
2020-08-09,8,0.0,0.0
2020-08-16,8,0.0,0.0
2020-08-23,8,0.0,0.0
2020-08-30,8,0.0,0.0
2020-09-06,8,0.0,0.0
2020-09-13,8,0.0,0.0
2020-09-20,8,0.0,0.0
2020-09-27,8,0.0,0.0
2020-10-04,8,0.0,0.0
2020-10-11,8,0.0,0.0
2020-10-18,8,0.0,0.0
2020-10-25,8,0.0,0.0
2020-11-01,8,0.0,0.0
2020-11-08,8,0.0,0.0
2020-11-15,8,0.0,0.0
2020-11-22,8,0.0,0.0
2020-11-29,8,0.0,0.0
2020-12-06,8,0.0,0.0
2020-12-13,8,0.0,0.0
2020-12-20,8,0.0,0.0
2020-12-27,8,2.0,0.0
2021-01-03,8,0.0,0.0
2021-01-10,8,1.0,0.0
2021-01-17,8,0.0,0.0
2021-01-24,8,1.0,0.0
2021-01-31,8,1.0,0.0
2021-02-07,8,9.0,0.0
2021-02-14,8,12.0,0.0
2021-02-21,8,12.0,2.0
2021-02-28,8,8.0,0.0
2021-03-07,8,7.0,1.0
2021-03-14,8,9.0,0.0
2021-03-21,8,5.0,1.0
2021-03-28,8,0.0,1.0
2021-04-04,8,1.0,9.0
2021-04-11,8,1.0,12.0
2021-04-18,8,0.0,12.0
2021-04-25,8,0.0,8.0
2021-05-02,8,0.0,7.0
2021-05-09,8,1.0,9.0
2021-05-16,8,0.0,5.0
2021-05-23,8,1.0,0.0
2021-05-30,8,0.0,1.0
2021-06-06,8,0.0,1.0
2021-06-13,8,0.0,0.0
2021-06-20,8,0.0,0.0
2021-06-27,8,0.0,0.0
2021-07-04,8,0.0,1.0
2021-07-11,8,0.0,0.0
2021-07-18,8,0.0,1.0
2021-07-25,8,0.0,0.0
2021-08-01,8,0.0,0.0
2021-08-08,8,0.0,0.0
2021-08-15,8,0.0,0.0
2021-08-22,8,0.0,0.0
2021-08-29,8,0.0,0.0
2021-09-05,8,0.0,0.0
2021-09-12,8,0.0,0.0
2021-09-19,8,0.0,0.0
2021-09-26,8,0.0,0.0
2021-10-03,8,0.0,0.0
2021-10-10,8,1.0,0.0
2021-10-17,8,0.0,0.0
2021-10-24,8,0.0,0.0
2021-10-31,8,0.0,0.0
2021-11-07,8,1.0,0.0
2021-11-14,8,0.0,0.0
2021-11-21,8,2.0,0.0
2021-11-28,8,0.0,0.0
2021-12-05,8,1.0,1.0
2021-12-12,8,2.0,0.0
2021-12-19,8,9.0,0.0
2021-12-26,8,20.0,0.0
2022-01-02,8,51.0,1.0
2022-01-09,8,203.0,0.0
2022-01-16,8,269.0,2.0
2022-01-23,8,463.0,0.0
2022-01-30,8,482.0,1.0
2022-02-06,8,524.0,2.0
2022-02-13,8,753.0,9.0
2022-02-20,8,879.0,20.0
2022-02-27,8,569.0,51.0
2022-03-06,8,344.0,203.0
2022-03-13,8,223.0,269.0
2022-03-20,8,313.0,463.0
2022-03-27,8,122.0,482.0
2022-04-03,8,92.0,524.0
2022-04-10,8,61.0,753.0
2022-04-17,8,17.0,879.0
2022-04-24,8,26.0,569.0
2022-05-01,8,19.0,344.0
2022-05-08,8,14.0,223.0
2022-05-15,8,24.0,313.0
2022-05-22,8,13.0,122.0
2022-05-29,8,11.0,92.0
2022-06-05,8,11.0,61.0
2022-06-12,8,3.0,17.0
2022-06-19,8,3.0,26.0
2022-06-26,8,3.0,19.0
2022-07-03,8,1.0,14.0
2022-07-10,8,2.0,24.0
2022-07-17,8,0.0,13.0
2022-07-24,8,3.0,11.0
2022-07-31,8,0.0,11.0
2022-08-07,8,1.0,3.0
2022-08-14,8,0.0,3.0
2022-08-21,8,1.0,3.0
2022-08-28,8,0.0,1.0
2022-09-04,8,0.0,2.0
2022-09-11,8,6.0,0.0
2022-09-18,8,11.0,3.0
2022-09-25,8,7.0,0.0
2022-10-02,8,9.0,1.0
2022-10-09,8,10.0,0.0
2022-10-16,8,4.0,1.0
2022-10-23,8,0.0,0.0
2022-10-30,8,1.0,0.0
2022-11-06,8,0.0,6.0
2022-11-13,8,3.0,11.0
2022-11-20,8,2.0,7.0
2022-11-27,8,0.0,9.0
2022-12-04,8,2.0,10.0
2022-12-11,8,0.0,4.0
2022-12-18,8,10.0,0.0
2022-12-25,8,7.0,1.0
2023-01-01,8,27.0,0.0
2023-01-08,8,37.0,3.0
2023-01-15,8,93.0,2.0
2023-01-22,8,199.0,0.0
2023-01-29,8,250.0,2.0
2023-02-05,8,360.0,0.0
2023-02-12,8,541.0,10.0
2023-02-19,8,589.0,7.0
2023-02-26,8,581.0,27.0
2023-03-05,8,760.0,37.0
2023-03-12,8,762.0,93.0
2023-03-19,8,540.0,199.0
2023-03-26,8,473.0,250.0
2023-04-02,8,450.0,360.0
2023-04-09,8,225.0,541.0
2023-04-16,8,219.0,589.0
2023-04-23,8,66.0,581.0
2023-04-30,8,76.0,760.0
2023-05-07,8,74.0,762.0
2023-05-14,8,52.0,540.0
2023-05-21,8,32.0,473.0
2023-05-28,8,25.0,450.0
2023-06-04,8,15.0,225.0
2023-06-11,8,18.0,219.0
2023-06-18,8,13.0,66.0
2023-06-25,8,9.0,76.0
2023-07-02,8,9.0,74.0
2023-07-09,8,1.0,52.0
2023-07-16,8,9.0,32.0
2023-07-23,8,3.0,25.0
2023-07-30,8,0.0,15.0
2023-08-06,8,5.0,18.0
2023-08-13,8,5.0,13.0
2023-08-20,8,4.0,9.0
2023-08-27,8,3.0,9.0
2023-09-03,8,7.0,1.0
2023-09-10,8,6.0,9.0
2023-09-17,8,0.0,3.0
2023-09-24,8,3.0,0.0
2023-10-01,8,3.0,5.0
2023-10-08,8,7.0,5.0
2023-10-15,8,3.0,4.0
2023-10-22,8,3.0,3.0
2023-10-29,8,10.0,7.0
2023-11-05,8,9.0,6.0
2023-11-12,8,11.0,0.0
2023-11-19,8,12.0,3.0
2023-11-26,8,30.0,3.0
2023-12-03,8,39.0,7.0
2023-12-10,8,80.0,3.0
2023-12-17,8,156.0,3.0
2023-12-24,8,249.0,10.0
2023-12-31,8,558.0,9.0
2024-01-07,8,1311.0,11.0
2024-01-14,8,1227.0,12.0
2024-01-21,8,995.0,30.0
2024-01-28,8,1109.0,39.0
2024-02-04,8,1601.0,80.0
2024-02-11,8,1849.0,156.0
2024-02-18,8,1783.0,249.0
2024-02-25,8,1855.0,558.0
2024-03-03,8,1347.0,1311.0
2024-03-10,8,911.0,1227.0
2024-03-17,8,1510.0,995.0
2024-03-24,8,646.0,1109.0
2024-03-31,8,520.0,1601.0
2024-04-07,8,199.0,1849.0
2024-04-14,8,263.0,1783.0
2024-04-21,8,277.0,1855.0
2024-04-28,8,194.0,1347.0
2024-05-05,8,89.0,911.0
2024-05-12,8,22.0,1510.0
2024-05-19,8,10.0,646.0
2024-05-26,8,13.0,520.0
2024-06-02,8,22.0,199.0
2024-06-09,8,13.0,263.0
2024-06-16,8,16.0,277.0
2024-06-23,8,13.0,194.0
2024-06-30,8,14.0,89.0
2024-07-07,8,9.0,22.0
2024-07-14,8,7.0,10.0
2024-07-21,8,10.0,13.0
2024-07-28,8,7.0,22.0
2024-08-04,8,3.0,13.0
2024-08-11,8,6.0,16.0
2024-08-18,8,2.0,13.0
2024-08-25,8,3.0,14.0
2024-09-01,8,3.0,9.0
2024-09-08,8,1.0,7.0
2024-09-15,8,2.0,10.0
2024-09-22,8,0.0,7.0
2024-09-29,8,7.0,3.0
2024-10-06,8,4.0,6.0
2024-10-13,8,5.0,2.0
2024-10-20,8,1.0,3.0
2024-10-27,8,1.0,3.0
2024-11-03,8,19.0,1.0
2024-11-10,8,26.0,2.0
2024-11-17,8,32.0,0.0
2024-11-24,8,37.0,7.0
2024-12-01,8,47.0,4.0
2024-12-08,8,75.0,5.0
2024-12-15,8,161.0,1.0
2024-12-22,8,245.0,1.0
2024-12-29,8,383.0,19.0
2025-01-05,8,494.0,26.0
2025-01-12,8,917.0,32.0
2025-01-19,8,1199.0,37.0
2025-01-26,8,1801.0,47.0
2025-02-02,8,2381.0,75.0
2025-02-09,8,2184.0,161.0
2025-02-16,8,2247.0,245.0
2025-02-23,8,2229.0,383.0
2025-03-02,8,2212.0,494.0
2025-03-09,8,2159.0,917.0
2025-03-16,8,1944.0,1199.0
2025-03-23,8,1988.0,1801.0
2025-03-30,8,883.0,2381.0
2025-04-06,8,579.0,2184.0
2025-04-13,8,257.0,2247.0
2025-04-20,8,105.0,2229.0
2025-04-27,8,50.0,2212.0
2025-05-04,8,22.0,2159.0
2025-05-11,8,13.0,1944.0
2025-05-18,8,7.0,1988.0
2025-05-25,8,9.0,883.0
2025-06-01,8,5.0,579.0
2025-06-08,8,4.0,257.0
2025-06-15,8,11.0,105.0
2025-06-22,8,9.0,50.0
2025-06-29,8,4.0,22.0
2025-07-06,8,8.0,13.0
2025-07-13,8,6.0,7.0
2025-07-20,8,3.0,9.0
2025-07-27,8,9.0,5.0
2025-08-03,8,6.0,4.0
2025-08-10,8,7.0,11.0
2025-08-17,8,5.0,9.0
2025-08-24,8,4.0,4.0
2025-08-31,8,8.0,8.0
2025-09-07,8,4.0,6.0
2025-09-14,8,0.0,3.0
2025-09-21,8,5.0,9.0
2025-09-28,8,2.0,6.0
2025-10-05,8,3.0,7.0
2025-10-12,8,2.0,5.0
2025-10-19,8,1.0,4.0
2025-10-26,8,1.0,8.0
2025-11-02,8,0.0,4.0
2025-11-09,8,2.0,0.0
2025-11-16,8,1.0,5.0
2025-11-23,8,1.0,2.0
2025-11-30,8,1.0,3.0
2025-12-07,8,1.0,2.0
2025-12-14,8,1.0,1.0
2025-12-21,8,1.0,1.0
2025-12-28,8,0.0,0.0
2026-01-04,8,1.0,2.0
2026-01-11,8,0.0,1.0
2026-01-18,8,0.0,1.0
2026-01-25,8,0.0,1.0
2026-02-01,8,0.0,1.0
2026-02-08,8,0.0,1.0
2026-02-15,8,0.0,1.0
2026-02-22,8,2.0,0.0
2026-03-01,8,1.0,1.0
