data,h,real,pred
2014-10-19,12,4.0,12.914191510251555
2014-10-26,12,10.0,12.738133319215802
2014-11-02,12,3.0,11.465011527835376
2014-11-09,12,2.0,12.062526370237775
2014-11-16,12,8.0,22.217120356253726
2014-11-23,12,10.0,20.82887346742652
2014-11-30,12,16.0,12.798591260880057
2014-12-07,12,23.0,56.01187818765357
2014-12-14,12,17.0,58.304203914220246
2014-12-21,12,12.0,74.63968359482294
2014-12-28,12,28.0,105.11804907550297
2015-01-04,12,19.0,61.95238173928686
2015-01-11,12,47.0,40.972183966673576
2015-01-18,12,42.0,40.472687576097236
2015-01-25,12,34.0,71.76553451267031
2015-02-01,12,38.0,42.56835216684629
2015-02-08,12,46.0,21.558833687274173
2015-02-15,12,41.0,28.123467073409252
2015-02-22,12,41.0,26.446319355295206
2015-03-01,12,20.0,20.66428692112653
2015-03-08,12,23.0,12.732510434631026
2015-03-15,12,15.0,22.674990149154848
2015-03-22,12,5.0,8.668988019654174
2015-03-29,12,7.0,8.356060487577547
2015-04-05,12,5.0,5.652017069379077
2015-04-12,12,6.0,3.458010530711479
2015-04-19,12,2.0,3.362156200447753
2015-04-26,12,6.0,4.349539291677716
2015-05-03,12,5.0,2.583518316883094
2015-05-10,12,11.0,2.8741534031344185
2015-05-17,12,5.0,4.33181384498917
2015-05-24,12,8.0,6.95303651288094
2015-05-31,12,4.0,2.4963083636445558
2015-06-07,12,4.0,3.636827940566415
2015-06-14,12,2.0,3.8495983950860064
2015-06-21,12,3.0,4.113217952471385
2015-06-28,12,5.0,3.917167326384156
2015-07-05,12,4.0,2.8867024357515043
2015-07-12,12,1.0,3.5494974042918104
2015-07-19,12,4.0,2.897382307061743
2015-07-26,12,7.0,4.482282544859806
2015-08-02,12,6.0,6.467772766266736
2015-08-09,12,1.0,7.409949054736486
2015-08-16,12,5.0,5.728812844392687
2015-08-23,12,7.0,3.467608259458142
2015-08-30,12,18.0,6.864127618783298
2015-09-06,12,17.0,7.392482217330306
2015-09-13,12,22.0,6.819855811396374
2015-09-20,12,25.0,7.728579242880215
2015-09-27,12,18.0,6.22305300762306
2015-10-04,12,15.0,14.331944494376957
2015-10-11,12,50.0,15.443464489539519
2015-10-18,12,45.0,20.028527054881557
2015-10-25,12,45.0,13.922867234404507
2015-11-01,12,31.0,27.940986302886046
2015-11-08,12,44.0,10.113931145835068
2015-11-15,12,99.0,23.876606387803406
2015-11-22,12,158.0,32.782222287945864
2015-11-29,12,128.0,29.898305103287235
2015-12-06,12,106.0,9.63710890559631
2015-12-13,12,143.0,22.631458708113236
2015-12-20,12,169.0,118.07029650601682
2015-12-27,12,146.0,85.25892008138433
2016-01-03,12,163.0,130.2372948729458
2016-01-10,12,151.0,48.69245712720615
2016-01-17,12,126.0,99.7300046889201
2016-01-24,12,116.0,126.65903386329377
2016-01-31,12,89.0,140.59129370186034
2016-02-07,12,65.0,84.29051632372857
2016-02-14,12,37.0,35.41702476399076
2016-02-21,12,20.0,43.233381954354826
2016-02-28,12,31.0,5.002551720206346
2016-03-06,12,12.0,12.647915234887975
2016-03-13,12,7.0,13.793621407651376
2016-03-20,12,7.0,9.4337309456795
2016-03-27,12,9.0,4.09265487090151
2016-04-03,12,10.0,9.845650513681917
2016-04-10,12,10.0,4.767731084182001
2016-04-17,12,13.0,17.078773519519928
2016-04-24,12,7.0,11.620898710377752
2016-05-01,12,6.0,2.4086754618367014
2016-05-08,12,11.0,4.204895091019338
2016-05-15,12,19.0,6.0918550677514
2016-05-22,12,16.0,3.2471468573094904
2016-05-29,12,13.0,9.288128364199004
2016-06-05,12,9.0,10.159510325447002
2016-06-12,12,5.0,5.194541784942763
2016-06-19,12,11.0,3.8621797369751047
2016-06-26,12,8.0,5.771486403340084
2016-07-03,12,9.0,5.991062354405657
2016-07-10,12,10.0,6.118008154241685
2016-07-17,12,9.0,4.838178523843664
2016-07-24,12,9.0,6.673604701762281
2016-07-31,12,18.0,7.328208710586718
2016-08-07,12,11.0,6.960378943370515
2016-08-14,12,10.0,9.580622199132277
