data,h,real,pred
2014-10-19,8,4.0,7.919367467947743
2014-10-26,8,3.0,5.616762640880406
2014-11-02,8,2.0,6.99064358525774
2014-11-09,8,8.0,9.363203011112677
2014-11-16,8,4.0,9.87948167151994
2014-11-23,8,10.0,10.70647213672328
2014-11-30,8,3.0,5.352953368086258
2014-12-07,8,2.0,8.97783668989363
2014-12-14,8,8.0,12.763156333875184
2014-12-21,8,10.0,21.346026831165158
2014-12-28,8,16.0,94.41576672800188
2015-01-04,8,23.0,85.84671512576227
2015-01-11,8,17.0,119.50575413637877
2015-01-18,8,12.0,120.07059228461755
2015-01-25,8,28.0,84.49371645755802
2015-02-01,8,19.0,36.76426875074911
2015-02-08,8,47.0,31.760609098737813
2015-02-15,8,42.0,12.55586924079977
2015-02-22,8,34.0,45.76554776006423
2015-03-01,8,38.0,57.12127732503319
2015-03-08,8,46.0,54.6728809703778
2015-03-15,8,41.0,5.790761029396934
2015-03-22,8,41.0,24.431804248601328
2015-03-29,8,20.0,21.840857480089888
2015-04-05,8,23.0,35.728282574995276
2015-04-12,8,15.0,25.541570728867892
2015-04-19,8,5.0,11.5710786183234
2015-04-26,8,7.0,6.450028233957222
2015-05-03,8,5.0,2.858699739496104
2015-05-10,8,6.0,9.647606362229412
2015-05-17,8,2.0,8.031354372076937
2015-05-24,8,6.0,7.692829586143581
2015-05-31,8,5.0,4.887692040810228
2015-06-07,8,11.0,3.325556566392298
2015-06-14,8,5.0,5.295181859869341
2015-06-21,8,8.0,4.094552781178977
2015-06-28,8,4.0,2.658408510189672
2015-07-05,8,4.0,4.082116682360871
2015-07-12,8,2.0,2.8675923462543187
2015-07-19,8,3.0,2.65300401285099
2015-07-26,8,5.0,1.6135620600000498
2015-08-02,8,4.0,2.9176837169597603
2015-08-09,8,1.0,1.002932801606437
2015-08-16,8,4.0,2.8715485842603976
2015-08-23,8,7.0,1.7285078704310306
2015-08-30,8,6.0,3.6146601493078965
2015-09-06,8,1.0,6.387619803469776
2015-09-13,8,5.0,4.873276171306213
2015-09-20,8,7.0,4.688453021582425
2015-09-27,8,18.0,5.935429719504567
2015-10-04,8,17.0,4.526747234440272
2015-10-11,8,22.0,10.751041254794798
2015-10-18,8,25.0,13.72669123860847
2015-10-25,8,18.0,6.967971364065461
2015-11-01,8,15.0,4.766010437238292
2015-11-08,8,50.0,5.050959480152877
2015-11-15,8,45.0,15.348294116979194
2015-11-22,8,45.0,9.733205632875485
2015-11-29,8,31.0,5.797879491612039
2015-12-06,8,44.0,34.649596816141035
2015-12-13,8,99.0,35.111652027378184
2015-12-20,8,158.0,79.3166496920821
2015-12-27,8,128.0,78.84111315653105
2016-01-03,8,106.0,112.0776251482703
2016-01-10,8,143.0,131.12093160458403
2016-01-17,8,169.0,89.11717170644896
2016-01-24,8,146.0,81.70218173128282
2016-01-31,8,163.0,73.41808816101542
2016-02-07,8,151.0,131.90629319604366
2016-02-14,8,126.0,110.60011329856479
2016-02-21,8,116.0,69.35735816923949
2016-02-28,8,89.0,55.709907161240416
2016-03-06,8,65.0,70.20923533913839
2016-03-13,8,37.0,55.9301070251257
2016-03-20,8,20.0,27.303864528202908
2016-03-27,8,31.0,18.90893924262827
2016-04-03,8,12.0,22.82156887716805
2016-04-10,8,7.0,12.74713411869187
2016-04-17,8,7.0,7.1635290629622626
2016-04-24,8,9.0,7.975726420417161
2016-05-01,8,10.0,6.68057786554157
2016-05-08,8,10.0,6.300300433609252
2016-05-15,8,13.0,4.124588495287758
2016-05-22,8,7.0,4.31380610138939
2016-05-29,8,6.0,9.966851648545834
2016-06-05,8,11.0,4.869871525740683
2016-06-12,8,19.0,3.599262488420672
2016-06-19,8,16.0,4.423418977637912
2016-06-26,8,13.0,5.1942026838547415
2016-07-03,8,9.0,6.332177362813054
2016-07-10,8,5.0,8.015215778731712
2016-07-17,8,11.0,5.703602545951895
2016-07-24,8,8.0,6.251199486129476
2016-07-31,8,9.0,11.362166988998947
2016-08-07,8,10.0,6.77232565830668
2016-08-14,8,9.0,8.711943945812521
2016-08-21,8,9.0,8.662393068151724
2016-08-28,8,18.0,13.459454875244662
2016-09-04,8,11.0,15.51833830466292
2016-09-11,8,10.0,9.47466775676544
2016-09-18,8,7.0,12.812383832197805
2016-09-25,8,15.0,15.145924506896758
2016-10-02,8,9.0,13.865990265444124
2016-10-09,8,24.0,14.473946032202123
2016-10-16,8,21.0,16.473658111925644
2016-10-23,8,31.0,21.30760495238952
2016-10-30,8,41.0,34.16934543297045
2016-11-06,8,35.0,36.955992874084394
2016-11-13,8,44.0,35.698867762086344
2016-11-20,8,30.0,25.51606691505802
2016-11-27,8,27.0,24.844325477621606
2016-12-04,8,23.0,37.93954445875523
2016-12-11,8,16.0,60.31539112965845
2016-12-18,8,25.0,92.65135711281494
2016-12-25,8,7.0,127.3120687166891
2017-01-01,8,28.0,152.91243844030515
2017-01-08,8,25.0,141.6361595090045
2017-01-15,8,15.0,130.31187963622125
2017-01-22,8,12.0,98.77902711461236
2017-01-29,8,10.0,82.57819877848758
2017-02-05,8,5.0,55.52545300071118
2017-02-12,8,6.0,35.6641565801033
2017-02-19,8,8.0,24.474522575150658
2017-02-26,8,7.0,39.12007337174564
2017-03-05,8,9.0,36.6464725801165
2017-03-12,8,6.0,26.023633180871407
