data,h,real,pred
2014-10-19,1,7.0,2.8085865443319737
2014-10-26,1,7.0,3.945128523614056
2014-11-02,1,6.0,4.372529637506213
2014-11-09,1,7.0,2.6920095104543353
2014-11-16,1,4.0,1.8099573586475637
2014-11-23,1,6.0,4.7037583521075454
2014-11-30,1,6.0,6.513137493138072
2014-12-07,1,4.0,11.22351810981892
2014-12-14,1,3.0,12.588821152917877
2014-12-21,1,2.0,7.39312071588214
2014-12-28,1,8.0,19.32948220616687
2015-01-04,1,4.0,14.393034598943107
2015-01-11,1,10.0,9.67759606287568
2015-01-18,1,3.0,18.264109630921197
2015-01-25,1,2.0,17.75062476233166
2015-02-01,1,8.0,48.308565734282475
2015-02-08,1,10.0,25.471749881630448
2015-02-15,1,16.0,45.33561258999148
2015-02-22,1,23.0,77.50683220688249
2015-03-01,1,17.0,45.48253979441224
2015-03-08,1,12.0,34.71943915454412
2015-03-15,1,28.0,33.48999315096216
2015-03-22,1,19.0,39.52733452826071
2015-03-29,1,47.0,23.020557346365273
2015-04-05,1,42.0,45.62614452523843
2015-04-12,1,34.0,36.55277389448555
2015-04-19,1,38.0,70.56061528768454
2015-04-26,1,46.0,71.35295897503761
2015-05-03,1,41.0,42.00494835030151
2015-05-10,1,41.0,4.062143173334491
2015-05-17,1,20.0,18.704571877379827
2015-05-24,1,23.0,29.424162885651587
2015-05-31,1,15.0,11.206629387875997
2015-06-07,1,5.0,31.56335403014562
2015-06-14,1,7.0,10.76241715421434
2015-06-21,1,5.0,3.41268009658539
2015-06-28,1,6.0,4.288559057374747
2015-07-05,1,2.0,1.4502194085969804
2015-07-12,1,6.0,3.430042063398831
2015-07-19,1,5.0,3.6082088200438576
2015-07-26,1,11.0,3.144926407246376
2015-08-02,1,5.0,5.9784260949996195
2015-08-09,1,8.0,2.2469131656288246
2015-08-16,1,4.0,4.270309290440494
2015-08-23,1,4.0,4.955472388755413
2015-08-30,1,2.0,6.150714066676502
2015-09-06,1,3.0,7.026595625099818
2015-09-13,1,5.0,4.616907502611486
2015-09-20,1,4.0,5.045634971167368
2015-09-27,1,1.0,5.654781920931172
2015-10-04,1,4.0,4.374422939827447
2015-10-11,1,7.0,4.919576633018699
2015-10-18,1,6.0,3.799129251390853
2015-10-25,1,1.0,2.9081833630327116
2015-11-01,1,5.0,2.525461702057936
2015-11-08,1,7.0,4.04060727177302
2015-11-15,1,18.0,3.252483076977256
2015-11-22,1,17.0,9.992406993592727
2015-11-29,1,22.0,7.944493921609026
2015-12-06,1,25.0,20.57681200901755
2015-12-13,1,18.0,11.285547237830988
2015-12-20,1,15.0,17.094550079611334
2015-12-27,1,50.0,16.96703659610464
2016-01-03,1,45.0,13.58394364233181
2016-01-10,1,45.0,14.30703626075798
2016-01-17,1,31.0,18.633208175476828
2016-01-24,1,44.0,14.552386217263985
2016-01-31,1,99.0,14.247184775091462
2016-02-07,1,158.0,45.74139901533784
2016-02-14,1,128.0,19.003784817706247
2016-02-21,1,106.0,3.236430982294584
2016-02-28,1,143.0,36.35813647499725
2016-03-06,1,169.0,17.894598641101823
2016-03-13,1,146.0,32.365903267203926
2016-03-20,1,163.0,67.37645083939377
2016-03-27,1,151.0,115.17458283394431
2016-04-03,1,126.0,82.06660539171098
2016-04-10,1,116.0,27.726573915222247
2016-04-17,1,89.0,30.096648910968756
2016-04-24,1,65.0,52.3529441701468
2016-05-01,1,37.0,46.686705873974205
2016-05-08,1,20.0,61.30201785150526
2016-05-15,1,31.0,38.4318787825387
2016-05-22,1,12.0,16.74669669170909
2016-05-29,1,7.0,12.487013957462453
2016-06-05,1,7.0,10.057734592537066
2016-06-12,1,9.0,4.462422293454429
2016-06-19,1,10.0,2.497673701576263
2016-06-26,1,10.0,3.5576395713499185
2016-07-03,1,13.0,4.123515373852583
2016-07-10,1,7.0,5.02524105650202
2016-07-17,1,6.0,6.176899950883442
2016-07-24,1,11.0,4.8915213586623825
2016-07-31,1,19.0,6.39515253285872
2016-08-07,1,16.0,7.387986318471855
2016-08-14,1,13.0,8.085273453930567
2016-08-21,1,9.0,8.794300232774722
2016-08-28,1,5.0,6.097472646758142
2016-09-04,1,11.0,5.509918219822518
2016-09-11,1,8.0,5.780890304300567
2016-09-18,1,9.0,5.361760051077521
2016-09-25,1,10.0,6.896328324671934
2016-10-02,1,9.0,5.3829284623706695
2016-10-09,1,9.0,3.424175818397542
2016-10-16,1,18.0,3.631797034694688
2016-10-23,1,11.0,3.5585042909343083
2016-10-30,1,10.0,4.461238488892371
2016-11-06,1,7.0,2.1837736419606677
2016-11-13,1,15.0,4.170083989518103
2016-11-20,1,9.0,7.413732990403968
2016-11-27,1,24.0,11.805871271440452
2016-12-04,1,21.0,12.70059190361121
2016-12-11,1,31.0,14.397913786969063
2016-12-18,1,41.0,7.38601965735413
2016-12-25,1,35.0,5.187024167973167
2017-01-01,1,44.0,11.479827987582915
2017-01-08,1,30.0,8.493838058174433
2017-01-15,1,27.0,25.425682700427263
2017-01-22,1,23.0,18.02718748348887
2017-01-29,1,16.0,32.55364054978594
2017-02-05,1,25.0,50.44414308058542
2017-02-12,1,7.0,66.12768656798882
2017-02-19,1,28.0,66.37108167250382
2017-02-26,1,25.0,49.86464364285647
2017-03-05,1,15.0,32.43365764350986
2017-03-12,1,12.0,38.29511420448894
2017-03-19,1,10.0,72.86773070438143
2017-03-26,1,5.0,35.65490543773959
2017-04-02,1,6.0,104.89855118437853
2017-04-09,1,8.0,77.23944401546363
2017-04-16,1,7.0,44.35049493237795
2017-04-23,1,9.0,65.43788357708182
2017-04-30,1,6.0,44.513629365481364
2017-05-07,1,4.0,23.396855468058813
2017-05-14,1,4.0,14.807351282125907
2017-05-21,1,12.0,11.737683418827398
2017-05-28,1,3.0,11.825317758094009
2017-06-04,1,1.0,10.615447443314094
2017-06-11,1,2.0,7.969565548733561
2017-06-18,1,4.0,5.421838864973471
2017-06-25,1,5.0,4.0751343009708245
2017-07-02,1,4.0,4.963310413380599
2017-07-09,1,3.0,4.13976949824759
2017-07-16,1,1.0,5.073130734599657
