h,regime,semanas_avaliadas,n_treino_mediano,MAE,RMSE,R2
1,expansivel_2012,226,584,0.15262553170178175,0.2522911527667356,0.739931143275063
1,expansivel_2020,226,216,0.16170544802714326,0.26712375206119654,0.7084525020133736
1,deslizante_6anos,226,299,0.1505388209689085,0.2526375596829324,0.739216480884356
4,expansivel_2012,221,580,0.17312590496534883,0.2786430418870182,0.6873054658676399
4,expansivel_2020,221,214,0.17596590556437383,0.27590656580493356,0.6934170802425235
4,deslizante_6anos,221,297,0.17716982526710803,0.28323862917009307,0.6769060302856427
8,expansivel_2012,217,578,0.18024269955312508,0.2791208154993885,0.6877639387566072
8,expansivel_2020,217,212,0.1862704463124702,0.28398267058799453,0.6767918620425902
8,deslizante_6anos,217,297,0.19499350207161145,0.29749091010090184,0.6453123965979408
12,expansivel_2012,213,576,0.19190854276564087,0.3023726156082396,0.6336360753742996
12,expansivel_2020,213,210,0.20269891283639105,0.3031573461447118,0.6317320006892952
12,deslizante_6anos,213,297,0.2089072986918618,0.32484949865710966,0.5771442982247413
