fonte,SE,data_inicio_semana_epidemi,ano,semana,numero_de_armadilhas,aedes_aegypti,aedes_albopictus,culex_sp,aedes_aegypti_por_armadilha,denominador_aproximado,precip_total_mm,precip_max_dia_mm,precip_media_dia_mm,dias_de_chuva,temp_media,temp_min,temp_max,temp_amplitude_media,orvalho_min,orvalho_media,orvalho_max,umid_min,umid_media,umid_max,pressao_min,pressao_media,pressao_max,radiacao_min,radiacao_media,radiacao_max,vento_media,vento_max,casos_confirmados,nino34_anom,oni
secretaria,201239,2012-09-23,2012,39,493,32,4,203,0.056795131845841784,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201240,2012-09-30,2012,40,579,16,6,115,0.027633851468048358,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201241,2012-10-07,2012,41,651,25,17,107,0.03840245775729647,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201242,2012-10-14,2012,42,704,43,6,166,0.05965909090909091,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201243,2012-10-21,2012,43,705,80,4,144,0.1049645390070922,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201244,2012-10-28,2012,44,651,75,1,252,0.11367127496159754,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201245,2012-11-04,2012,45,684,136,4,443,0.19005847953216373,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201246,2012-11-11,2012,46,667,135,0,492,0.18590704647676162,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201247,2012-11-18,2012,47,711,317,14,533,0.44022503516174405,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201248,2012-11-25,2012,48,712,322,2,508,0.44241573033707865,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201249,2012-12-02,2012,49,713,381,15,835,0.5231416549789621,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201250,2012-12-09,2012,50,712,414,2,738,0.5716292134831461,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201251,2012-12-16,2012,51,710,356,3,707,0.48169014084507045,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201252,2012-12-23,2012,52,518,326,1,439,0.6235521235521235,1,,,,,,,,,,,,,,,,,,,,,,,,,
secretaria,201301,2012-12-30,2013,1,667,365,0,403,0.5322338830584707,1,,,,,,,,,,,,,,,,,,,,,,,,,
