h,data_alvo,real,pred,variante
1,2020-03-22,0.0,2.9368374257731134,A1_confirmados
1,2020-03-29,1.0,0.6924360020602748,A1_confirmados
1,2020-04-05,2.0,2.5449890895990612,A1_confirmados
1,2020-04-12,3.0,2.7495832908585562,A1_confirmados
1,2020-04-19,1.0,1.3333453638349142,A1_confirmados
1,2020-04-26,0.0,1.5646329399449932,A1_confirmados
1,2020-05-03,0.0,0.5992979373063864,A1_confirmados
1,2020-05-10,0.0,1.0012865189136155,A1_confirmados
1,2020-05-17,1.0,0.26433272452615203,A1_confirmados
1,2020-05-24,0.0,0.5314370587437135,A1_confirmados
1,2020-05-31,0.0,0.19108538994332822,A1_confirmados
1,2020-06-07,0.0,0.06303950933067543,A1_confirmados
1,2020-06-14,0.0,0.18379973781503656,A1_confirmados
1,2020-06-21,0.0,0.0,A1_confirmados
1,2020-06-28,0.0,0.039431747358769184,A1_confirmados
1,2020-07-05,0.0,0.0,A1_confirmados
1,2020-07-12,0.0,0.0,A1_confirmados
1,2020-07-19,0.0,0.44614909085839743,A1_confirmados
1,2020-07-26,0.0,0.0,A1_confirmados
1,2020-08-02,0.0,0.15618604359078592,A1_confirmados
1,2020-08-09,0.0,0.0,A1_confirmados
1,2020-08-16,0.0,0.07182986076386767,A1_confirmados
1,2020-08-23,0.0,0.3039366541156582,A1_confirmados
1,2020-08-30,0.0,0.0,A1_confirmados
1,2020-09-06,0.0,1.1159827451503523,A1_confirmados
1,2020-09-13,0.0,0.30157934130387987,A1_confirmados
1,2020-09-20,0.0,0.2676895802166473,A1_confirmados
1,2020-09-27,0.0,0.08287611619583812,A1_confirmados
1,2020-10-04,0.0,0.04300572269478582,A1_confirmados
1,2020-10-11,0.0,0.0972553790377521,A1_confirmados
1,2020-10-18,0.0,0.0,A1_confirmados
1,2020-10-25,0.0,0.0,A1_confirmados
1,2020-11-01,0.0,0.028452995762120067,A1_confirmados
1,2020-11-08,0.0,0.0,A1_confirmados
1,2020-11-15,0.0,0.0,A1_confirmados
1,2020-11-22,0.0,0.032775114923162756,A1_confirmados
1,2020-11-29,0.0,0.8209567545286758,A1_confirmados
1,2020-12-06,0.0,0.186709780301208,A1_confirmados
1,2020-12-13,0.0,0.4098966846347241,A1_confirmados
1,2020-12-20,0.0,0.035729915974983005,A1_confirmados
1,2020-12-27,0.0,0.97167831133624,A1_confirmados
1,2021-01-03,0.0,1.2288030419929543,A1_confirmados
1,2021-01-10,0.0,2.519010030166144,A1_confirmados
1,2021-01-17,0.0,2.4490722478819174,A1_confirmados
1,2021-01-24,0.0,0.36978163962212734,A1_confirmados
1,2021-01-31,0.0,1.0858624244612511,A1_confirmados
1,2021-02-07,0.0,1.451775166680949,A1_confirmados
1,2021-02-14,0.0,0.553472648352569,A1_confirmados
1,2021-02-21,2.0,0.9545414826095378,A1_confirmados
1,2021-02-28,0.0,3.0228574350716713,A1_confirmados
1,2021-03-07,1.0,1.079797714464289,A1_confirmados
1,2021-03-14,0.0,1.1063312498314097,A1_confirmados
1,2021-03-21,1.0,2.1781907417679816,A1_confirmados
1,2021-03-28,1.0,1.0983428536210464,A1_confirmados
1,2021-04-04,9.0,1.139626870602165,A1_confirmados
1,2021-04-11,12.0,15.432164444065888,A1_confirmados
1,2021-04-18,12.0,15.557480045199789,A1_confirmados
1,2021-04-25,8.0,14.704040295554444,A1_confirmados
1,2021-05-02,7.0,15.465781119782335,A1_confirmados
1,2021-05-09,9.0,7.822737566961652,A1_confirmados
1,2021-05-16,5.0,16.22080138326222,A1_confirmados
1,2021-05-23,0.0,5.972037810581123,A1_confirmados
1,2021-05-30,1.0,0.7625591562144961,A1_confirmados
1,2021-06-06,1.0,0.9709234836868774,A1_confirmados
1,2021-06-13,0.0,0.895883036366027,A1_confirmados
1,2021-06-20,0.0,0.0,A1_confirmados
1,2021-06-27,0.0,0.5734748515311421,A1_confirmados
1,2021-07-04,1.0,0.18971225011692458,A1_confirmados
1,2021-07-11,0.0,0.18936403516459685,A1_confirmados
1,2021-07-18,1.0,0.12883061488685507,A1_confirmados
1,2021-07-25,0.0,0.42973210553028607,A1_confirmados
1,2021-08-01,0.0,0.9492181624816477,A1_confirmados
1,2021-08-08,0.0,0.003683648360571736,A1_confirmados
1,2021-08-15,0.0,0.9449640616158534,A1_confirmados
1,2021-08-22,0.0,0.0,A1_confirmados
1,2021-08-29,0.0,0.13629607550031733,A1_confirmados
1,2021-09-05,0.0,0.013473179649683458,A1_confirmados
1,2021-09-12,0.0,0.014185153738582871,A1_confirmados
1,2021-09-19,0.0,0.0,A1_confirmados
1,2021-09-26,0.0,0.03333929186923991,A1_confirmados
1,2021-10-03,0.0,0.4670495707419483,A1_confirmados
1,2021-10-10,0.0,0.18861364401926667,A1_confirmados
1,2021-10-17,0.0,0.019469749859945377,A1_confirmados
1,2021-10-24,0.0,0.02084019772872351,A1_confirmados
1,2021-10-31,0.0,0.24702740517478133,A1_confirmados
1,2021-11-07,0.0,0.0,A1_confirmados
1,2021-11-14,0.0,0.40348821529713497,A1_confirmados
1,2021-11-21,0.0,0.09268611472134868,A1_confirmados
1,2021-11-28,0.0,0.3239178209143242,A1_confirmados
1,2021-12-05,1.0,0.046355671075331964,A1_confirmados
1,2021-12-12,0.0,0.5193894559841905,A1_confirmados
1,2021-12-19,0.0,1.6327797028514337,A1_confirmados
1,2021-12-26,0.0,0.14200987552238245,A1_confirmados
1,2022-01-02,1.0,1.1596239456908575,A1_confirmados
1,2022-01-09,0.0,0.6890596653367579,A1_confirmados
1,2022-01-16,2.0,1.3433933193782301,A1_confirmados
1,2022-01-23,0.0,1.4192179924380919,A1_confirmados
1,2022-01-30,1.0,1.3222766859125805,A1_confirmados
1,2022-02-06,2.0,1.220167427923904,A1_confirmados
1,2022-02-13,9.0,1.7942155178835624,A1_confirmados
1,2022-02-20,20.0,11.376676200096398,A1_confirmados
1,2022-02-27,51.0,18.595395626242073,A1_confirmados
1,2022-03-06,203.0,55.43403358797222,A1_confirmados
1,2022-03-13,269.0,97.8234935189917,A1_confirmados
1,2022-03-20,463.0,182.3803999745471,A1_confirmados
1,2022-03-27,482.0,268.04782684974157,A1_confirmados
