variante,h,periodo,n,n_picos,MAE_global,R2_global,pico_real_medio,pico_previsto_medio,pico_VIES
padrao,1,avaliacao,109,39,128.14977369445614,0.8330598380064834,1100.7179487179487,988.9465962058439,-111.77135251210464
padrao,1,calibracao,198,25,25.384986010058753,0.803434725725674,443.72,397.19580024207045,-46.52419975792953
padrao,4,avaliacao,109,39,182.9589160198021,0.7107844707931892,1100.7179487179487,878.4815492318803,-222.23639948606848
padrao,4,calibracao,195,25,31.56143874325605,0.7319871326251193,443.72,315.591121004044,-128.12887899595597
padrao,8,avaliacao,109,39,204.6190310130666,0.6362932496956866,1100.7179487179487,659.1008667125498,-441.6170820053988
padrao,8,calibracao,191,25,42.164684432706785,0.45872336807133385,443.72,198.44792900699693,-245.27207099300315
padrao,12,avaliacao,109,39,192.80110179504123,0.6745706914746266,1100.7179487179487,606.4100829678448,-494.30786575010393
padrao,12,calibracao,187,25,54.994730384302294,0.1869482225789696,443.72,119.53737320641149,-324.18262679358855
quantil_0.70,1,avaliacao,109,39,118.60115349195533,0.8588337127986735,1100.7179487179487,1019.3651521092621,-81.35279660868677
quantil_0.70,1,calibracao,198,25,25.33066151254666,0.7875552657914587,443.72,406.78164814050854,-36.938351859491426
quantil_0.70,4,avaliacao,109,39,187.3277975917468,0.7378502564126036,1100.7179487179487,911.263184060728,-189.45476465722066
quantil_0.70,4,calibracao,195,25,37.66926824418868,0.6582433659319513,443.72,354.9149549087225,-88.80504509127745
quantil_0.70,8,avaliacao,109,39,181.110893389164,0.7148374175366045,1100.7179487179487,683.8540417383699,-416.86390697957876
quantil_0.70,8,calibracao,191,25,41.3235314737435,0.5226508313833389,443.72,241.46969766032282,-202.25030233967718
quantil_0.70,12,avaliacao,109,39,184.75208234113776,0.7137743855996199,1100.7179487179487,631.6652180323631,-469.0527306855856
quantil_0.70,12,calibracao,187,25,47.91195107094348,0.3629202622586236,443.72,175.8767722444836,-267.84322775551647
quantil_0.80,1,avaliacao,109,39,116.08207907602252,0.8727597486993036,1100.7179487179487,1048.2345474217982,-52.48340129615039
quantil_0.80,1,calibracao,198,25,24.785818062007163,0.795846639684707,443.72,435.2378870722945,-8.482112927705526
quantil_0.80,4,avaliacao,109,39,188.62276318569684,0.7210658291260503,1100.7179487179487,964.5423707556992,-136.1755779622496
quantil_0.80,4,calibracao,195,25,34.200145008243624,0.7279161994099648,443.72,357.58429906565357,-86.1357009343464
quantil_0.80,8,avaliacao,109,39,175.52974753082475,0.7468399414646814,1100.7179487179487,738.9185320472583,-361.7994166706905
quantil_0.80,8,calibracao,191,25,45.31262612367474,0.46202477651920837,443.72,259.8724635997987,-183.84753640020125
quantil_0.80,12,avaliacao,109,39,202.27732895907673,0.6809437992405101,1100.7179487179487,631.1803584354517,-469.5375902824971
quantil_0.80,12,calibracao,187,25,48.460754222446994,0.38435974118733207,443.72,200.54793696286833,-243.17206303713166
quantil_0.85,1,avaliacao,109,39,118.09064456206104,0.8736629800079801,1100.7179487179487,1079.1664519614603,-21.55149675648843
quantil_0.85,1,calibracao,198,25,22.81932838631446,0.8271717477908109,443.72,458.4848846422304,14.764884642230355
quantil_0.85,4,avaliacao,109,39,185.84431765950265,0.739196327875949,1100.7179487179487,1014.704038757163,-86.01390996078574
quantil_0.85,4,calibracao,195,25,39.313748125980965,0.6535358551992494,443.72,411.6350930473547,-32.084906952645305
quantil_0.85,8,avaliacao,109,39,172.75244860548673,0.7788343651186533,1100.7179487179487,775.0888649982343,-325.6290837197145
quantil_0.85,8,calibracao,191,25,44.16163225017491,0.543474338490933,443.72,283.9750625455199,-159.74493745448012
quantil_0.85,12,avaliacao,109,39,189.6539661991454,0.7279649293560494,1100.7179487179487,680.1281511226697,-420.5897975952791
quantil_0.85,12,calibracao,187,25,45.65872580387359,0.4429401771653688,443.72,237.07226093954523,-206.64773906045477
quantil_0.90,1,avaliacao,109,39,126.94924929669567,0.8555004640177372,1100.7179487179487,1133.0634421474563,32.345493429507734
quantil_0.90,1,calibracao,198,25,26.158062785722734,0.7980386142812894,443.72,490.5058378032599,46.785837803259895
quantil_0.90,4,avaliacao,109,39,189.67101772657347,0.7179798192361169,1100.7179487179487,1074.981983481464,-25.735965236484578
quantil_0.90,4,calibracao,195,25,42.6444853056736,0.5933327809550433,443.72,414.6660954933278,-29.053904506672247
quantil_0.90,8,avaliacao,109,39,185.84904708778723,0.7430317090189478,1100.7179487179487,783.5799595269488,-317.1379891910002
quantil_0.90,8,calibracao,191,25,44.55570370011144,0.5248739271302845,443.72,286.2254120524627,-157.49458794753735
quantil_0.90,12,avaliacao,109,39,201.57011579415317,0.7001529820234549,1100.7179487179487,716.1839932019963,-384.5339555159523
quantil_0.90,12,calibracao,187,25,47.020749219487776,0.4210244640507097,443.72,245.83641330410893,-197.88358669589107
