h,data,real,pred,maximo_visto_no_treino,variante
1,2020-03-15,0.0,6.470481478242428,64.0,original
1,2020-03-29,2.0,0.9339643685317248,64.0,original
1,2020-04-12,1.0,3.5613895992557807,64.0,original
1,2020-04-26,0.0,1.1794012124256343,64.0,original
1,2020-05-10,1.0,0.45492972842832524,64.0,original
1,2020-05-24,0.0,0.043841481296015894,64.0,original
1,2020-06-07,0.0,0.13707491696700622,64.0,original
1,2020-06-21,0.0,-0.16039358540919402,64.0,original
1,2020-07-05,0.0,-0.5481703190010956,64.0,original
1,2020-07-19,0.0,0.0798170330350266,64.0,original
1,2020-08-02,0.0,0.2649473474146038,64.0,original
1,2020-08-16,0.0,-0.17925092463327744,64.0,original
1,2020-08-30,0.0,-0.2277715771190521,64.0,original
1,2020-09-13,0.0,-0.020280720740499494,64.0,original
1,2020-09-27,0.0,-0.08417016320003107,64.0,original
1,2020-10-11,0.0,-0.08280255875432134,64.0,original
1,2020-10-25,0.0,-0.0897422058821263,64.0,original
1,2020-11-08,0.0,-0.10954919975159569,64.0,original
1,2020-11-22,0.0,0.35049220001254827,64.0,original
1,2020-12-06,0.0,0.4067607565645172,64.0,original
1,2020-12-20,0.0,0.2946358697964702,64.0,original
1,2021-01-03,0.0,1.5222800195551123,64.0,original
1,2021-01-17,0.0,0.3156515856095648,64.0,original
1,2021-01-31,0.0,1.214966048764761,64.0,original
1,2021-02-14,2.0,-0.26464818322563277,64.0,original
1,2021-02-28,1.0,-0.054430062855228625,64.0,original
1,2021-03-14,1.0,-0.09185622661161254,64.0,original
1,2021-03-28,9.0,1.8741969769141902,64.0,original
1,2021-04-11,12.0,8.61790490480815,64.0,original
1,2021-04-25,7.0,5.974187248415504,64.0,original
1,2021-05-09,5.0,6.804622049626645,64.0,original
1,2021-05-23,1.0,-1.1624453587373749,64.0,original
1,2021-06-06,0.0,0.08101409956884306,64.0,original
1,2021-06-20,0.0,-0.08384275744897121,64.0,original
1,2021-07-04,0.0,-0.2214830526203206,64.0,original
1,2021-07-18,0.0,-0.10363460717560563,64.0,original
1,2021-08-01,0.0,0.08508036213503194,64.0,original
1,2021-08-15,0.0,-0.05031223762416569,64.0,original
1,2021-08-29,0.0,-0.1308925592876309,64.0,original
1,2021-09-12,0.0,-0.003349665477737906,64.0,original
1,2021-09-26,0.0,0.03963555205285665,64.0,original
1,2021-10-10,0.0,0.02015800047275881,64.0,original
1,2021-10-24,0.0,0.3411819242268953,64.0,original
1,2021-11-07,0.0,0.5446426040309476,64.0,original
1,2021-11-21,0.0,0.16318680114325612,64.0,original
1,2021-12-05,0.0,0.24468558613243838,64.0,original
1,2021-12-19,0.0,0.501720276716504,64.0,original
1,2022-01-02,0.0,0.18821136423824483,64.0,original
1,2022-01-16,0.0,1.3718623414819329,64.0,original
1,2022-01-30,2.0,0.3578089027701352,64.0,original
1,2022-02-13,20.0,14.821251995418447,64.0,original
1,2022-02-27,203.0,46.90814717584029,64.0,original
1,2022-03-13,463.0,81.93431135565667,269.0,original
1,2022-03-27,524.0,285.972880679447,482.0,original
1,2022-04-10,879.0,565.0936393230152,753.0,original
1,2022-04-24,344.0,596.5419977710299,879.0,original
1,2022-05-08,313.0,201.53687076321108,879.0,original
1,2022-05-22,92.0,149.7116566919745,879.0,original
1,2022-06-05,17.0,16.37769722669193,879.0,original
1,2022-06-19,19.0,9.295818320392879,879.0,original
