grid: 120 celulas | passo=1
M0=14 colunas | M1=20 colunas

[  1/120] hist_gradient_boosting | padrao | M0_sem_vetor | h=1: 307 semanas (2.8 min)
[  2/120] hist_gradient_boosting | padrao | M0_sem_vetor | h=4: 304 semanas (1.7 min)
[  3/120] hist_gradient_boosting | padrao | M0_sem_vetor | h=8: 300 semanas (1.7 min)
[  4/120] hist_gradient_boosting | padrao | M0_sem_vetor | h=12: 296 semanas (1.6 min)
[  5/120] hist_gradient_boosting | padrao | M1_com_vetor | h=1: 295 semanas (1.7 min)
[  6/120] hist_gradient_boosting | padrao | M1_com_vetor | h=4: 292 semanas (1.7 min)
[  7/120] hist_gradient_boosting | padrao | M1_com_vetor | h=8: 288 semanas (1.8 min)
[  8/120] hist_gradient_boosting | padrao | M1_com_vetor | h=12: 284 semanas (1.6 min)
[  9/120] hist_gradient_boosting | quantil_0.70 | M0_sem_vetor | h=1: 307 semanas (2.2 min)
[ 10/120] hist_gradient_boosting | quantil_0.70 | M0_sem_vetor | h=4: 304 semanas (2.2 min)
[ 11/120] hist_gradient_boosting | quantil_0.70 | M0_sem_vetor | h=8: 300 semanas (2.1 min)
[ 12/120] hist_gradient_boosting | quantil_0.70 | M0_sem_vetor | h=12: 296 semanas (2.2 min)
[ 13/120] hist_gradient_boosting | quantil_0.70 | M1_com_vetor | h=1: 295 semanas (2.1 min)
[ 14/120] hist_gradient_boosting | quantil_0.70 | M1_com_vetor | h=4: 292 semanas (2.1 min)
[ 15/120] hist_gradient_boosting | quantil_0.70 | M1_com_vetor | h=8: 288 semanas (2.1 min)
[ 16/120] hist_gradient_boosting | quantil_0.70 | M1_com_vetor | h=12: 284 semanas (2.0 min)
[ 17/120] hist_gradient_boosting | quantil_0.80 | M0_sem_vetor | h=1: 307 semanas (2.1 min)
[ 18/120] hist_gradient_boosting | quantil_0.80 | M0_sem_vetor | h=4: 304 semanas (2.1 min)
[ 19/120] hist_gradient_boosting | quantil_0.80 | M0_sem_vetor | h=8: 300 semanas (2.1 min)
[ 20/120] hist_gradient_boosting | quantil_0.80 | M0_sem_vetor | h=12: 296 semanas (2.1 min)
[ 21/120] hist_gradient_boosting | quantil_0.80 | M1_com_vetor | h=1: 295 semanas (2.1 min)
[ 22/120] hist_gradient_boosting | quantil_0.80 | M1_com_vetor | h=4: 292 semanas (2.0 min)
[ 23/120] hist_gradient_boosting | quantil_0.80 | M1_com_vetor | h=8: 288 semanas (2.0 min)
[ 24/120] hist_gradient_boosting | quantil_0.80 | M1_com_vetor | h=12: 284 semanas (2.0 min)
[ 25/120] hist_gradient_boosting | quantil_0.85 | M0_sem_vetor | h=1: 307 semanas (1.9 min)
[ 26/120] hist_gradient_boosting | quantil_0.85 | M0_sem_vetor | h=4: 304 semanas (1.9 min)
[ 27/120] hist_gradient_boosting | quantil_0.85 | M0_sem_vetor | h=8: 300 semanas (1.9 min)
[ 28/120] hist_gradient_boosting | quantil_0.85 | M0_sem_vetor | h=12: 296 semanas (1.9 min)
[ 29/120] hist_gradient_boosting | quantil_0.85 | M1_com_vetor | h=1: 295 semanas (1.9 min)
[ 30/120] hist_gradient_boosting | quantil_0.85 | M1_com_vetor | h=4: 292 semanas (1.8 min)
[ 31/120] hist_gradient_boosting | quantil_0.85 | M1_com_vetor | h=8: 288 semanas (1.8 min)
