algoritmo,perda,conjunto,h,periodo,n,MAE,R2,vies_pico
gradient_boosting,padrao,M0_sem_vetor,1,avaliacao,109,128.65718129496443,0.8371083584821738,-105.94367487234412
gradient_boosting,padrao,M0_sem_vetor,1,calibracao,198,23.8103690813254,0.8210421213953252,-32.7696061154987
gradient_boosting,padrao,M0_sem_vetor,4,avaliacao,109,183.79225657769953,0.7215344328429001,-241.68103582508752
gradient_boosting,padrao,M0_sem_vetor,4,calibracao,195,30.7022259201153,0.7504441469199781,-124.32454584027471
gradient_boosting,padrao,M0_sem_vetor,8,avaliacao,109,198.8787328569782,0.6828779311420236,-430.5436635989323
gradient_boosting,padrao,M0_sem_vetor,8,calibracao,191,42.87007303884596,0.44917231704385696,-243.60635547832396
gradient_boosting,padrao,M0_sem_vetor,12,avaliacao,109,216.54282237566332,0.6122597453164433,-557.7183027107953
gradient_boosting,padrao,M0_sem_vetor,12,calibracao,187,53.67089715581822,0.24662054798522237,-302.567777995856
gradient_boosting,padrao,M1_com_vetor,1,avaliacao,102,113.23496634248148,0.8527514970375563,-230.75414691782572
gradient_boosting,padrao,M1_com_vetor,1,calibracao,193,23.333890895367837,0.8348998390024587,-7.28607453167423
gradient_boosting,padrao,M1_com_vetor,4,avaliacao,102,184.15581285983308,0.6968409309067192,-408.7935838602591
gradient_boosting,padrao,M1_com_vetor,4,calibracao,190,36.002694774323224,0.6806473462398482,-114.37529607703546
gradient_boosting,padrao,M1_com_vetor,8,avaliacao,102,187.7656904560201,0.719035003026979,-415.9916885635339
gradient_boosting,padrao,M1_com_vetor,8,calibracao,186,43.38345966309066,0.48727889818098435,-181.32591352494302
gradient_boosting,padrao,M1_com_vetor,12,avaliacao,102,208.46160958646328,0.6576895450091444,-508.7550350261592
gradient_boosting,padrao,M1_com_vetor,12,calibracao,182,49.37076627143153,0.4139893433417601,-269.0218909572703
gradient_boosting,quantil_0.70,M0_sem_vetor,1,avaliacao,109,119.2770408093759,0.8620001235169337,-110.66263190040699
gradient_boosting,quantil_0.70,M0_sem_vetor,1,calibracao,198,27.21825049123411,0.7527594286521007,-65.58424436387818
gradient_boosting,quantil_0.70,M0_sem_vetor,4,avaliacao,109,183.20206330836797,0.7343037503758514,-259.95429182228685
gradient_boosting,quantil_0.70,M0_sem_vetor,4,calibracao,195,31.56340336686291,0.7297582111728386,-127.38880573970864
gradient_boosting,quantil_0.70,M0_sem_vetor,8,avaliacao,109,178.32323169635328,0.7460685431861298,-363.4362954575726
gradient_boosting,quantil_0.70,M0_sem_vetor,8,calibracao,191,45.57107428715339,0.4008187569891487,-242.17245772948883
gradient_boosting,quantil_0.70,M0_sem_vetor,12,avaliacao,109,209.02268935822684,0.6057560670943607,-522.6350636453927
gradient_boosting,quantil_0.70,M0_sem_vetor,12,calibracao,187,46.78422052845444,0.37049838930045487,-273.35656118906826
gradient_boosting,quantil_0.70,M1_com_vetor,1,avaliacao,102,114.7887040177677,0.869552748616789,-240.346784534745
gradient_boosting,quantil_0.70,M1_com_vetor,1,calibracao,193,24.481328708188304,0.808690133743359,-43.056600595640056
gradient_boosting,quantil_0.70,M1_com_vetor,4,avaliacao,102,189.69256880426306,0.7047021221017863,-308.59959633570753
gradient_boosting,quantil_0.70,M1_com_vetor,4,calibracao,190,33.531122146620504,0.7069313609039822,-130.12044435410834
gradient_boosting,quantil_0.70,M1_com_vetor,8,avaliacao,102,193.21919715781877,0.7167492375445514,-443.0027737490825
gradient_boosting,quantil_0.70,M1_com_vetor,8,calibracao,186,38.21077220784113,0.5713930289421272,-189.83991178670124
gradient_boosting,quantil_0.70,M1_com_vetor,12,avaliacao,102,188.0121827299524,0.741295106787697,-442.2926885995886
gradient_boosting,quantil_0.70,M1_com_vetor,12,calibracao,182,41.881008713667335,0.5487367399430083,-198.55549338910896
gradient_boosting,quantil_0.80,M0_sem_vetor,1,avaliacao,109,117.20225222105523,0.8633282322718852,-76.20525084661348
gradient_boosting,quantil_0.80,M0_sem_vetor,1,calibracao,198,25.948290141050546,0.7558857908952449,-27.75277630944856
gradient_boosting,quantil_0.80,M0_sem_vetor,4,avaliacao,109,178.8286911211073,0.7368769235737052,-129.259646518586
gradient_boosting,quantil_0.80,M0_sem_vetor,4,calibracao,195,33.68889425269992,0.7146662709548932,-105.94835571107414
gradient_boosting,quantil_0.80,M0_sem_vetor,8,avaliacao,109,177.58136961613178,0.7638109945914165,-393.00437376418375
gradient_boosting,quantil_0.80,M0_sem_vetor,8,calibracao,191,45.57672120160143,0.4638789728340381,-187.05652465072674
gradient_boosting,quantil_0.80,M0_sem_vetor,12,avaliacao,109,218.48964350077873,0.6291564157877176,-483.814369335424
gradient_boosting,quantil_0.80,M0_sem_vetor,12,calibracao,187,47.73157951884612,0.4083238182329353,-245.24941267610527
gradient_boosting,quantil_0.80,M1_com_vetor,1,avaliacao,102,113.70353153665133,0.8732740888219631,-203.53863867012961
gradient_boosting,quantil_0.80,M1_com_vetor,1,calibracao,193,26.275522540130854,0.7905481270263861,6.206137020573165
gradient_boosting,quantil_0.80,M1_com_vetor,4,avaliacao,102,167.4565244383202,0.7700728020119008,-218.21756099494075
gradient_boosting,quantil_0.80,M1_com_vetor,4,calibracao,190,36.85228139013061,0.6790467879823281,-116.93020178739282
gradient_boosting,quantil_0.80,M1_com_vetor,8,avaliacao,102,185.47747895832268,0.7533947719470391,-388.46397711655715
gradient_boosting,quantil_0.80,M1_com_vetor,8,calibracao,186,39.043791823996045,0.5729449649063256,-166.09602233984086
gradient_boosting,quantil_0.80,M1_com_vetor,12,avaliacao,102,188.40906707558946,0.7423080379877351,-423.2191785114796
gradient_boosting,quantil_0.80,M1_com_vetor,12,calibracao,182,41.231905291280455,0.5773199327137073,-206.067434025695
gradient_boosting,quantil_0.85,M0_sem_vetor,1,avaliacao,109,114.64207577413252,0.8755123437454853,-3.0152927169537955
gradient_boosting,quantil_0.85,M0_sem_vetor,1,calibracao,198,27.520297861305313,0.7420069332404884,42.6895538632639
gradient_boosting,quantil_0.85,M0_sem_vetor,4,avaliacao,109,191.69426712745326,0.7058603444720861,-63.746094216051624
gradient_boosting,quantil_0.85,M0_sem_vetor,4,calibracao,195,36.8969192490843,0.690538650398807,-47.456117050331265
gradient_boosting,quantil_0.85,M0_sem_vetor,8,avaliacao,109,181.72474150359196,0.7701662270030061,-291.0385083779488
gradient_boosting,quantil_0.85,M0_sem_vetor,8,calibracao,191,41.23704234427189,0.5803685619890026,-138.9577400306327
gradient_boosting,quantil_0.85,M0_sem_vetor,12,avaliacao,109,215.5729342067752,0.683044999605132,-404.5294388119836
gradient_boosting,quantil_0.85,M0_sem_vetor,12,calibracao,187,44.34241076853781,0.5038289623880652,-194.51406277176662
gradient_boosting,quantil_0.85,M1_com_vetor,1,avaliacao,102,108.11407606779373,0.8931596961544922,-145.82357059259462
gradient_boosting,quantil_0.85,M1_com_vetor,1,calibracao,193,27.07142347367569,0.7591523971658876,54.34078842829701
gradient_boosting,quantil_0.85,M1_com_vetor,4,avaliacao,102,157.59375323923436,0.8063062341320605,-116.60723588244451
gradient_boosting,quantil_0.85,M1_com_vetor,4,calibracao,190,35.06097373388172,0.7185595406240458,-71.446012118751
gradient_boosting,quantil_0.85,M1_com_vetor,8,avaliacao,102,201.98837945991588,0.7093387977925517,-365.88311995382264
gradient_boosting,quantil_0.85,M1_com_vetor,8,calibracao,186,40.05289684001572,0.5953933614628943,-97.82430358984462
gradient_boosting,quantil_0.85,M1_com_vetor,12,avaliacao,102,183.41950061023036,0.764194904613773,-377.2599192447032
gradient_boosting,quantil_0.85,M1_com_vetor,12,calibracao,182,37.76510263893348,0.6600154935401026,-165.72485069695108
gradient_boosting,quantil_0.90,M0_sem_vetor,1,avaliacao,109,118.76146251563581,0.8577137590705659,50.2857742619783
