h,data,real,pred,variante
1,2020-03-15,0.0,9.817148967176369,atual
1,2020-03-29,2.0,0.0,atual
1,2020-04-12,1.0,0.19477399176314913,atual
1,2020-04-26,0.0,4.263276207888185,atual
1,2020-05-10,1.0,0.5266142105640763,atual
1,2020-05-24,0.0,0.0,atual
1,2020-06-07,0.0,0.0,atual
1,2020-06-21,0.0,0.0,atual
1,2020-07-05,0.0,0.0,atual
1,2020-07-19,0.0,0.0,atual
1,2020-08-02,0.0,2.2450463289367386,atual
1,2020-08-16,0.0,0.7947425128529677,atual
1,2020-08-30,0.0,1.4227635548634037,atual
1,2020-09-13,0.0,0.062120159949537075,atual
1,2020-09-27,0.0,1.0569084040733236,atual
1,2020-10-11,0.0,0.26956002174295585,atual
1,2020-10-25,0.0,0.0,atual
1,2020-11-08,0.0,0.763636613918058,atual
1,2020-11-22,0.0,0.7462734596691363,atual
1,2020-12-06,0.0,0.8928146895919573,atual
1,2020-12-20,0.0,0.6525273846578594,atual
1,2021-01-03,0.0,1.6163082071207158,atual
1,2021-01-17,0.0,0.0,atual
1,2021-01-31,0.0,0.0,atual
1,2021-02-14,2.0,1.2746511088750008,atual
1,2021-02-28,1.0,0.0,atual
1,2021-03-14,1.0,0.0,atual
1,2021-03-28,9.0,0.0,atual
1,2021-04-11,12.0,15.824721985544196,atual
1,2021-04-25,7.0,21.86049510034576,atual
1,2021-05-09,5.0,25.9036017259603,atual
1,2021-05-23,1.0,0.0,atual
1,2021-06-06,0.0,0.21603882933709243,atual
1,2021-06-20,0.0,0.0,atual
1,2021-07-04,0.0,0.0,atual
1,2021-07-18,0.0,0.0,atual
1,2021-08-01,0.0,0.0,atual
1,2021-08-15,0.0,0.0,atual
1,2021-08-29,0.0,0.0,atual
1,2021-09-12,0.0,0.0,atual
1,2021-09-26,0.0,0.0,atual
1,2021-10-10,0.0,0.14832584771706553,atual
1,2021-10-24,0.0,0.6844506789261733,atual
1,2021-11-07,0.0,0.8697726132224448,atual
1,2021-11-21,0.0,0.13689874759739573,atual
1,2021-12-05,0.0,1.177194378771175,atual
1,2021-12-19,0.0,0.8313925194306641,atual
1,2022-01-02,0.0,0.829623506811784,atual
1,2022-01-16,0.0,0.8503166810758314,atual
1,2022-01-30,2.0,0.1431991782936498,atual
1,2022-02-13,20.0,16.85440879028452,atual
1,2022-02-27,203.0,24.67362707142652,atual
1,2022-03-13,463.0,58.50452277391267,atual
1,2022-03-27,524.0,198.58677473809576,atual
1,2022-04-10,879.0,236.02039518436345,atual
1,2022-04-24,344.0,89.13546258097067,atual
1,2022-05-08,313.0,141.07920271074124,atual
1,2022-05-22,92.0,171.8867992434527,atual
1,2022-06-05,17.0,167.73964799297426,atual
1,2022-06-19,19.0,1.3144979032614212,atual
1,2022-07-03,24.0,0.0,atual
1,2022-07-17,11.0,0.0,atual
1,2022-07-31,3.0,0.0,atual
1,2022-08-14,3.0,38.2732171049316,atual
1,2022-08-28,2.0,12.20755065135557,atual
1,2022-09-11,3.0,0.0,atual
1,2022-09-25,1.0,8.476124385905225,atual
1,2022-10-09,1.0,1.6211217749824554,atual
1,2022-10-23,0.0,0.9608799229445848,atual
