variante,h,MAE_global,R2_global,n_picos,pico_real_medio,pico_previsto_medio,pico_VIES,pico_MAE,entressafra_MAE
A_mes_categorico,1,79.41923542796698,0.7998400875940115,32,858.6875,644.3889501708551,-214.29854982914492,342.28396476490764,4.34800066228553
A_mes_categorico,4,98.93638815360612,0.6506009633887134,32,829.46875,527.9637210034118,-301.5050289965882,421.6518229175523,5.212855783317641
A_mes_categorico,8,104.55450985787476,0.6849592120799548,32,829.46875,474.8204975383048,-354.64825246169517,432.97837379340064,6.895626671730848
A_mes_categorico,12,116.2710979756185,0.6031815671548065,32,829.46875,362.44854461788555,-467.0202053821144,492.18881918224866,6.717431542415973
B_tweedie,1,55.91678810581411,0.893283660874715,32,858.6875,715.207622907762,-143.47987709223798,255.48516974741977,1.0380521306740578
B_tweedie,4,88.94361648619835,0.7347678557799384,32,829.46875,531.6654581666622,-297.8032918333379,388.05862709706133,1.0795481325457714
B_tweedie,8,100.28988214261578,0.6240117870938826,32,829.46875,415.59289378401303,-413.8758562159869,448.53973118987926,1.2168943728859742
B_tweedie,12,119.40681418107778,0.5704777836393427,32,829.46875,307.87794520864827,-521.5908047913517,528.6814948366625,1.5807723667405242
C_quantile_08,1,86.14699891880753,0.7882512372808299,32,858.6875,743.9764794265747,-114.7110205734254,351.65591424440976,3.8470320222657866
C_quantile_08,4,93.48500568556669,0.7605652540552712,32,829.46875,700.93459772061,-128.53415227938996,356.4273152900692,6.546241565428905
C_quantile_08,8,88.32246436543352,0.770035466192942,32,829.46875,561.2548901833852,-268.2138598166148,365.65331122360897,5.218393113519236
C_quantile_08,12,100.19366621770224,0.7159588170038862,32,829.46875,486.5614444239906,-342.90730557600943,417.16513685862236,6.938969951494808
D_mes_cat_+_tweedie,1,55.689059579440325,0.8956728251043968,32,858.6875,717.3363585704831,-141.3511414295169,254.84455279263466,1.0462614933760217
D_mes_cat_+_tweedie,4,87.43534690481886,0.7369006977694097,32,829.46875,522.8724453247115,-306.5963046752885,381.63964494425454,1.0690850471378615
D_mes_cat_+_tweedie,8,99.24761846128177,0.6411201828696482,32,829.46875,428.78870783979426,-400.68004216020574,443.42977484107047,1.1590391685638668
D_mes_cat_+_tweedie,12,118.72752270344864,0.5780657487042413,32,829.46875,314.31144948095726,-515.1573005190428,524.4665840532543,1.7577825545561778
atual,1,80.4019995934977,0.7944165659003332,32,858.6875,639.2581093923136,-219.42939060768649,347.53667892050674,4.430907763400584
atual,4,97.86899802307727,0.6585851289008727,32,829.46875,540.9334301269633,-288.53531987303666,415.87670149297094,5.270369931415003
atual,8,102.84948914193873,0.6903417974683459,32,829.46875,477.7159164566304,-351.7528335433696,428.0797190111341,6.2943458670973484
atual,12,114.94236001388482,0.6012369393072213,32,829.46875,362.9418076422427,-466.5269423577574,483.83191326561655,6.056063162407757
