alvo,pctl,h,n,n_pos,clima_certo_vetor_errado,vetor_certo_clima_errado,discordantes,p_bruto,p_holm_6_dentro_do_braco,p_holm_12_no_conjunto,significativo_holm_12
confirmados,90,4,251,59,7,9,16,0.803619384765625,1.0,1.0,False
confirmados,90,8,246,59,5,15,20,0.04138946533203125,0.2483367919921875,0.45528411865234375,False
confirmados,90,12,242,61,9,16,25,0.23013934044341314,1.0,1.0,False
confirmados,95,4,251,43,5,7,12,0.7744140625,1.0,1.0,False
confirmados,95,8,246,43,11,9,20,0.8238029479980469,1.0,1.0,False
confirmados,95,12,242,44,5,10,15,0.30175781249999994,1.0,1.0,False
notificados,90,4,251,64,11,7,18,0.480682373046875,1.0,1.0,False
notificados,90,8,246,64,8,4,12,0.3876953125,1.0,1.0,False
notificados,90,12,242,64,5,11,16,0.210113525390625,1.0,1.0,False
notificados,95,4,251,46,10,15,25,0.4237107971667936,1.0,1.0,False
notificados,95,8,246,45,9,14,23,0.4048728942871094,1.0,1.0,False
notificados,95,12,242,44,3,16,19,0.004425048828125,0.02655029296875,0.0531005859375,False
