n,n_pos,tp,fp,fn,tn,sensib,espec,precisao,f1,bal_acc,auc,ap,alvo,pctl,h,modelo
251,59,39,5,20,187,0.6610169491525424,0.9739583333333334,0.8863636363636364,0.7572815533980582,0.8174876412429379,0.9655720338983051,0.9156060807685323,confirmados,90,4,so-clima
251,59,48,12,11,180,0.8135593220338984,0.9375,0.8,0.8067226890756303,0.8755296610169492,0.9600988700564972,0.8665149342684326,confirmados,90,4,clima+vetor
246,59,32,6,27,181,0.5423728813559322,0.9679144385026738,0.8421052631578947,0.6597938144329897,0.755143659929303,0.9385479923864769,0.83968976791644,confirmados,90,8,so-clima
246,59,42,6,17,181,0.711864406779661,0.9679144385026738,0.875,0.7850467289719626,0.8398894226411674,0.9581256231306082,0.8927279983843157,confirmados,90,8,clima+vetor
242,61,26,7,35,174,0.4262295081967213,0.9613259668508287,0.7878787878787878,0.5531914893617021,0.693777737523775,0.9303505117290101,0.7878954470572903,confirmados,90,12,so-clima
242,61,34,8,27,173,0.5573770491803278,0.9558011049723757,0.8095238095238095,0.6601941747572816,0.7565890770763517,0.9498233855629019,0.8518702569918745,confirmados,90,12,clima+vetor
251,43,25,7,18,201,0.5813953488372093,0.9663461538461539,0.78125,0.6666666666666666,0.7738707513416816,0.9490161001788909,0.7825412609356415,confirmados,95,4,so-clima
251,43,29,9,14,199,0.6744186046511628,0.9567307692307693,0.7631578947368421,0.7160493827160493,0.815574686940966,0.942531305903399,0.7916619120001308,confirmados,95,4,clima+vetor
246,43,24,3,19,200,0.5581395348837209,0.9852216748768473,0.8888888888888888,0.6857142857142857,0.7716806048802841,0.956581509909497,0.8388800115706542,confirmados,95,8,so-clima
246,43,24,5,19,198,0.5581395348837209,0.9753694581280788,0.8275862068965517,0.6666666666666666,0.7667544965058999,0.9550922213311949,0.8192822195900139,confirmados,95,8,clima+vetor
242,44,14,4,30,194,0.3181818181818182,0.9797979797979798,0.7777777777777778,0.45161290322580644,0.648989898989899,0.897038567493113,0.6497370391246022,confirmados,95,12,so-clima
242,44,20,5,24,193,0.45454545454545453,0.9747474747474747,0.8,0.5797101449275363,0.7146464646464646,0.902089072543618,0.6839048107666177,confirmados,95,12,clima+vetor
251,64,50,3,14,184,0.78125,0.983957219251337,0.9433962264150944,0.8547008547008547,0.8826036096256684,0.9682486631016044,0.9455942365804247,notificados,90,4,so-clima
251,64,51,8,13,179,0.796875,0.9572192513368984,0.864406779661017,0.8292682926829268,0.8770471256684492,0.9779411764705882,0.9393090694708488,notificados,90,4,clima+vetor
246,64,43,4,21,178,0.671875,0.978021978021978,0.9148936170212766,0.7747747747747747,0.824948489010989,0.9617960164835165,0.8970345213111638,notificados,90,8,so-clima
246,64,41,6,23,176,0.640625,0.967032967032967,0.8723404255319149,0.7387387387387387,0.8038289835164836,0.9458276098901099,0.8946659961372844,notificados,90,8,clima+vetor
242,64,40,7,24,171,0.625,0.9606741573033708,0.851063829787234,0.7207207207207207,0.7928370786516854,0.9445224719101124,0.8684791474169624,notificados,90,12,so-clima
242,64,44,5,20,173,0.6875,0.9719101123595506,0.8979591836734694,0.7787610619469026,0.8297050561797753,0.9538272471910112,0.8979927017823953,notificados,90,12,clima+vetor
251,46,24,9,22,196,0.5217391304347826,0.9560975609756097,0.7272727272727273,0.6075949367088608,0.7389183457051962,0.9328738069989395,0.7843415494013505,notificados,95,4,so-clima
251,46,33,13,13,192,0.717391304347826,0.9365853658536586,0.717391304347826,0.717391304347826,0.8269883351007423,0.9500530222693532,0.8008892708460811,notificados,95,4,clima+vetor
246,45,21,7,24,194,0.4666666666666667,0.9651741293532339,0.75,0.5753424657534246,0.7159203980099502,0.9257048092868988,0.7629782717437321,notificados,95,8,so-clima
246,45,23,4,22,197,0.5111111111111111,0.9800995024875622,0.8518518518518519,0.6388888888888888,0.7456053067993367,0.9352128247650636,0.7878863108529388,notificados,95,8,clima+vetor
242,44,11,9,33,189,0.25,0.9545454545454546,0.55,0.34375,0.6022727272727273,0.9075987144168962,0.6395357131783932,notificados,95,12,so-clima
242,44,21,6,23,192,0.4772727272727273,0.9696969696969697,0.7777777777777778,0.5915492957746479,0.7234848484848485,0.9216023875114785,0.774576870189203,notificados,95,12,clima+vetor
