algoritmo,conjunto,h,n,MAE,R2
elastic_net,M0_clima6,1,154,71.0533096631078,0.8291916372638137
elastic_net,M0_clima6,2,153,94.31334607666889,0.7402530547466433
elastic_net,M0_clima6,3,153,107.39214119177163,0.648853385686847
elastic_net,M0_clima6,4,152,135.80416950234826,0.5407074239108434
elastic_net,M0_clima6,5,152,143.16673810109754,0.45443588424470005
elastic_net,M0_clima6,6,151,158.52663418765786,0.3520013780647483
elastic_net,M0_clima6,7,151,169.29436565817576,0.2527766382664287
elastic_net,M0_clima6,8,150,169.8395772367838,0.21175018069581364
elastic_net,M0_clima6,9,150,173.82310342785794,0.17007117718422826
elastic_net,M0_clima6,10,149,166.86460142480428,0.15806891481705154
elastic_net,M0_clima6,11,149,172.8904295924447,0.14155025666631216
elastic_net,M0_clima6,12,148,167.3909575335938,0.15171646877099076
elastic_net,M1_clima6_vetor,1,148,67.89537782023112,0.8460946472363269
elastic_net,M1_clima6_vetor,2,147,85.58051346790337,0.7732074610746491
elastic_net,M1_clima6_vetor,3,147,109.01177281807612,0.6503993171077265
elastic_net,M1_clima6_vetor,4,146,123.05831075046586,0.6465557036683935
elastic_net,M1_clima6_vetor,5,146,134.07703087581487,0.5355109174355384
elastic_net,M1_clima6_vetor,6,145,150.04625885262902,0.4920413132545386
elastic_net,M1_clima6_vetor,7,145,146.67032667430564,0.4312874065383291
elastic_net,M1_clima6_vetor,8,144,156.41010204006218,0.3908765362381583
elastic_net,M1_clima6_vetor,9,144,153.68737485028467,0.37651946933291125
elastic_net,M1_clima6_vetor,10,143,168.54965380860585,0.3509033014938977
elastic_net,M1_clima6_vetor,11,143,163.76903498289994,0.3270796489265059
elastic_net,M1_clima6_vetor,12,142,176.1227277365737,0.3043181653426632
elastic_net,M0_clima8,1,154,71.06682995315578,0.8291330783754065
elastic_net,M0_clima8,2,153,94.30178931712176,0.7401649782235571
elastic_net,M0_clima8,3,153,107.44423547787432,0.6492004526060899
elastic_net,M0_clima8,4,152,135.78300097179246,0.5413653365320392
elastic_net,M0_clima8,5,152,143.3251336053817,0.454537059412084
elastic_net,M0_clima8,6,151,159.38685015005268,0.3525901076457598
elastic_net,M0_clima8,7,151,169.61640981786758,0.2561851500151229
elastic_net,M0_clima8,8,150,169.80245784289974,0.2150618424924785
elastic_net,M0_clima8,9,150,173.11066076196002,0.17601177793230582
elastic_net,M0_clima8,10,149,166.39041537909006,0.164079952465213
elastic_net,M0_clima8,11,149,173.04372525148545,0.1471460100577
elastic_net,M0_clima8,12,148,167.958692718346,0.15706325715535996
elastic_net,M1_clima8_vetor,1,148,68.08052331355671,0.8458425030814704
elastic_net,M1_clima8_vetor,2,147,85.85285658718426,0.7729704187584201
elastic_net,M1_clima8_vetor,3,147,109.07442061214033,0.6516622516676949
elastic_net,M1_clima8_vetor,4,146,123.13442130944638,0.6479170979253888
elastic_net,M1_clima8_vetor,5,146,134.48268763879372,0.5367437094050711
elastic_net,M1_clima8_vetor,6,145,150.5359360391743,0.49226325890863865
elastic_net,M1_clima8_vetor,7,145,146.667444784506,0.43671368461221005
elastic_net,M1_clima8_vetor,8,144,156.64488873105228,0.3967756322718555
elastic_net,M1_clima8_vetor,9,144,152.6495247194298,0.38538226883891835
elastic_net,M1_clima8_vetor,10,143,168.51986398321014,0.36014764640736996
elastic_net,M1_clima8_vetor,11,143,163.31900966744155,0.33439366302975626
elastic_net,M1_clima8_vetor,12,142,175.6009202712501,0.31247089630409897
