algoritmo,conjunto,h,n,MAE,R2
knn,M0_clima6,1,154,77.42484223255855,0.786809799874497
knn,M0_clima6,2,153,98.67890602958647,0.6964825229262146
knn,M0_clima6,3,153,106.60175063749065,0.6219320732654186
knn,M0_clima6,4,152,121.39545299395657,0.5535229923631393
knn,M0_clima6,5,152,122.39624439260857,0.5399877341974291
knn,M0_clima6,6,151,130.5681587504488,0.4581495233682452
knn,M0_clima6,7,151,135.5280871293683,0.39698211500213865
knn,M0_clima6,8,150,135.4110910198701,0.3813013743077519
knn,M0_clima6,9,150,143.3661698426576,0.27761341275470197
knn,M0_clima6,10,149,135.83474183174684,0.3101353971683958
knn,M0_clima6,11,149,144.62405211199493,0.3109288156567874
knn,M0_clima6,12,148,141.4643032604519,0.34575638481877935
knn,M1_clima6_vetor,1,148,74.73760387832162,0.7644898061521379
knn,M1_clima6_vetor,2,147,82.29697493619486,0.735338857562891
knn,M1_clima6_vetor,3,147,102.01767850600918,0.6173748805549375
knn,M1_clima6_vetor,4,146,106.54235260305124,0.6421329217051994
knn,M1_clima6_vetor,5,146,111.82406882446536,0.5584789248781452
knn,M1_clima6_vetor,6,145,120.76309314699257,0.5474748191810791
knn,M1_clima6_vetor,7,145,113.28671526729369,0.5520914858889578
knn,M1_clima6_vetor,8,144,119.55971666416647,0.5532569908694985
knn,M1_clima6_vetor,9,144,107.74671468673085,0.610838330939395
knn,M1_clima6_vetor,10,143,114.15340779655044,0.6113524448366603
knn,M1_clima6_vetor,11,143,104.51164988117587,0.6906600369123492
knn,M1_clima6_vetor,12,142,113.73512436005295,0.6727354656324747
knn,M0_clima8,1,154,79.34350496489904,0.7823443301139035
knn,M0_clima8,2,153,100.26468574981637,0.6928557889268714
knn,M0_clima8,3,153,109.2289026066012,0.6104816947809856
knn,M0_clima8,4,152,121.96065002466575,0.5546457544606964
knn,M0_clima8,5,152,123.00520503618588,0.5400608724137563
knn,M0_clima8,6,151,130.1788794248029,0.4698054236381536
knn,M0_clima8,7,151,133.01031242310307,0.4209058255316822
knn,M0_clima8,8,150,130.63442747890062,0.42975658968690045
knn,M0_clima8,9,150,134.7814197641989,0.361345196987782
knn,M0_clima8,10,149,126.71063430945144,0.4362949013147275
knn,M0_clima8,11,149,135.98333834503788,0.43435312026724515
knn,M0_clima8,12,148,129.52070230736922,0.4717704129268473
knn,M1_clima8_vetor,1,148,75.9216758969187,0.7648472899726755
knn,M1_clima8_vetor,2,147,84.36017270583991,0.7367828805134398
knn,M1_clima8_vetor,3,147,104.36577991672966,0.6117340004799556
knn,M1_clima8_vetor,4,146,109.57176412140042,0.6335889008711888
knn,M1_clima8_vetor,5,146,113.68548574256933,0.5565692602746635
knn,M1_clima8_vetor,6,145,125.1897421495717,0.5275166911584868
knn,M1_clima8_vetor,7,145,115.58173008374501,0.5437104714423449
knn,M1_clima8_vetor,8,144,120.39046892455377,0.5558855121519835
knn,M1_clima8_vetor,9,144,106.26936246261181,0.627501533897652
knn,M1_clima8_vetor,10,143,110.35089167088627,0.6400950510696863
knn,M1_clima8_vetor,11,143,96.32550363791971,0.7394770357339511
knn,M1_clima8_vetor,12,142,106.797363306251,0.7198165507585806
