algoritmo,conjunto,h,n,MAE,R2
lightgbm,M0_clima6,1,154,60.81834774102202,0.8482606387387801
lightgbm,M0_clima6,2,153,71.1150390410078,0.8275691895040127
lightgbm,M0_clima6,3,153,76.99066158342504,0.7706099316416366
lightgbm,M0_clima6,4,152,91.72548521623412,0.705455959364029
lightgbm,M0_clima6,5,152,96.78659385946622,0.7163492478459182
lightgbm,M0_clima6,6,151,105.9786630356668,0.623659855497076
lightgbm,M0_clima6,7,151,103.36389367609257,0.6922337452232259
lightgbm,M0_clima6,8,150,98.78949364899167,0.6952480939585816
lightgbm,M0_clima6,9,150,106.77424585524774,0.6472791542484675
lightgbm,M0_clima6,10,149,100.83502815818879,0.6560260476357929
lightgbm,M0_clima6,11,149,100.51832159355932,0.689342523259433
lightgbm,M0_clima6,12,148,109.51739138039288,0.6342270617174298
lightgbm,M1_clima6_vetor,1,148,60.21140098984491,0.8309781656304567
lightgbm,M1_clima6_vetor,2,147,66.96035730152833,0.815560396690887
lightgbm,M1_clima6_vetor,3,147,84.53181390985327,0.6975098151743258
lightgbm,M1_clima6_vetor,4,146,86.57282831434095,0.7611240565246725
lightgbm,M1_clima6_vetor,5,146,83.92546034963749,0.7729891431016445
lightgbm,M1_clima6_vetor,6,145,103.35199864574955,0.6383948811790583
lightgbm,M1_clima6_vetor,7,145,91.52424772504746,0.7358413198771843
lightgbm,M1_clima6_vetor,8,144,93.18539438974679,0.7326177444533912
lightgbm,M1_clima6_vetor,9,144,77.23665218832846,0.848103208156348
lightgbm,M1_clima6_vetor,10,143,92.41403127116095,0.7166701021877633
lightgbm,M1_clima6_vetor,11,143,80.04390658281844,0.8198291429237989
lightgbm,M1_clima6_vetor,12,142,114.20981122159886,0.637064629266404
lightgbm,M0_clima8,1,154,59.34755580681872,0.8385976829242856
lightgbm,M0_clima8,2,153,70.62989281453291,0.8432952445295341
lightgbm,M0_clima8,3,153,81.11908828840603,0.7604967369470739
lightgbm,M0_clima8,4,152,88.26995941991743,0.7432474378839884
lightgbm,M0_clima8,5,152,92.26272919038857,0.7447915061700212
lightgbm,M0_clima8,6,151,104.44354347344152,0.6277785996244938
lightgbm,M0_clima8,7,151,104.82799979105422,0.6849140788340771
lightgbm,M0_clima8,8,150,91.31306020507694,0.7335318405143827
lightgbm,M0_clima8,9,150,103.08651019261956,0.6676483657928564
lightgbm,M0_clima8,10,149,99.05510466227678,0.6633221692138624
lightgbm,M0_clima8,11,149,102.76819792465388,0.6791664935577076
lightgbm,M0_clima8,12,148,107.26991448688845,0.6424463207371045
lightgbm,M1_clima8_vetor,1,148,62.5918296418384,0.8189690948061541
lightgbm,M1_clima8_vetor,2,147,70.17288217583913,0.8054567863580355
lightgbm,M1_clima8_vetor,3,147,84.65253703847765,0.6909249242653515
lightgbm,M1_clima8_vetor,4,146,88.20107659220437,0.7367384728020645
lightgbm,M1_clima8_vetor,5,146,84.87779682734354,0.7812290603530911
lightgbm,M1_clima8_vetor,6,145,102.92061127905102,0.6371247207910788
lightgbm,M1_clima8_vetor,7,145,89.05743218897676,0.759243653547449
lightgbm,M1_clima8_vetor,8,144,91.3903975078792,0.742579834395258
lightgbm,M1_clima8_vetor,9,144,76.00910576089616,0.8554671647217321
lightgbm,M1_clima8_vetor,10,143,97.32762776080251,0.7166844028224044
lightgbm,M1_clima8_vetor,11,143,79.6893507638584,0.819942417976371
lightgbm,M1_clima8_vetor,12,142,112.64879641830365,0.6408294372498122
