algoritmo,conjunto,h,n,MAE,R2
random_forest,M0_clima6,1,154,70.40871577308408,0.8085151036532618
random_forest,M0_clima6,2,153,88.54753267521289,0.7460721723868288
random_forest,M0_clima6,3,153,96.0603978150583,0.7073579554930198
random_forest,M0_clima6,4,152,103.3904941286021,0.6867869953876343
random_forest,M0_clima6,5,152,107.70075397385527,0.6575047787610508
random_forest,M0_clima6,6,151,106.35475778891515,0.6417840006547612
random_forest,M0_clima6,7,151,112.73870642163224,0.6126325245008921
random_forest,M0_clima6,8,150,122.75289871982332,0.5449082534169508
random_forest,M0_clima6,9,150,127.2545174858887,0.5053832244651537
random_forest,M0_clima6,10,149,119.2501491676709,0.5272699565862116
random_forest,M0_clima6,11,149,125.8622502800865,0.5369433937793229
random_forest,M0_clima6,12,148,129.716976706101,0.4775422122161276
random_forest,M1_clima6_vetor,1,148,69.78988811801031,0.803204324337342
random_forest,M1_clima6_vetor,2,147,79.6045429541982,0.7819009308546262
random_forest,M1_clima6_vetor,3,147,94.81544535056275,0.6832508725665185
random_forest,M1_clima6_vetor,4,146,98.92258980163209,0.715531350667955
random_forest,M1_clima6_vetor,5,146,96.9269967110214,0.6746566024314486
random_forest,M1_clima6_vetor,6,145,111.1579744630724,0.602120657673435
random_forest,M1_clima6_vetor,7,145,103.60175914863575,0.6282520283442192
random_forest,M1_clima6_vetor,8,144,116.54424278617333,0.6319714748895008
random_forest,M1_clima6_vetor,9,144,102.19701217841902,0.6996367028801438
random_forest,M1_clima6_vetor,10,143,115.55761093252687,0.6240076057206956
random_forest,M1_clima6_vetor,11,143,105.51568438422083,0.6532845633976915
random_forest,M1_clima6_vetor,12,142,126.47133531646244,0.5469602954423853
random_forest,M0_clima8,1,154,72.43689937753277,0.7997653675316256
random_forest,M0_clima8,2,153,89.67207524904373,0.7410764250279998
random_forest,M0_clima8,3,153,97.17790019203872,0.7097800378609753
random_forest,M0_clima8,4,152,103.88317939153569,0.6815369153041395
random_forest,M0_clima8,5,152,107.9023931620588,0.6527279705796513
random_forest,M0_clima8,6,151,106.73017244091712,0.640340796412034
random_forest,M0_clima8,7,151,114.75444877387736,0.6055076624637279
random_forest,M0_clima8,8,150,122.20448659248582,0.5417942992140881
random_forest,M0_clima8,9,150,126.46957081893173,0.5031078457693989
random_forest,M0_clima8,10,149,119.35042210754733,0.5219890143354747
random_forest,M0_clima8,11,149,126.07529900945661,0.5339940117091839
random_forest,M0_clima8,12,148,130.00446279378932,0.4738648406057415
random_forest,M1_clima8_vetor,1,148,70.25883345672817,0.799859493571216
random_forest,M1_clima8_vetor,2,147,81.07422740815771,0.7729800211660801
random_forest,M1_clima8_vetor,3,147,96.37907862774436,0.6787952573534388
random_forest,M1_clima8_vetor,4,146,99.49482129822157,0.7099521721309687
random_forest,M1_clima8_vetor,5,146,98.35707552781535,0.6675131198392295
random_forest,M1_clima8_vetor,6,145,110.8980317098193,0.5996991649267007
random_forest,M1_clima8_vetor,7,145,105.37131761959111,0.6268182879419634
random_forest,M1_clima8_vetor,8,144,115.7748555861839,0.6333403634410408
random_forest,M1_clima8_vetor,9,144,100.66516633663076,0.7036032054085962
random_forest,M1_clima8_vetor,10,143,114.57797907991106,0.6295725741955984
random_forest,M1_clima8_vetor,11,143,104.94155004814321,0.6554753190028203
random_forest,M1_clima8_vetor,12,142,125.99098823087705,0.5477893235608433
