algoritmo,conjunto,h,n,MAE,R2
ridge,M0_clima6,1,154,58.036526220855016,0.8810910762387256
ridge,M0_clima6,2,153,79.30602377444451,0.8135405280656491
ridge,M0_clima6,3,153,100.9800049570802,0.7130133884899222
ridge,M0_clima6,4,152,133.31556002844013,0.5855367876907933
ridge,M0_clima6,5,152,144.52797491475633,0.5205243944871225
ridge,M0_clima6,6,151,167.0228146391514,0.4133001254483979
ridge,M0_clima6,7,151,179.59811733795377,0.2974089017789022
ridge,M0_clima6,8,150,178.40920837938418,0.2746883939322604
ridge,M0_clima6,9,150,181.60682870286197,0.20045498018243424
ridge,M0_clima6,10,149,173.39214380563783,0.20220904429922448
ridge,M0_clima6,11,149,177.25663383889278,0.1925526811142485
ridge,M0_clima6,12,148,169.44806004117,0.20442044101612467
ridge,M1_clima6_vetor,1,148,46.876495381331935,0.9228997616879839
ridge,M1_clima6_vetor,2,147,83.87203071990854,0.8134216433872803
ridge,M1_clima6_vetor,3,147,109.74974730898627,0.6791364673086642
ridge,M1_clima6_vetor,4,146,121.71637562997488,0.6771537126543099
ridge,M1_clima6_vetor,5,146,133.77026012683874,0.5716311023208023
ridge,M1_clima6_vetor,6,145,152.69423293387698,0.528171707134584
ridge,M1_clima6_vetor,7,145,156.5662626036342,0.47324635215111244
ridge,M1_clima6_vetor,8,144,173.12275525979746,0.41016112971014496
ridge,M1_clima6_vetor,9,144,165.5875455761866,0.4067276163395527
ridge,M1_clima6_vetor,10,143,178.33538728111722,0.3773957520884039
ridge,M1_clima6_vetor,11,143,171.5020429531129,0.3867014101754094
ridge,M1_clima6_vetor,12,142,185.87385340755458,0.3661703408404292
ridge,M0_clima8,1,154,58.32410606647052,0.8806943828833781
ridge,M0_clima8,2,153,79.59994354976075,0.8137383190544734
ridge,M0_clima8,3,153,100.67035949618366,0.7168261679370336
ridge,M0_clima8,4,152,132.38304559358616,0.5911631303381992
ridge,M0_clima8,5,152,143.8970837438814,0.5227808958086944
ridge,M0_clima8,6,151,166.53652031959703,0.41741840387098395
ridge,M0_clima8,7,151,177.1808971848399,0.30981215419566577
ridge,M0_clima8,8,150,175.73741585640605,0.28591667094110473
ridge,M0_clima8,9,150,178.84568880970593,0.21679799633818253
ridge,M0_clima8,10,149,171.8208369421119,0.21676944955692623
ridge,M0_clima8,11,149,174.76516224488248,0.20503891235736815
ridge,M0_clima8,12,148,168.48666987834753,0.2158001376545985
ridge,M1_clima8_vetor,1,148,47.25249334555982,0.9224914249225558
ridge,M1_clima8_vetor,2,147,84.464280061623,0.8121215106221487
ridge,M1_clima8_vetor,3,147,109.89166155610086,0.6800657655807973
ridge,M1_clima8_vetor,4,146,121.78305862850205,0.6785671810566032
ridge,M1_clima8_vetor,5,146,134.02563884307716,0.572103720441622
ridge,M1_clima8_vetor,6,145,153.5365256951911,0.525154444414943
ridge,M1_clima8_vetor,7,145,156.08024737982686,0.47966522018099356
ridge,M1_clima8_vetor,8,144,172.3250909892008,0.41641544231434624
ridge,M1_clima8_vetor,9,144,163.95698149786443,0.4203328453699009
ridge,M1_clima8_vetor,10,143,177.52338404317555,0.3897900834942618
ridge,M1_clima8_vetor,11,143,171.1526067951025,0.3922840340372068
ridge,M1_clima8_vetor,12,142,185.00495784454986,0.3737054157171673
