algoritmo,conjunto,h,MAE,R2
lightgbm,M0_clima6,1,58.680717502245855,0.8491384172788934
lightgbm,M0_clima6,2,68.61528298296197,0.828557187956859
lightgbm,M0_clima6,3,74.58308114862169,0.7718956461076087
lightgbm,M0_clima6,4,89.07907092529217,0.7069248321387103
lightgbm,M0_clima6,5,93.56996439736476,0.71803808449006
lightgbm,M0_clima6,6,102.05231490503039,0.6305178183904767
lightgbm,M0_clima6,7,103.00318518097585,0.6911628539801771
lightgbm,M0_clima6,8,98.40665031869125,0.6950533517711601
lightgbm,M0_clima6,9,107.97922228242548,0.6425402010471708
lightgbm,M0_clima6,10,104.33253314620136,0.6465884238722386
lightgbm,M0_clima6,11,107.88005908834913,0.6699420889657735
lightgbm,M0_clima6,12,112.14851898728253,0.6277948833166216
lightgbm,M1_clima6_vetor,1,58.35011142277559,0.8317910885003472
lightgbm,M1_clima6_vetor,2,70.42509028945163,0.8050212003647383
lightgbm,M1_clima6_vetor,3,86.79921715275627,0.6921035885361229
lightgbm,M1_clima6_vetor,4,93.65243109733917,0.7290079948876964
lightgbm,M1_clima6_vetor,5,93.43049046249324,0.7364694251407089
lightgbm,M1_clima6_vetor,6,115.12030073517076,0.5987272740404415
lightgbm,M1_clima6_vetor,7,108.74619165963249,0.6551309453494271
lightgbm,M1_clima6_vetor,8,104.04366931972824,0.682665222172207
lightgbm,M1_clima6_vetor,9,91.38076422189044,0.7909991212156415
lightgbm,M1_clima6_vetor,10,111.29339394452602,0.6261585404565804
lightgbm,M1_clima6_vetor,11,97.07053134661187,0.7705889775536974
lightgbm,M1_clima6_vetor,12,125.4506617515312,0.594803767980703
lightgbm,M0_clima8,1,61.48471546381393,0.8259224981370117
lightgbm,M0_clima8,2,69.66754806494181,0.841763252095898
lightgbm,M0_clima8,3,80.5647084693597,0.7596176677461728
lightgbm,M0_clima8,4,87.25134543294052,0.7366197300337916
lightgbm,M0_clima8,5,89.41671536083895,0.7298547741394555
lightgbm,M0_clima8,6,103.03081137609436,0.6308165549694634
lightgbm,M0_clima8,7,104.0117534867578,0.6745036588869096
lightgbm,M0_clima8,8,94.54879206843637,0.7124566293381112
lightgbm,M0_clima8,9,107.63472428112856,0.6326789650340702
lightgbm,M0_clima8,10,102.98161961390518,0.6451948096348106
lightgbm,M0_clima8,11,109.70740800625403,0.644981527978653
lightgbm,M0_clima8,12,113.14176108978691,0.6323680041319767
lightgbm,M1_clima8_vetor,1,58.652366185200286,0.8123614604449568
lightgbm,M1_clima8_vetor,2,74.41574887647559,0.7829946683752368
lightgbm,M1_clima8_vetor,3,87.70522612744503,0.6833592056048964
lightgbm,M1_clima8_vetor,4,92.94105660350228,0.7195338717527253
lightgbm,M1_clima8_vetor,5,93.80029925459549,0.6960620137083169
lightgbm,M1_clima8_vetor,6,112.90946599341052,0.6014592473443036
lightgbm,M1_clima8_vetor,7,109.95412850741641,0.6269742186072184
lightgbm,M1_clima8_vetor,8,112.30213674060141,0.6413598074264479
lightgbm,M1_clima8_vetor,9,97.17893955305098,0.7626030708293119
lightgbm,M1_clima8_vetor,10,117.08505783139918,0.6098448991235523
lightgbm,M1_clima8_vetor,11,97.66513142738556,0.7608299476003786
lightgbm,M1_clima8_vetor,12,127.05492072843923,0.5742481537858392
