algoritmo,h,R2_so_clima,R2_clima_vetor,ganho
lightgbm,1,0.23552630832303467,0.3084091266394601,0.0728828183164254
lightgbm,2,0.21331553148245985,0.39277943032438256,0.1794638988419227
lightgbm,3,0.3569045230135791,0.3825073737411764,0.02560285072759727
lightgbm,4,0.4002439890623819,0.4937430419686736,0.09349905290629168
lightgbm,5,0.3464378359262025,0.6085283143479212,0.26209047842171873
lightgbm,6,0.4079441658850106,0.6068125003421467,0.19886833445713614
lightgbm,7,0.41083143856159154,0.5560076589529352,0.1451762203913437
lightgbm,8,0.3699572916715339,0.6025981632141157,0.23264087154258184
lightgbm,9,0.20763852487402068,0.5029161459874785,0.2952776211134578
lightgbm,10,0.3178090884978165,0.5938890934670731,0.27608000496925655
lightgbm,11,0.24999997541309538,0.5323852326978135,0.2823852572847181
lightgbm,12,0.20975525802969863,0.5177788277421314,0.3080235697124327
