algoritmo,n,n_pos,tp,fp,fn,tn,sensib,espec,precisao,f1,bal_acc,auc,ap,exp,pctl,h,modelo
lightgbm,679,178,118,18,60,483,0.6629213483146067,0.9640718562874252,0.8676470588235294,0.7515923566878981,0.813496602301016,0.927997936710848,0.8357273548907668,A_infodengue,90,4,clima+AR_LGBM
lightgbm,679,178,0,0,178,501,0.0,1.0,,0.0,0.5,0.7870102491645922,0.4728535060805484,A_infodengue,90,4,sazonal
lightgbm,679,178,135,41,43,460,0.7584269662921348,0.9181636726546906,0.7670454545454546,0.7627118644067796,0.8382953194734126,,,A_infodengue,90,4,persistencia
lightgbm,675,182,97,31,85,462,0.532967032967033,0.9371196754563894,0.7578125,0.6258064516129033,0.7350433542117112,0.8906114169805854,0.7676308819202572,A_infodengue,90,8,clima+AR_LGBM
lightgbm,675,182,0,0,182,493,0.0,1.0,,0.0,0.5,0.7859817667119899,0.5066106230431402,A_infodengue,90,8,sazonal
lightgbm,675,182,104,74,78,419,0.5714285714285714,0.8498985801217038,0.5842696629213483,0.5777777777777777,0.7106635757751376,,,A_infodengue,90,8,persistencia
lightgbm,671,179,83,27,96,465,0.46368715083798884,0.9451219512195121,0.7545454545454545,0.5743944636678201,0.7044045510287504,0.864797656356452,0.6997567285835695,A_infodengue,90,12,clima+AR_LGBM
lightgbm,671,179,0,0,179,492,0.0,1.0,,0.0,0.5,0.7951639642094743,0.5296730952045573,A_infodengue,90,12,sazonal
lightgbm,671,179,69,100,110,392,0.3854748603351955,0.7967479674796748,0.40828402366863903,0.39655172413793105,0.5911114139074352,,,A_infodengue,90,12,persistencia
lightgbm,679,102,68,18,34,559,0.6666666666666666,0.9688041594454073,0.7906976744186046,0.723404255319149,0.817735413056037,0.9524756176300676,0.8274640882996839,A_infodengue,95,4,clima+AR_LGBM
lightgbm,679,102,0,0,102,577,0.0,1.0,,0.0,0.5,0.8534084344309648,0.36986780044197115,A_infodengue,95,4,sazonal
lightgbm,679,102,71,29,31,548,0.696078431372549,0.949740034662045,0.71,0.7029702970297029,0.822909233017297,,,A_infodengue,95,4,persistencia
lightgbm,675,109,44,26,65,540,0.4036697247706422,0.9540636042402827,0.6285714285714286,0.49162011173184356,0.6788666645054624,0.9025675106169158,0.6453996250109605,A_infodengue,95,8,clima+AR_LGBM
lightgbm,675,109,0,0,109,566,0.0,1.0,,0.0,0.5,0.8670535222225824,0.45023529723776434,A_infodengue,95,8,sazonal
lightgbm,675,109,45,60,64,506,0.41284403669724773,0.8939929328621908,0.42857142857142855,0.4205607476635514,0.6534184847797193,,,A_infodengue,95,8,persistencia
lightgbm,671,109,37,21,72,541,0.3394495412844037,0.9626334519572953,0.6379310344827587,0.4431137724550898,0.6510414966208495,0.8870025139573607,0.5599799098656262,A_infodengue,95,12,clima+AR_LGBM
lightgbm,671,109,0,0,109,562,0.0,1.0,,0.0,0.5,0.8718126612034347,0.44381303114382537,A_infodengue,95,12,sazonal
lightgbm,671,109,16,84,93,478,0.14678899082568808,0.8505338078291815,0.16,0.15311004784688995,0.4986613993274348,,,A_infodengue,95,12,persistencia
lightgbm,287,69,4,1,65,217,0.057971014492753624,0.9954128440366973,0.8,0.10810810810810811,0.5266919292647254,0.9145392899880335,0.7293062275205775,B_tabela_final,90,4,sazonal
lightgbm,287,69,51,6,18,212,0.7391304347826086,0.9724770642201835,0.8947368421052632,0.8095238095238095,0.8558037495013961,0.9696184018082702,0.9125962132322629,B_tabela_final,90,4,so-clima
lightgbm,287,69,55,10,14,208,0.7971014492753623,0.9541284403669725,0.8461538461538461,0.8208955223880597,0.8756149448211674,0.9587155963302751,0.9006869940774154,B_tabela_final,90,4,clima+vetor
lightgbm,283,70,7,2,63,211,0.1,0.9906103286384976,0.7777777777777778,0.17721518987341772,0.5453051643192488,0.9268947015425889,0.7688840311934001,B_tabela_final,90,8,sazonal
lightgbm,283,70,44,8,26,205,0.6285714285714286,0.9624413145539906,0.8461538461538461,0.7213114754098361,0.7955063715627095,0.9272300469483568,0.8574060205221152,B_tabela_final,90,8,so-clima
