algoritmo,conjunto,h,MAE,R2
lightgbm,so_clima,1,63.70320913067262,0.8130271705857394
lightgbm,so_clima,2,73.53135403726597,0.7946239709283024
lightgbm,so_clima,3,82.11920543920651,0.7320266710645134
lightgbm,so_clima,4,80.89590652812333,0.7686367302781665
lightgbm,so_clima,5,89.04832514915535,0.7328534996740259
lightgbm,so_clima,6,91.2212787059668,0.7218323015167175
lightgbm,so_clima,7,95.91274731087866,0.714258122112286
lightgbm,so_clima,8,102.70601536657954,0.6397127701106113
lightgbm,so_clima,9,111.41396714744299,0.6061192375980706
lightgbm,so_clima,10,105.20591017462029,0.6728504861645144
lightgbm,so_clima,11,107.15281925577942,0.6446967415811383
lightgbm,so_clima,12,117.14044387549434,0.595243996109768
lightgbm,clima_vetor,1,59.78157368790733,0.8221311440738945
lightgbm,clima_vetor,2,77.49313037448472,0.7594883692796275
lightgbm,clima_vetor,3,95.02148170150473,0.6572210397235843
lightgbm,clima_vetor,4,94.99606365521375,0.6875813101468666
lightgbm,clima_vetor,5,99.80474271470966,0.6639492880231038
lightgbm,clima_vetor,6,108.42205404861541,0.6421238355193353
lightgbm,clima_vetor,7,114.96670790961241,0.5679450068304726
lightgbm,clima_vetor,8,116.17599531126245,0.5619125649180563
lightgbm,clima_vetor,9,110.64550142636828,0.6500608022689617
lightgbm,clima_vetor,10,127.5091415273762,0.5360828390790777
lightgbm,clima_vetor,11,114.80786382094291,0.6265032431733009
lightgbm,clima_vetor,12,131.0874845415052,0.5601195648753178
lightgbm,so_vetor,1,60.92366835141866,0.8040810398980655
lightgbm,so_vetor,2,72.8174882633699,0.8104068805200922
lightgbm,so_vetor,3,84.62374092977979,0.6916475063310437
lightgbm,so_vetor,4,100.26717345694456,0.6847632017439222
lightgbm,so_vetor,5,86.70029442263865,0.7569798228910981
lightgbm,so_vetor,6,107.32131747656071,0.6762732215664172
lightgbm,so_vetor,7,106.4812680591676,0.6759141167844844
lightgbm,so_vetor,8,102.47748134665545,0.6862153624450223
lightgbm,so_vetor,9,90.88027465626256,0.7728089890715247
lightgbm,so_vetor,10,107.19507785995921,0.6757455617837522
lightgbm,so_vetor,11,97.60241581941379,0.7658566064119926
lightgbm,so_vetor,12,113.41094406242485,0.6708633391704217
