data,h,real,pred
2014-09-21,12,4.0,12.075397884340456
2014-09-28,12,3.0,9.522059989309332
2014-10-05,12,2.0,9.733989561576726
2014-10-12,12,8.0,6.9825080276742435
2014-10-19,12,4.0,13.59948938267984
2014-10-26,12,10.0,12.972506254327824
2014-11-02,12,3.0,13.337486243989336
2014-11-09,12,2.0,15.928354631122824
2014-11-16,12,8.0,27.165338072877383
2014-11-23,12,10.0,26.29939400749187
2014-11-30,12,16.0,12.314381687193208
2014-12-07,12,23.0,7.608579908077822
2014-12-14,12,17.0,17.57650584908376
2014-12-21,12,12.0,97.34382628340462
2014-12-28,12,28.0,70.61363880332833
2015-01-04,12,19.0,19.900790390896784
2015-01-11,12,47.0,19.526565359265437
2015-01-18,12,42.0,34.160424340977514
2015-01-25,12,34.0,41.104250493321345
2015-02-01,12,38.0,8.88977927348978
2015-02-08,12,46.0,28.05852817857021
2015-02-15,12,41.0,20.526589414904596
2015-02-22,12,41.0,15.871230756337704
2015-03-01,12,20.0,11.899892341338381
2015-03-08,12,23.0,12.973343890591648
2015-03-15,12,15.0,17.07415318256064
2015-03-22,12,5.0,12.905890850183884
2015-03-29,12,7.0,3.8851642395916115
2015-04-05,12,5.0,3.253198887473528
2015-04-12,12,6.0,4.662725014002233
2015-04-19,12,2.0,3.415844904705159
2015-04-26,12,6.0,4.127720463288452
2015-05-03,12,5.0,2.086151061722344
2015-05-10,12,11.0,2.026098931741369
2015-05-17,12,5.0,4.792106144493794
2015-05-24,12,8.0,6.732835212684262
2015-05-31,12,4.0,2.9506714476466764
2015-06-07,12,4.0,2.245924676136229
2015-06-14,12,2.0,3.473679622952557
2015-06-21,12,3.0,2.7635430416460967
2015-06-28,12,5.0,3.503857483898031
2015-07-05,12,4.0,3.220979932385246
2015-07-12,12,1.0,6.979610446388577
2015-07-19,12,4.0,3.6114962987089974
2015-07-26,12,7.0,3.989890132325034
2015-08-02,12,6.0,6.53230113832535
2015-08-09,12,1.0,6.771814816511182
2015-08-16,12,5.0,8.200850943944658
2015-08-23,12,7.0,3.3484587798445355
2015-08-30,12,18.0,5.935495240304761
2015-09-06,12,17.0,6.589568738293914
2015-09-13,12,22.0,6.16098051921989
2015-09-20,12,25.0,8.697396582887768
2015-09-27,12,18.0,3.1000402974871704
2015-10-04,12,15.0,7.444458487388654
2015-10-11,12,50.0,10.721730142873446
2015-10-18,12,45.0,8.201917613964227
2015-10-25,12,45.0,12.602765926556357
2015-11-01,12,31.0,10.39408683203686
2015-11-08,12,44.0,8.148111294739344
2015-11-15,12,99.0,13.980261339295534
2015-11-22,12,158.0,17.293558642800253
2015-11-29,12,128.0,27.910576017273858
2015-12-06,12,106.0,37.16886025369342
2015-12-13,12,143.0,27.996101344348805
2015-12-20,12,169.0,36.22515807800833
2015-12-27,12,146.0,36.21097373272941
2016-01-03,12,163.0,41.24557275816435
2016-01-10,12,151.0,29.45106808036243
2016-01-17,12,126.0,12.813244997255952
2016-01-24,12,116.0,22.33550804008821
2016-01-31,12,89.0,29.928433524455087
2016-02-07,12,65.0,26.003566649958763
2016-02-14,12,37.0,25.289859538799405
2016-02-21,12,20.0,48.164822268659044
2016-02-28,12,31.0,11.186699986577537
2016-03-06,12,12.0,15.408304591422981
2016-03-13,12,7.0,8.728004781291542
2016-03-20,12,7.0,6.089917504300146
2016-03-27,12,9.0,6.563234620408376
2016-04-03,12,10.0,20.395813952430032
2016-04-10,12,10.0,3.18908278159902
2016-04-17,12,13.0,43.32647150125196
2016-04-24,12,7.0,6.780950391673566
2016-05-01,12,6.0,3.0768346818220236
2016-05-08,12,11.0,4.650207406681612
2016-05-15,12,19.0,2.917636959462842
2016-05-22,12,16.0,4.201077589841126
2016-05-29,12,13.0,7.006913039993305
2016-06-05,12,9.0,11.90644306927296
2016-06-12,12,5.0,4.7308965642444605
2016-06-19,12,11.0,2.8644450862762003
2016-06-26,12,8.0,3.2409025292108775
2016-07-03,12,9.0,9.121600008571612
2016-07-10,12,10.0,3.341105076415715
2016-07-17,12,9.0,2.655824795773685
2016-07-24,12,9.0,4.569579308611366
2016-07-31,12,18.0,4.6417221008565095
