data,h,real,pred
2014-10-19,8,4.0,10.723893589297386
2014-10-26,8,3.0,7.940936186492842
2014-11-02,8,2.0,11.983605300687644
2014-11-09,8,8.0,10.872528997557785
2014-11-16,8,4.0,9.946479380394358
2014-11-23,8,10.0,13.891947454429744
2014-11-30,8,3.0,10.079999517263733
2014-12-07,8,2.0,1.8158391580595379
2014-12-14,8,8.0,32.57219467040587
2014-12-21,8,10.0,40.69105227125774
2014-12-28,8,16.0,72.5679140140693
2015-01-04,8,23.0,97.77646294526143
2015-01-11,8,17.0,134.19880855175148
2015-01-18,8,12.0,124.97386557002791
2015-01-25,8,28.0,116.37157058117457
2015-02-01,8,19.0,115.69102133028439
2015-02-08,8,47.0,83.4246793432236
2015-02-15,8,42.0,110.28872299942941
2015-02-22,8,34.0,130.18236477031343
2015-03-01,8,38.0,69.50575539609947
2015-03-08,8,46.0,55.725995341445426
2015-03-15,8,41.0,21.466154127894605
2015-03-22,8,41.0,22.72133047909893
2015-03-29,8,20.0,34.78176364685787
2015-04-05,8,23.0,52.771323285069464
2015-04-12,8,15.0,26.398948928153935
2015-04-19,8,5.0,16.87828943348057
2015-04-26,8,7.0,3.164665060878636
2015-05-03,8,5.0,12.387620757380478
2015-05-10,8,6.0,7.139794280171076
2015-05-17,8,2.0,7.394201915195839
2015-05-24,8,6.0,8.18687433133303
2015-05-31,8,5.0,1.7086943837020523
2015-06-07,8,11.0,1.8582749354842585
2015-06-14,8,5.0,4.899236149147271
2015-06-21,8,8.0,2.9140725749713825
2015-06-28,8,4.0,2.936016814271425
2015-07-05,8,4.0,3.9291607058848066
2015-07-12,8,2.0,3.09685211117286
2015-07-19,8,3.0,3.016312283757288
2015-07-26,8,5.0,1.8687095393445037
2015-08-02,8,4.0,2.0307936621508778
2015-08-09,8,1.0,0.9235933445013418
2015-08-16,8,4.0,2.9504058963685407
2015-08-23,8,7.0,2.1210853266245957
2015-08-30,8,6.0,3.2002894306854914
2015-09-06,8,1.0,3.9423436256283937
2015-09-13,8,5.0,6.453892943320977
2015-09-20,8,7.0,7.043489581764746
2015-09-27,8,18.0,6.498217824127581
2015-10-04,8,17.0,6.915834451093757
2015-10-11,8,22.0,8.116656454294953
2015-10-18,8,25.0,7.37460353547577
2015-10-25,8,18.0,3.2449662231956546
2015-11-01,8,15.0,1.4263216124361517
2015-11-08,8,50.0,4.066384899200141
2015-11-15,8,45.0,10.806348011282344
2015-11-22,8,45.0,7.744490576411933
2015-11-29,8,31.0,6.120692202862054
2015-12-06,8,44.0,11.99027380793935
2015-12-13,8,99.0,14.591483098712073
2015-12-20,8,158.0,17.825188071621813
2015-12-27,8,128.0,15.636152444582732
2016-01-03,8,106.0,2.310916782458336
2016-01-10,8,143.0,-3.357655250466666
2016-01-17,8,169.0,25.85797218451464
2016-01-24,8,146.0,15.90030145293847
2016-01-31,8,163.0,29.913287997316683
2016-02-07,8,151.0,31.416297213107292
2016-02-14,8,126.0,78.67051806369125
2016-02-21,8,116.0,74.43559564173677
2016-02-28,8,89.0,70.98039786979336
2016-03-06,8,65.0,67.85834872484078
2016-03-13,8,37.0,56.512372065876676
2016-03-20,8,20.0,35.88300861762824
2016-03-27,8,31.0,23.685702564509658
2016-04-03,8,12.0,10.997778660038938
2016-04-10,8,7.0,15.181592270739433
2016-04-17,8,7.0,12.54359925846277
2016-04-24,8,9.0,13.906279823778638
2016-05-01,8,10.0,9.71213775452407
2016-05-08,8,10.0,5.6169557797268705
2016-05-15,8,13.0,3.3920044533030036
2016-05-22,8,7.0,2.9885744929408946
2016-05-29,8,6.0,18.00775948861584
2016-06-05,8,11.0,6.4749993933035634
2016-06-12,8,19.0,4.052687175124607
2016-06-19,8,16.0,3.078943358113935
2016-06-26,8,13.0,1.9434681766520385
2016-07-03,8,9.0,1.8162760563355826
2016-07-10,8,5.0,0.132803323930032
2016-07-17,8,11.0,2.3838377422234243
2016-07-24,8,8.0,2.21560181586591
2016-07-31,8,9.0,1.788838936308772
2016-08-07,8,10.0,2.085099247954688
2016-08-14,8,9.0,6.794573079458681
2016-08-21,8,9.0,8.274417793972335
2016-08-28,8,18.0,12.980778838311043
2016-09-04,8,11.0,11.058363227249483
2016-09-11,8,10.0,12.620511099219529
2016-09-18,8,7.0,13.09308556365447
2016-09-25,8,15.0,15.438062974862884
2016-10-02,8,9.0,16.887357050657883
2016-10-09,8,24.0,18.920469448074066
2016-10-16,8,21.0,21.3130805319232
2016-10-23,8,31.0,21.985520331018325
2016-10-30,8,41.0,25.9617434728425
2016-11-06,8,35.0,28.078275008241746
2016-11-13,8,44.0,24.321012891744267
2016-11-20,8,30.0,16.97049180616466
2016-11-27,8,27.0,22.898692527701428
2016-12-04,8,23.0,31.930839503228
2016-12-11,8,16.0,60.86550530545904
2016-12-18,8,25.0,110.34174109509702
2016-12-25,8,7.0,153.4437947489324
2017-01-01,8,28.0,164.90131511967448
2017-01-08,8,25.0,161.355812529386
2017-01-15,8,15.0,156.98849086709168
2017-01-22,8,12.0,159.11351692217107
2017-01-29,8,10.0,112.19326351490061
2017-02-05,8,5.0,125.95945644763738
2017-02-12,8,6.0,89.75690228994496
2017-02-19,8,8.0,28.401579443662836
2017-02-26,8,7.0,23.614883081315316
2017-03-05,8,9.0,59.28056471719273
2017-03-12,8,6.0,43.04565824566262
2017-03-19,8,4.0,45.04496534696128
2017-03-26,8,4.0,38.368208562846654
2017-04-02,8,12.0,15.736143488815712
2017-04-09,8,3.0,3.681359450444109
2017-04-16,8,1.0,9.259597988545096
2017-04-23,8,2.0,6.404365853962843
2017-04-30,8,4.0,0.4825976369083285
2017-05-07,8,5.0,1.0312875731060263
2017-05-14,8,4.0,2.2386913422795507
2017-05-21,8,3.0,1.768528729185747
2017-05-28,8,1.0,4.410363926559234
2017-06-04,8,1.0,2.2798939812456442
2017-06-11,8,2.0,1.4822958379274211
2017-06-18,8,2.0,4.8824958963393
2017-06-25,8,6.0,3.5539302848477883
2017-07-02,8,5.0,3.6093052019390837
2017-07-09,8,2.0,1.6097308522045073
2017-07-16,8,4.0,1.425566414250672
2017-07-23,8,7.0,4.948870178431367
2017-07-30,8,3.0,3.5968893566365217
2017-08-06,8,5.0,2.911458889176561
2017-08-13,8,7.0,4.68184828926287
2017-08-20,8,5.0,2.307912519032434
2017-08-27,8,5.0,4.412996319802971
2017-09-03,8,4.0,3.0377768778488843
2017-09-10,8,7.0,3.6949338019953335
2017-09-17,8,8.0,6.341220194204611
2017-09-24,8,7.0,14.390839083244432
2017-10-01,8,9.0,9.799175172712014
2017-10-08,8,4.0,18.54444941459472
2017-10-15,8,14.0,9.847320166756953
2017-10-22,8,9.0,18.975145106620783
2017-10-29,8,12.0,25.649678642807256
2017-11-05,8,15.0,20.23731191810643
2017-11-12,8,9.0,11.6548136276132
2017-11-19,8,17.0,19.026350825939566
2017-11-26,8,8.0,40.26326192814203
2017-12-03,8,10.0,15.97442978245854
2017-12-10,8,8.0,35.48603707875842
2017-12-17,8,5.0,56.6256873114837
2018-02-11,8,1.0,10.653145255520291
2018-02-18,8,5.0,43.44267346115237
2018-02-25,8,6.0,7.470752925121984
2018-03-04,8,2.0,8.729830202153721
2018-03-11,8,7.0,21.488023201732315
2018-03-18,8,2.0,7.558872797282185
2018-03-25,8,6.0,10.247345557443618
2018-04-01,8,0.0,7.272078768328432
2018-04-08,8,1.0,4.215468344962699
2018-04-15,8,0.0,8.068912948875527
2018-04-22,8,2.0,4.992254965202391
2018-04-29,8,2.0,6.312699158854761
2018-05-06,8,0.0,5.2266873698514615
2018-05-13,8,0.0,3.183559792510899
2018-05-20,8,5.0,5.105521932499969
2018-05-27,8,3.0,1.1318251219446311
2018-06-03,8,3.0,4.3123261090224405
2018-06-10,8,1.0,3.504170331593404
2018-06-17,8,4.0,3.2066185707099546
2018-06-24,8,1.0,1.9956999939794409
2018-07-01,8,1.0,2.452983365326084
