data,h,real,pred
2014-10-19,8,4.0,4.751995665121437
2014-10-26,8,3.0,6.384593233572143
2014-11-02,8,2.0,6.9340117134000305
2014-11-09,8,8.0,1.8454673509549038
2014-11-16,8,4.0,8.922399577355042
2014-11-23,8,10.0,11.378058756890823
2014-11-30,8,3.0,11.155392895447665
2014-12-07,8,2.0,10.234012286210197
2014-12-14,8,8.0,24.791066619561345
2014-12-21,8,10.0,44.507037278788616
2014-12-28,8,16.0,66.63555723522889
2015-01-04,8,23.0,91.92203729133306
2015-01-11,8,17.0,117.16965052069088
2015-01-18,8,12.0,108.38779837286117
2015-01-25,8,28.0,94.88481429730219
2015-02-01,8,19.0,87.63743149017508
2015-02-08,8,47.0,85.36657463540337
2015-02-15,8,42.0,98.49294059898516
2015-02-22,8,34.0,87.01773112655351
2015-03-01,8,38.0,75.81059803577858
2015-03-08,8,46.0,53.10066823286144
2015-03-15,8,41.0,24.97200068129729
2015-03-22,8,41.0,22.865891945699108
2015-03-29,8,20.0,33.32468888148913
2015-04-05,8,23.0,20.10312367652326
2015-04-12,8,15.0,1.393045015211301
2015-04-19,8,5.0,26.738358528905607
2015-04-26,8,7.0,7.209247091919515
2015-05-03,8,5.0,12.796223686200717
2015-05-10,8,6.0,5.865684925037764
2015-05-17,8,2.0,12.850597990981846
2015-05-24,8,6.0,13.458678836362484
2015-05-31,8,5.0,3.859668899521612
2015-06-07,8,11.0,1.872908761333377
2015-06-14,8,5.0,6.144201193464194
2015-06-21,8,8.0,3.5704763366278676
2015-06-28,8,4.0,3.4778450543715893
2015-07-05,8,4.0,3.371325242115166
2015-07-12,8,2.0,2.9213256941841426
2015-07-19,8,3.0,2.2194694773866366
2015-07-26,8,5.0,2.5165526104642773
2015-08-02,8,4.0,1.7340450909139116
2015-08-09,8,1.0,0.8281516496899585
2015-08-16,8,4.0,1.0795575414213214
2015-08-23,8,7.0,2.1669775656277577
2015-08-30,8,6.0,0.6856432230086552
2015-09-06,8,1.0,4.49742216590507
2015-09-13,8,5.0,3.5375137105400394
2015-09-20,8,7.0,6.945285371207946
2015-09-27,8,18.0,5.8380940555379395
2015-10-04,8,17.0,4.300158440891442
2015-10-11,8,22.0,5.040786154549972
2015-10-18,8,25.0,5.410367245832155
2015-10-25,8,18.0,2.6272089262564076
2015-11-01,8,15.0,3.216166314566484
2015-11-08,8,50.0,2.1337267940589473
2015-11-15,8,45.0,3.117437393415523
2015-11-22,8,45.0,8.569213208081731
2015-11-29,8,31.0,9.877638572393858
2015-12-06,8,44.0,12.00331597498779
2015-12-13,8,99.0,17.900736820405726
2015-12-20,8,158.0,13.732762325657571
2015-12-27,8,128.0,10.695277332743965
