data,h,real,pred
2012-09-23,8,3.0,0.0
2012-09-30,8,1.0,1.0
2012-10-07,8,3.0,2.0
2012-10-14,8,4.0,1.0
2012-10-21,8,2.0,1.0
2012-10-28,8,0.0,0.0
2012-11-04,8,10.0,1.0
2012-11-11,8,6.0,3.0
2012-11-18,8,5.0,3.0
2012-11-25,8,13.0,1.0
2012-12-02,8,11.0,3.0
2012-12-09,8,23.0,4.0
2012-12-16,8,41.0,2.0
2012-12-23,8,48.0,0.0
2012-12-30,8,105.0,10.0
2013-01-06,8,114.0,6.0
2013-01-13,8,99.0,5.0
2013-01-20,8,114.0,13.0
2013-01-27,8,118.0,11.0
2013-02-03,8,136.0,23.0
2013-02-10,8,84.0,41.0
2013-02-17,8,63.0,48.0
2013-02-24,8,49.0,105.0
2013-03-03,8,65.0,114.0
2013-03-10,8,34.0,99.0
2013-03-17,8,20.0,114.0
2013-03-24,8,20.0,118.0
2013-03-31,8,15.0,136.0
2013-04-07,8,13.0,84.0
2013-04-14,8,11.0,63.0
2013-04-21,8,5.0,49.0
2013-04-28,8,7.0,65.0
2013-05-05,8,6.0,34.0
2013-05-12,8,0.0,20.0
2013-05-19,8,0.0,20.0
2013-05-26,8,0.0,15.0
2013-06-02,8,5.0,13.0
2013-06-09,8,5.0,11.0
2013-06-16,8,1.0,5.0
2013-06-23,8,5.0,7.0
2013-06-30,8,1.0,6.0
2013-07-07,8,4.0,0.0
2013-07-14,8,7.0,0.0
2013-07-21,8,4.0,0.0
2013-07-28,8,3.0,5.0
2013-08-04,8,4.0,5.0
2013-08-11,8,3.0,1.0
2013-08-18,8,3.0,5.0
2013-08-25,8,2.0,1.0
2013-09-01,8,1.0,4.0
2013-09-08,8,3.0,7.0
2013-09-15,8,3.0,4.0
2013-09-22,8,2.0,3.0
2013-09-29,8,11.0,4.0
2013-10-06,8,13.0,3.0
2013-10-13,8,11.0,3.0
2013-10-20,8,11.0,2.0
2013-10-27,8,7.0,1.0
2013-11-03,8,4.0,3.0
2013-11-10,8,19.0,3.0
2013-11-17,8,12.0,2.0
2013-11-24,8,8.0,11.0
2013-12-01,8,18.0,13.0
2013-12-08,8,14.0,11.0
2013-12-15,8,6.0,11.0
2013-12-22,8,12.0,7.0
2013-12-29,8,5.0,4.0
2014-01-05,8,7.0,19.0
2014-01-12,8,9.0,12.0
2014-01-19,8,8.0,8.0
2014-01-26,8,10.0,18.0
2014-02-02,8,8.0,14.0
2014-02-09,8,6.0,6.0
2014-02-16,8,5.0,12.0
2014-02-23,8,12.0,5.0
2014-03-02,8,11.0,7.0
2014-03-09,8,4.0,9.0
2014-03-16,8,9.0,8.0
2014-03-23,8,4.0,10.0
2014-03-30,8,5.0,8.0
2014-04-06,8,2.0,6.0
2014-04-13,8,4.0,5.0
2014-04-20,8,4.0,12.0
2014-04-27,8,2.0,11.0
2014-05-04,8,0.0,4.0
2014-05-11,8,2.0,9.0
2014-05-18,8,5.0,4.0
2014-05-25,8,5.0,5.0
2014-06-01,8,3.0,2.0
2014-06-08,8,6.0,4.0
2014-06-15,8,3.0,4.0
2014-06-22,8,3.0,2.0
2014-06-29,8,3.0,0.0
2014-07-06,8,1.0,2.0
2014-07-13,8,2.0,5.0
2014-07-20,8,3.0,5.0
2014-07-27,8,2.0,3.0
2014-08-03,8,2.0,6.0
2014-08-10,8,4.0,3.0
2014-08-17,8,3.0,3.0
2014-08-24,8,2.0,3.0
2014-08-31,8,7.0,1.0
2014-09-07,8,7.0,2.0
2014-09-14,8,6.0,3.0
2014-09-21,8,7.0,2.0
2014-09-28,8,4.0,2.0
2014-10-05,8,6.0,4.0
2014-10-12,8,6.0,3.0
2014-10-19,8,4.0,2.0
2014-10-26,8,3.0,7.0
2014-11-02,8,2.0,7.0
2014-11-09,8,8.0,6.0
2014-11-16,8,4.0,7.0
2014-11-23,8,10.0,4.0
2014-11-30,8,3.0,6.0
2014-12-07,8,2.0,6.0
2014-12-14,8,8.0,4.0
2014-12-21,8,10.0,3.0
2014-12-28,8,16.0,2.0
2015-01-04,8,23.0,8.0
2015-01-11,8,17.0,4.0
2015-01-18,8,12.0,10.0
2015-01-25,8,28.0,3.0
2015-02-01,8,19.0,2.0
2015-02-08,8,47.0,8.0
2015-02-15,8,42.0,10.0
2015-02-22,8,34.0,16.0
2015-03-01,8,38.0,23.0
2015-03-08,8,46.0,17.0
2015-03-15,8,41.0,12.0
2015-03-22,8,41.0,28.0
2015-03-29,8,20.0,19.0
2015-04-05,8,23.0,47.0
2015-04-12,8,15.0,42.0
2015-04-19,8,5.0,34.0
2015-04-26,8,7.0,38.0
2015-05-03,8,5.0,46.0
2015-05-10,8,6.0,41.0
2015-05-17,8,2.0,41.0
2015-05-24,8,6.0,20.0
2015-05-31,8,5.0,23.0
2015-06-07,8,11.0,15.0
2015-06-14,8,5.0,5.0
2015-06-21,8,8.0,7.0
2015-06-28,8,4.0,5.0
2015-07-05,8,4.0,6.0
2015-07-12,8,2.0,2.0
2015-07-19,8,3.0,6.0
2015-07-26,8,5.0,5.0
2015-08-02,8,4.0,11.0
2015-08-09,8,1.0,5.0
2015-08-16,8,4.0,8.0
2015-08-23,8,7.0,4.0
2015-08-30,8,6.0,4.0
2015-09-06,8,1.0,2.0
2015-09-13,8,5.0,3.0
2015-09-20,8,7.0,5.0
2015-09-27,8,18.0,4.0
2015-10-04,8,17.0,1.0
2015-10-11,8,22.0,4.0
2015-10-18,8,25.0,7.0
2015-10-25,8,18.0,6.0
2015-11-01,8,15.0,1.0
2015-11-08,8,50.0,5.0
2015-11-15,8,45.0,7.0
2015-11-22,8,45.0,18.0
2015-11-29,8,31.0,17.0
2015-12-06,8,44.0,22.0
2015-12-13,8,99.0,25.0
2015-12-20,8,158.0,18.0
2015-12-27,8,128.0,15.0
2016-01-03,8,106.0,50.0
2016-01-10,8,143.0,45.0
2016-01-17,8,169.0,45.0
2016-01-24,8,146.0,31.0
2016-01-31,8,163.0,44.0
2016-02-07,8,151.0,99.0
2016-02-14,8,126.0,158.0
2016-02-21,8,116.0,128.0
2016-02-28,8,89.0,106.0
2016-03-06,8,65.0,143.0
2016-03-13,8,37.0,169.0
2016-03-20,8,20.0,146.0
2016-03-27,8,31.0,163.0
2016-04-03,8,12.0,151.0
2016-04-10,8,7.0,126.0
2016-04-17,8,7.0,116.0
2016-04-24,8,9.0,89.0
2016-05-01,8,10.0,65.0
2016-05-08,8,10.0,37.0
2016-05-15,8,13.0,20.0
2016-05-22,8,7.0,31.0
2016-05-29,8,6.0,12.0
2016-06-05,8,11.0,7.0
2016-06-12,8,19.0,7.0
2016-06-19,8,16.0,9.0
2016-06-26,8,13.0,10.0
2016-07-03,8,9.0,10.0
2016-07-10,8,5.0,13.0
2016-07-17,8,11.0,7.0
2016-07-24,8,8.0,6.0
2016-07-31,8,9.0,11.0
2016-08-07,8,10.0,19.0
2016-08-14,8,9.0,16.0
2016-08-21,8,9.0,13.0
2016-08-28,8,18.0,9.0
2016-09-04,8,11.0,5.0
2016-09-11,8,10.0,11.0
2016-09-18,8,7.0,8.0
2016-09-25,8,15.0,9.0
2016-10-02,8,9.0,10.0
2016-10-09,8,24.0,9.0
2016-10-16,8,21.0,9.0
2016-10-23,8,31.0,18.0
2016-10-30,8,41.0,11.0
2016-11-06,8,35.0,10.0
2016-11-13,8,44.0,7.0
2016-11-20,8,30.0,15.0
2016-11-27,8,27.0,9.0
2016-12-04,8,23.0,24.0
2016-12-11,8,16.0,21.0
2016-12-18,8,25.0,31.0
2016-12-25,8,7.0,41.0
2017-01-01,8,28.0,35.0
2017-01-08,8,25.0,44.0
2017-01-15,8,15.0,30.0
2017-01-22,8,12.0,27.0
2017-01-29,8,10.0,23.0
2017-02-05,8,5.0,16.0
2017-02-12,8,6.0,25.0
2017-02-19,8,8.0,7.0
2017-02-26,8,7.0,28.0
2017-03-05,8,9.0,25.0
2017-03-12,8,6.0,15.0
2017-03-19,8,4.0,12.0
2017-03-26,8,4.0,10.0
2017-04-02,8,12.0,5.0
2017-04-09,8,3.0,6.0
2017-04-16,8,1.0,8.0
2017-04-23,8,2.0,7.0
2017-04-30,8,4.0,9.0
2017-05-07,8,5.0,6.0
2017-05-14,8,4.0,4.0
2017-05-21,8,3.0,4.0
2017-05-28,8,1.0,12.0
2017-06-04,8,1.0,3.0
2017-06-11,8,2.0,1.0
2017-06-18,8,2.0,2.0
2017-06-25,8,6.0,4.0
2017-07-02,8,5.0,5.0
2017-07-09,8,2.0,4.0
2017-07-16,8,4.0,3.0
