h,regime,semanas_avaliadas,n_treino_mediano,MAE,RMSE,R2
1,expansivel_2012,226,584,0.15262553170178175,0.2522911527667356,0.739931143275063
1,expansivel_2020,226,216,0.16170544802714326,0.26712375206119654,0.7084525020133736
1,deslizante_6anos,226,299,0.1505388209689085,0.2526375596829324,0.739216480884356
4,expansivel_2012,221,577,0.17453122761863332,0.2831136955473784,0.6771909942248782
4,expansivel_2020,221,211,0.18248290252895816,0.2763923565054047,0.6923365242471127
4,deslizante_6anos,221,294,0.1933054599115528,0.30252177563336263,0.6314154165329748
8,expansivel_2012,217,574,0.19304650039951857,0.29467597141401797,0.6519929380587678
8,expansivel_2020,217,208,0.2034689933809397,0.3018823169739969,0.6347636799600783
8,deslizante_6anos,217,290,0.20664671157143286,0.3162489081719429,0.5991732671004865
12,expansivel_2012,213,568,0.2040899641593152,0.3207901343755329,0.5876463945498075
12,expansivel_2020,213,202,0.21644220245432602,0.3228166280755121,0.5824201028487767
12,deslizante_6anos,213,286,0.22806767100187023,0.3516538739228663,0.5044829511850442
