algoritmo,perda,h,n,MAE_M0,MAE_M1,ganho,p_bruto,p_holm,origem
gradient_boosting,padrao,1,102,103.76141217859521,113.23496634248148,-9.473554163886277,0.8835427626458713,1.0,corrigido
gradient_boosting,padrao,4,102,247.18479582329238,229.25703275551538,17.927763067776993,0.187162851738511,1.0,corrigido
gradient_boosting,padrao,8,102,277.41937250724044,300.1369766036186,-22.71760409637818,0.6589906324268952,1.0,corrigido
gradient_boosting,padrao,12,102,302.1239168567883,285.19744755719813,16.926469299590167,0.10161066572705485,1.0,corrigido
gradient_boosting,quantil_0.70,1,102,98.76365377998944,114.7887040177677,-16.02505023777826,0.9779919341473159,1.0,corrigido
gradient_boosting,quantil_0.70,4,102,209.7809942783887,229.18060750921805,-19.399613230829345,0.8526161186544361,1.0,corrigido
gradient_boosting,quantil_0.70,8,102,253.59174313933883,279.8495226528666,-26.257779513527765,0.7970518155760787,1.0,corrigido
gradient_boosting,quantil_0.70,12,102,283.8720256468645,262.30110643337156,21.570919213492914,0.26569451134158933,1.0,corrigido
gradient_boosting,quantil_0.80,1,102,96.25763443900605,113.70353153665133,-17.445897097645272,0.9862690901639668,1.0,corrigido
gradient_boosting,quantil_0.80,4,102,219.04776175186436,209.1224758065067,9.925285945357643,0.23641975665318002,1.0,corrigido
gradient_boosting,quantil_0.80,8,102,239.92160684988852,257.07642026625655,-17.15481341636803,0.6637751419153022,1.0,corrigido
gradient_boosting,quantil_0.80,12,102,286.18997260358066,264.62108097837086,21.5688916252098,0.1389272442422042,1.0,corrigido
gradient_boosting,quantil_0.85,1,102,91.9305254670557,108.11407606779373,-16.18355060073803,0.9866167807241839,1.0,corrigido
gradient_boosting,quantil_0.85,4,102,229.11023326341865,205.89344788860663,23.21678537481202,0.08457158552317144,1.0,corrigido
gradient_boosting,quantil_0.85,8,102,247.006688788105,262.6583728419273,-15.651684053822294,0.6228320558592142,1.0,corrigido
gradient_boosting,quantil_0.85,12,102,271.8742988948593,271.2548714366823,0.6194274581769719,0.4871858749861802,1.0,corrigido
gradient_boosting,quantil_0.90,1,102,93.29145235020911,102.4769341342912,-9.185481784082086,0.8751078242613847,1.0,corrigido
gradient_boosting,quantil_0.90,4,102,235.2000338319271,206.88328771192494,28.316746120002165,0.050202700079170534,1.0,corrigido
gradient_boosting,quantil_0.90,8,102,243.02661790212332,277.6712835428993,-34.64466564077597,0.7379350450827065,1.0,corrigido
gradient_boosting,quantil_0.90,12,102,283.83679699331327,278.9311883095493,4.905608683763944,0.3858467227024211,1.0,corrigido
hist_gradient_boosting,padrao,1,102,102.19446725037024,113.01363260483768,-10.819165354467444,0.8872769561143665,1.0,corrigido
hist_gradient_boosting,padrao,4,102,252.0336290669603,241.25633843967051,10.777290627289773,0.30288893687145346,1.0,corrigido
hist_gradient_boosting,padrao,8,102,264.02722266553013,293.8682256621296,-29.841002996599457,0.7080581390743,1.0,corrigido
hist_gradient_boosting,padrao,12,102,281.62997065098375,292.84275810740894,-11.21278745642519,0.6672086380197301,1.0,corrigido
hist_gradient_boosting,quantil_0.70,1,102,94.57762815869572,103.48693457921073,-8.909306420515009,0.9064485601522688,1.0,corrigido
hist_gradient_boosting,quantil_0.70,4,102,225.34914010894258,221.97579245047135,3.373347658471232,0.3880312243964455,1.0,corrigido
hist_gradient_boosting,quantil_0.70,8,102,253.97087202316905,261.4000503870986,-7.4291783639295375,0.5939244667599066,1.0,corrigido
hist_gradient_boosting,quantil_0.70,12,102,286.4941683020536,277.57465012690056,8.91951817515303,0.32709267907487694,1.0,corrigido
hist_gradient_boosting,quantil_0.80,1,102,94.6395071392349,101.2661968809794,-6.626689741744499,0.7912512559640493,1.0,corrigido
hist_gradient_boosting,quantil_0.80,4,102,225.53729070218142,221.41585579361654,4.121434908564879,0.40522487364137555,1.0,corrigido
hist_gradient_boosting,quantil_0.80,8,102,238.91259880493115,270.15732348010283,-31.244724675171682,0.7596050144265251,1.0,corrigido
hist_gradient_boosting,quantil_0.80,12,102,300.33938608623026,273.9484924359289,26.390893650301336,0.06883886381011374,1.0,corrigido
hist_gradient_boosting,quantil_0.85,1,102,91.98275281555958,97.98708193004315,-6.004329114483568,0.7355902360504543,1.0,corrigido
hist_gradient_boosting,quantil_0.85,4,102,219.38952739354295,219.6692347506603,-0.27970735711735983,0.5058370021645179,1.0,corrigido
hist_gradient_boosting,quantil_0.85,8,102,253.0510882953122,272.6266744147025,-19.575586119390294,0.6905494117612612,1.0,corrigido
hist_gradient_boosting,quantil_0.85,12,102,285.01658652401886,278.6535782807,6.363008243318859,0.2614579940203501,1.0,corrigido
hist_gradient_boosting,quantil_0.90,1,102,98.70613461868577,107.34653484310009,-8.640400224414321,0.8323145028399498,1.0,corrigido
hist_gradient_boosting,quantil_0.90,4,102,240.83680140512914,217.01281056296085,23.823990842168286,0.07941642888303779,1.0,corrigido
hist_gradient_boosting,quantil_0.90,8,102,249.9007946243557,283.240512367651,-33.33971774329527,0.7511991174362997,1.0,corrigido
hist_gradient_boosting,quantil_0.90,12,102,289.35814847467634,291.6081561581919,-2.2500076835155483,0.5590594639780166,1.0,corrigido
lightgbm,padrao,1,102,160.45215362724463,174.216467272857,-13.764313645612361,0.8850694350292897,1.0,corrigido
lightgbm,padrao,4,102,243.19337476142843,258.022325981686,-14.82895122025755,0.8345978387761609,1.0,corrigido
lightgbm,padrao,8,102,270.3504816958554,285.080421359439,-14.729939663583593,0.6672760460334091,1.0,corrigido
lightgbm,padrao,12,102,328.9210434160879,272.23859014713184,56.68245326895607,0.033673462824665275,1.0,corrigido
lightgbm,quantil_0.70,1,102,155.10487427245056,175.78246533727784,-20.677591064827283,0.9911633762686897,1.0,corrigido
lightgbm,quantil_0.70,4,102,230.59141688722775,231.04969869111005,-0.45828180388230066,0.515962865903853,1.0,corrigido
lightgbm,quantil_0.70,8,102,259.4095678421227,251.23571715895866,8.173850683164062,0.2892569613893875,1.0,corrigido
lightgbm,quantil_0.70,12,102,309.8949386887963,248.08411369305105,61.810824995745236,0.06899665688493323,1.0,corrigido
lightgbm,quantil_0.80,1,102,140.1714434922221,154.65416311899975,-14.482719626777651,0.9580869716412745,1.0,corrigido
lightgbm,quantil_0.80,4,102,215.38242438167197,205.07105533935575,10.311369042316215,0.31760033151604755,1.0,corrigido
lightgbm,quantil_0.80,8,102,248.99277908104932,238.14557806266123,10.847201018388091,0.339138871960703,1.0,corrigido
lightgbm,quantil_0.80,12,102,285.5526612359403,235.93125246127087,49.62140877466945,0.07510362117678904,1.0,corrigido
lightgbm,quantil_0.85,1,102,125.1804150321081,132.87165350818944,-7.691238476081338,0.8834332424224607,1.0,corrigido
lightgbm,quantil_0.85,4,102,214.4816355982043,203.05534566314225,11.426289935062044,0.31239243423259583,1.0,corrigido
lightgbm,quantil_0.85,8,102,237.81692226758847,231.46331994083437,6.3536023267541,0.4295323612896168,1.0,corrigido
lightgbm,quantil_0.85,12,102,292.4206712504838,246.9453155233589,45.47535572712491,0.02515637070475693,1.0,corrigido
lightgbm,quantil_0.90,1,102,111.71551686496962,133.86745857189987,-22.15194170693026,0.989792413823505,1.0,corrigido
lightgbm,quantil_0.90,4,102,223.57203931311946,204.94558103568588,18.626458277433585,0.172086546419815,1.0,corrigido
lightgbm,quantil_0.90,8,102,235.60650563443122,237.23847279495777,-1.6319671605265569,0.5171179933545262,1.0,corrigido
lightgbm,quantil_0.90,12,102,288.7025113464871,259.2876436494082,29.414867697078876,0.014431366481165001,0.8658819888699001,corrigido
