h,regime,n,MAE,R2,sensibilidade,n_treino_mediano
1,deslizante_2anos,102.0,107.51329009104407,0.8850984760116777,0.90625,104.0
1,deslizante_4anos,102.0,109.7061684125924,0.8861460565175613,1.0,208.0
1,expansivel_2020,102.0,104.25048401502005,0.8939540802776986,1.0,253.5
1,expansivel_total,102.0,97.98708193004315,0.8979137481774447,0.96875,347.5
4,deslizante_2anos,102.0,247.1247349164275,0.5482698453017841,0.9117647058823529,104.0
4,deslizante_4anos,102.0,209.36347935161857,0.6369041385514176,0.9705882352941176,208.0
4,expansivel_2020,102.0,209.34743617775325,0.6511150536315917,0.9705882352941176,247.5
4,expansivel_total,102.0,219.6692347506603,0.6284596054568903,0.9705882352941176,341.5
8,deslizante_2anos,102.0,263.08382353657686,0.4784547603035879,0.8421052631578947,104.0
8,deslizante_4anos,102.0,284.62238667007483,0.36521906187544195,0.8947368421052632,208.0
8,expansivel_2020,102.0,283.825033050598,0.38408132759410885,0.8421052631578947,239.5
8,expansivel_total,102.0,272.6266744147025,0.4502736906157241,0.8157894736842105,333.5
12,deslizante_2anos,102.0,284.0065082486615,0.414579748745056,0.8461538461538461,104.0
12,deslizante_4anos,102.0,287.1026522035336,0.39452177829760837,0.7435897435897436,208.0
12,expansivel_2020,102.0,286.0865730056016,0.3974831177525592,0.6410256410256411,231.5
12,expansivel_total,102.0,278.6535782807,0.4366457899801719,0.7692307692307693,325.5
