algoritmo,perda,conjunto,n_semanas,semanas_surto,episodios,sensibilidade,precisao,inicios_pegos,atraso_mediano,falsos_por_ano,captura_pico_antiga
lightgbm,quantil_0.85,M0_sem_vetor,109,39,2,1.0,0.8478260869565217,2/2,0.0,2.3333333333333335,0.7669834234214846
lightgbm,quantil_0.70,M0_sem_vetor,109,39,2,1.0,0.8478260869565217,2/2,0.0,2.3333333333333335,0.5885141645397508
gradient_boosting,quantil_0.70,M0_sem_vetor,109,39,2,0.9743589743589743,0.8636363636363636,1/2,0.5,2.0,0.6760994045466754
lightgbm,quantil_0.90,M0_sem_vetor,109,39,2,0.9743589743589743,0.8444444444444444,2/2,0.0,2.3333333333333335,0.8069497803924818
gradient_boosting,quantil_0.80,M0_sem_vetor,109,39,2,0.9743589743589743,0.926829268292683,1/2,0.5,1.0,0.7095959511702271
lightgbm,quantil_0.80,M0_sem_vetor,109,39,2,0.9743589743589743,0.8260869565217391,2/2,0.0,2.6666666666666665,0.6960621971391938
hist_gradient_boosting,quantil_0.85,M0_sem_vetor,109,39,2,0.9743589743589743,0.8636363636363636,1/2,0.5,2.0,0.7142283538266273
hist_gradient_boosting,quantil_0.80,M1_com_vetor,102,34,2,0.9705882352941176,0.9428571428571428,1/2,0.5,0.6666666666666666,0.6939473280241053
gradient_boosting,padrao,M1_com_vetor,102,34,2,0.9705882352941176,0.9166666666666666,1/2,0.5,1.0,0.5356743409818221
lightgbm,quantil_0.85,M1_com_vetor,102,34,2,0.9705882352941176,0.868421052631579,1/2,0.5,1.6666666666666667,0.7234919545294479
lightgbm,quantil_0.80,M1_com_vetor,102,34,2,0.9705882352941176,0.8918918918918919,1/2,0.5,1.3333333333333333,0.6269131161651498
hist_gradient_boosting,quantil_0.90,M1_com_vetor,102,34,2,0.9705882352941176,0.8461538461538461,1/2,0.5,2.0,0.7340418586621204
hist_gradient_boosting,quantil_0.85,M1_com_vetor,102,34,2,0.9705882352941176,0.9428571428571428,1/2,0.5,0.6666666666666666,0.7021006649004014
lightgbm,quantil_0.90,M1_com_vetor,102,34,2,0.9705882352941176,0.8048780487804879,1/2,0.5,2.6666666666666665,0.7758667200283025
hist_gradient_boosting,quantil_0.70,M1_com_vetor,102,34,2,0.9705882352941176,0.9166666666666666,1/2,0.5,1.0,0.6779591719918759
hist_gradient_boosting,padrao,M1_com_vetor,102,34,2,0.9705882352941176,0.9166666666666666,1/2,0.5,1.0,0.5027268476140645
gradient_boosting,quantil_0.90,M1_com_vetor,102,34,2,0.9705882352941176,0.8918918918918919,1/2,0.5,1.3333333333333333,0.7808475367814207
gradient_boosting,quantil_0.85,M1_com_vetor,102,34,2,0.9705882352941176,0.9166666666666666,1/2,0.5,1.0,0.7421638541716363
gradient_boosting,quantil_0.80,M1_com_vetor,102,34,2,0.9705882352941176,0.9166666666666666,1/2,0.5,1.0,0.6936498481462484
gradient_boosting,quantil_0.70,M1_com_vetor,102,34,2,0.9705882352941176,0.9428571428571428,1/2,0.5,0.6666666666666666,0.6483910180515925
hist_gradient_boosting,quantil_0.80,M0_sem_vetor,109,39,2,0.9487179487179487,0.8809523809523809,1/2,0.5,1.6666666666666667,0.720266192569043
hist_gradient_boosting,quantil_0.70,M0_sem_vetor,109,39,2,0.9487179487179487,0.8809523809523809,1/2,1.0,1.6666666666666667,0.6964418603234149
gradient_boosting,quantil_0.85,M0_sem_vetor,109,39,2,0.9487179487179487,0.8604651162790697,1/2,1.0,2.0,0.7790956703873101
lightgbm,padrao,M1_com_vetor,102,34,2,0.9411764705882353,0.8888888888888888,1/2,1.0,1.3333333333333333,0.466469740012664
lightgbm,quantil_0.70,M1_com_vetor,102,34,2,0.9411764705882353,0.8421052631578947,1/2,0.5,2.0,0.5362354792156157
hist_gradient_boosting,quantil_0.90,M0_sem_vetor,109,39,2,0.9230769230769231,0.7659574468085106,1/2,1.5,3.6666666666666665,0.7596347138804155
lightgbm,padrao,M0_sem_vetor,109,39,2,0.9230769230769231,0.9230769230769231,1/2,1.5,1.0,0.5479181919135991
gradient_boosting,quantil_0.90,M0_sem_vetor,109,39,2,0.9230769230769231,0.75,1/2,1.5,4.0,0.805376399409226
hist_gradient_boosting,padrao,M0_sem_vetor,109,39,2,0.8717948717948718,0.85,2/2,0.0,2.0,0.6367125982100434
gradient_boosting,padrao,M0_sem_vetor,109,39,2,0.8717948717948718,0.85,2/2,0.0,2.0,0.664181853322536
