braco,h,mae_referencia,mae_variante,reducao_percentual,r2_referencia,r2_variante,p_bruto,p_holm,semanas_pareadas
A+B_lags_anuais,1,96.50594154926425,89.39123251179196,7.372301563257,0.8792378522372476,0.9027787241680657,0.9499056860602577,1.0,99
A+B_lags_anuais,4,206.41659665811775,194.64948130589178,5.700663387893914,0.6552141813898942,0.6959618530970828,0.9055369219895882,1.0,99
A+B_lags_anuais,8,273.8432900041674,273.59895788420516,0.08922333644125623,0.4482065706037769,0.42471208216411926,0.22318174394045964,1.0,99
A+B_lags_anuais,12,283.4477895339251,292.804913511648,-3.3011807899821224,0.4313828802406344,0.39487717215479057,0.2258453734255571,1.0,99
A+C+D_clima_longo,1,97.98708193004315,98.81593094004224,-0.8458757967614932,0.8979137481774447,0.9006526129321226,0.7272094289569508,1.0,102
A+C+D_clima_longo,4,219.6692347506603,206.5755014273953,5.960658686742048,0.6284596054568903,0.6539377197169958,0.08229478233309578,1.0,102
A+C+D_clima_longo,8,272.6266744147025,294.9168366895379,-8.176075331839684,0.4502736906157241,0.34588247464611377,0.3422582357610714,1.0,102
A+C+D_clima_longo,12,278.8175469066808,292.4933208826882,-4.904918692432452,0.436638906080309,0.4041387293366525,0.17585357560720594,1.0,102
A+E_enso,1,97.98708193004315,99.86213241936834,-1.9135690668529783,0.8979137481774447,0.8944687281362484,0.7702171148255652,1.0,102
A+E_enso,4,219.6692347506603,217.39838119781558,1.0337603968176527,0.6284596054568903,0.6153735687973994,0.2224248960622499,1.0,102
A+E_enso,8,272.6266744147025,272.80055094053716,-0.06377825141576847,0.4502736906157241,0.4366242901574443,0.5921118588918215,1.0,102
A+E_enso,12,278.8175469066808,311.15169448529787,-11.59688403306956,0.436638906080309,0.26889858079561535,0.2641560535753621,1.0,102
A+TUDO,1,96.50594154926425,95.67460781957368,0.8614326914433468,0.8792378522372476,0.8861865886848399,0.3963597756266126,1.0,99
A+TUDO,4,206.41659665811775,209.40668172780764,-1.4485681471835719,0.6552141813898942,0.629574165405155,0.7800735540061332,1.0,99
A+TUDO,8,273.8432900041674,311.8169338404851,-13.866925070809593,0.4482065706037769,0.26767136869995156,0.0018940731605210292,0.030305170568336467,99
A+TUDO,12,283.4477895339251,320.1912614302284,-12.96304760630548,0.4313828802406344,0.277411593758771,0.027886273986925576,0.41829410980388365,99
