h,HistGB_M1,HistGB_M0,GradBoost_M1,GradBoost_M0,LightGBM_M1,LightGBM_M0,ganho_vetor_lgbm_pct
1,97.98708193004315,118.09064456206104,108.11407606779373,114.64207577413252,132.87165350818944,149.4007291567326,11.063584322405099
2,161.9592828472556,166.41359526792155,153.71209981705763,170.67366132726403,199.1478223527542,181.6678166010142,-9.621960608537636
3,185.21415968018596,212.05891551506062,170.88278596512896,212.30306531531926,205.81490498167813,215.75276329400972,4.606132575363182
4,219.6692347506603,227.39104667887062,205.89344788860663,238.62964521408122,203.06884837851945,219.753092088714,7.59226800934348
5,217.67416392029247,226.56184963962204,221.89317413644616,216.48985988962733,232.15864412050175,214.23436965100467,-8.366666141710292
6,262.69308401923695,237.12113033620102,260.81951763062955,232.0427118531493,225.2676887275664,227.59350838862915,1.021918277691506
7,249.7368031945706,231.74638052680243,259.1003601236177,237.0141261731796,231.26358764729898,236.50129152112748,2.214661848204159
8,272.6266744147025,242.61812063304143,262.66642269137355,237.8951882492052,231.9184468364128,226.25963888219752,-2.5010240368860304
9,284.1746747041617,247.35552456621355,273.7179374898677,243.57374574167122,217.55854563044323,236.89060248263272,8.160752959209
10,280.56058027664096,254.48780371401233,261.1670362927603,245.08588435800993,230.7762617295271,239.33454812521836,3.575867530505296
11,292.10881518624666,248.6427330338839,288.60367394089087,249.09385428815446,227.7980095335774,260.3769649001409,12.512226409528225
12,278.8175469066808,270.3032086515086,271.2548714366823,255.45486999305592,247.2255280005137,274.294341956479,9.868528006407145
