h,HistGB_M1,HistGB_M0,ganho_vetor_HistGB,GradBoost_M1,GradBoost_M0,ganho_vetor_GradBoost,LightGBM_M1,LightGBM_M0,ganho_vetor_LightGBM
1,97.98708193004315,91.98275281555958,-6.527668427714081,108.11407606779373,91.9305254670557,-17.604109754096402,132.87165350818944,125.1804150321081,-6.144122843903799
2,161.9592828472556,154.48042688767094,-4.841296797440126,153.71209981705763,155.34020176408833,1.0480879569754016,199.1478223527542,160.31852295579014,-24.220095520510576
3,185.21415968018596,197.8246551493066,6.374582308561579,170.88278596512896,195.12026702228926,12.421816260835458,205.81490498167813,209.08563492862586,1.5643016068819102
4,219.6692347506603,219.38952739354295,-0.12749348633019214,205.89344788860663,229.11023326341865,10.133456303594526,203.06884837851945,214.4972658328937,5.328001459597942
5,217.67416392029247,225.60642451907063,3.515972834411743,221.89317413644616,213.24824041984024,-4.053929682883147,232.15864412050175,207.28105518043267,-12.001863324370763
6,262.69308401923695,238.491899785986,-10.147591702262519,260.81951763062955,231.98840893494594,-12.42782293651939,225.2676887275664,222.09492115521957,-1.4285637671693616
7,249.7368031945706,236.40495034908977,-5.639413568029862,259.1003601236177,238.43740048634547,-8.665989310035078,231.26358764729898,239.1323583371398,3.2905503648933507
8,272.6266744147025,253.0510882953122,-7.735823722894036,262.66642269137355,247.006688788105,-6.3398015576421365,231.9184468364128,237.85335877838253,2.4951978700033877
9,284.1746747041617,259.8547364192163,-9.35905137619302,273.7179374898677,255.51994655595553,-7.121945342895989,217.55854563044323,250.1034641039583,13.012582048838555
10,280.56058027664096,270.0696847325689,-3.884514307653778,261.1670362927603,259.0479008332514,-0.8180477250317533,230.7762617295271,253.23454174987725,8.86856898160933
11,292.10881518624666,263.78273355613146,-10.738413863653273,288.60367394089087,263.5153148675197,-9.52064554046286,227.7980095335774,277.2465746514946,17.835591000565177
12,278.8175469066808,285.01658652401886,2.174975040203733,271.2548714366823,271.8742988948593,0.22783597445395903,247.2255280005137,292.4206712504838,15.455522708672165
