configuracao,mae_calibracao
lr0.03_it400_folhas15_min5,41.66234279498096
lr0.03_it400_folhas31_min5,41.71705807239515
lr0.05_it250_folhas31_min5,41.89971507318751
lr0.05_it250_folhas15_min5,42.022260264866006
lr0.03_it400_folhas7_min5,42.62777834716583
lr0.05_it250_folhas7_min5,42.772447144617395
lr0.1_it150_folhas31_min5,42.8997849063165
lr0.1_it150_folhas15_min5,43.0002079750676
lr0.1_it150_folhas7_min5,44.031300196440256
lr0.1_it150_folhas15_min20,54.68074011989953
lr0.1_it150_folhas31_min20,54.68074011989953
lr0.1_it150_folhas7_min20,54.99705548501486
lr0.05_it250_folhas31_min20,55.45463806717553
lr0.05_it250_folhas15_min20,55.45463806717553
lr0.03_it400_folhas7_min20,55.48784699635549
lr0.03_it400_folhas15_min20,55.49033567356831
lr0.03_it400_folhas31_min20,55.49033567356831
lr0.05_it250_folhas7_min20,55.688854513272425
