data,precipitacao_mm,ponto_orvalho,temperatura_media,temperatura_minima,temperatura_maxima,umidade_relativa,pressao_kpa,radiacao_solar,vento_10m
2018-12-30,0.24,22.87,27.27,20.68,32.74,78.66,100.29,25.54,2.33
2018-12-31,0.14,23.5,26.62,23.52,30.3,83.69,100.63,21.14,3.73
2019-01-01,0.0,23.31,27.44,22.83,32.69,79.75,100.72,28.12,2.86
2019-01-02,5.41,24.47,29.37,22.89,35.91,76.92,100.4,27.32,2.56
2019-01-03,13.13,22.37,24.88,20.32,28.06,86.06,100.35,9.36,4.67
2019-01-04,1.74,17.91,22.66,18.85,27.58,75.56,100.92,14.75,3.64
2019-01-05,0.06,18.67,22.7,18.14,27.35,78.75,100.93,19.63,4.96
2019-01-06,1.92,21.49,25.44,21.15,30.4,79.57,100.53,28.11,3.32
2019-01-07,5.03,24.14,26.89,23.7,32.27,85.55,100.04,13.48,4.99
2019-01-08,3.43,23.15,26.03,23.59,30.57,84.74,100.75,23.47,3.75
2019-01-09,1.01,23.45,26.7,23.53,30.73,82.95,100.53,13.38,3.25
2019-01-10,4.33,23.43,26.15,22.87,30.86,85.78,100.59,12.12,3.41
2019-01-11,0.72,21.09,24.08,21.72,27.72,83.85,101.16,10.08,3.17
2019-01-12,0.9,21.42,24.03,21.29,27.65,85.84,101.15,10.61,4.69
2019-01-13,5.62,22.77,26.14,21.46,31.16,83.05,100.89,26.1,2.19
2019-01-14,1.74,23.87,27.39,23.26,31.3,82.09,100.71,21.98,2.02
2019-01-15,18.8,24.02,27.52,24.14,31.31,82.22,100.6,21.45,2.14
2019-01-16,5.1,24.66,26.74,24.52,29.47,88.56,100.48,20.75,4.48
2019-01-17,10.78,22.93,24.66,21.94,27.18,90.33,100.84,10.39,3.83
2019-01-18,11.93,22.89,24.92,21.49,28.77,88.79,100.63,9.35,5.54
2019-01-19,6.62,18.46,20.98,18.63,22.82,85.84,101.01,13.56,6.42
2019-01-20,0.91,18.95,21.84,18.38,25.69,84.26,101.13,23.62,4.55
2019-01-21,0.34,20.61,23.76,20.02,28.54,83.64,100.93,21.13,2.72
2019-01-22,0.0,21.12,24.79,18.82,30.68,81.69,100.99,30.15,2.45
2019-01-23,0.7,22.67,25.55,21.33,30.73,85.17,100.88,19.28,2.17
2019-01-24,1.92,22.92,25.73,22.28,29.42,85.23,101.06,23.04,5.74
2019-01-25,0.14,21.34,25.21,20.54,29.96,80.48,101.04,30.03,5.4
2019-01-26,0.01,22.39,26.78,21.78,32.16,78.52,100.91,29.06,3.51
2019-01-27,0.0,22.61,27.53,21.96,33.15,76.62,100.86,29.06,2.78
2019-01-28,0.0,23.13,29.06,23.05,34.64,72.81,100.86,28.9,3.36
