data_inicio_semana_epidemi,precip_total_mm,precip_max_dia_mm,precip_media_dia_mm,dias_de_chuva,temp_media,temp_min,temp_max,temp_amplitude_media,orvalho_min,orvalho_media,orvalho_max,umid_min,umid_media,umid_max,pressao_min,pressao_media,pressao_max,radiacao_min,radiacao_media,radiacao_max,vento_media,vento_max
2012-09-23,1.58,0.63,0.22571428571428573,0,14.565714285714284,6.26,26.6,11.274285714285712,6.53,9.971428571428572,14.44,70.49,75.74142857142859,81.23,100.91,101.92999999999999,102.54,5.54,17.422857142857143,24.53,4.43,5.89
2012-09-30,47.71,19.54,6.815714285714286,5,20.72714285714286,12.93,30.98,9.438571428571432,15.6,18.422857142857143,20.93,80.72,87.5,92.78,100.62,100.89857142857143,101.27,3.92,12.661428571428571,22.32,2.7728571428571427,3.5
2012-10-07,25.429999999999996,17.72,3.632857142857142,5,20.29571428571429,11.36,29.67,8.545714285714283,11.83,16.69142857142857,21.94,72.31,80.77285714285715,87.63,100.43,101.27857142857142,102.03,3.85,13.324285714285717,24.9,4.17,6.12
2012-10-14,1.54,1.42,0.22,1,19.172857142857143,11.26,28.41,11.535714285714285,12.91,14.900000000000002,18.1,74.36,77.95285714285714,81.85,100.34,100.82857142857142,101.52,17.29,22.717142857142854,27.74,3.805714285714285,5.72
2012-10-21,32.67,19.19,4.667142857142857,2,21.148571428571433,12.92,29.67,10.472857142857144,12.49,17.162857142857142,20.78,70.31,79.38000000000001,90.95,99.55,100.47714285714287,101.09,2.64,21.094285714285718,27.71,3.7271428571428578,7.78
2012-10-28,16.89,15.51,2.412857142857143,2,21.087142857142858,12.92,31.88,10.027142857142856,14.88,17.732857142857142,22.01,78.32,82.20285714285714,88.28,100.11,100.73714285714286,101.01,7.95,19.01142857142857,29.7,3.2085714285714286,4.91
2012-11-04,0.35,0.32,0.049999999999999996,0,23.217142857142857,13.18,32.49,12.995714285714286,15.84,18.128571428571426,20.63,72.4,75.43714285714285,80.38,100.26,100.66,100.92,21.57,27.06714285714286,29.52,2.762857142857143,3.08
2012-11-11,10.440000000000001,5.21,1.4914285714285715,3,20.46,14.21,29.71,10.24,13.35,15.704285714285714,19.88,72.09,75.9857142857143,81.56,100.67,101.16142857142857,101.45,11.14,22.110000000000003,30.92,4.9399999999999995,5.35
2012-11-18,35.36,17.81,5.051428571428572,4,23.354285714285716,15.65,33.16,12.02428571428571,15.95,17.82857142857143,21.72,68.99,73.66857142857143,85.69,100.24,100.72,101.07,13.32,24.834285714285716,29.62,3.585714285714286,5.02
2012-11-25,8.92,7.88,1.2742857142857142,1,22.851428571428574,13.69,32.39,12.482857142857142,13.19,16.38142857142857,19.22,62.37,70.03142857142858,75.15,100.29,100.80285714285712,101.32,8.75,24.342857142857145,31.96,3.6557142857142857,5.75
