ano,mes,nino34_anom,oni
2018,1,-0.98,-0.77
2018,2,-0.78,-0.71
2018,3,-0.8,-0.57
2018,4,-0.51,-0.39
2018,5,-0.2,-0.13
2018,6,0.04,0.06
2018,7,0.12,0.14
2018,8,0.09,0.27
2018,9,0.47,0.53
2018,10,0.9,0.81
2018,11,0.9,0.97
2018,12,0.89,0.92
2019,1,0.65,0.89
2019,2,0.71,0.86
2019,3,0.81,0.84
2019,4,0.62,0.77
2019,5,0.55,0.64
2019,6,0.45,0.52
2019,7,0.35,0.33
2019,8,0.04,0.19
2019,9,0.03,0.23
2019,10,0.48,0.39
2019,11,0.52,0.58
2019,12,0.52,0.66
2020,1,0.6,0.64
2020,2,0.37,0.63
2020,3,0.48,0.53
2020,4,0.36,0.3
2020,5,-0.27,0.01
2020,6,-0.34,-0.23
2020,7,-0.3,-0.36
2020,8,-0.59,-0.53
2020,9,-0.83,-0.85
2020,10,-1.26,-1.12
2020,11,-1.42,-1.2
2020,12,-1.15,-1.08
2021,1,-1.0,-0.91
2021,2,-1.0,-0.79
2021,3,-0.8,-0.71
2021,4,-0.72,-0.55
2021,5,-0.46,-0.39
2021,6,-0.28,-0.3
2021,7,-0.39,-0.35
2021,8,-0.53,-0.45
2021,9,-0.55,-0.63
2021,10,-0.94,-0.76
2021,11,-0.94,-0.91
2021,12,-1.06,-0.87
2022,1,-0.94,-0.82
2022,2,-0.89,-0.79
2022,3,-0.97,-0.86
2022,4,-1.11,-0.95
2022,5,-1.11,-0.9
2022,6,-0.75,-0.78
2022,7,-0.69,-0.76
2022,8,-0.97,-0.87
2022,9,-1.07,-0.97
2022,10,-0.99,-0.94
2022,11,-0.9,-0.85
2022,12,-0.85,-0.71
2023,1,-0.72,-0.54
2023,2,-0.46,-0.29
2023,3,-0.11,-0.02
2023,4,0.14,0.27
2023,5,0.46,0.57
2023,6,0.84,0.84
2023,7,1.02,1.12
2023,8,1.35,1.37
2023,9,1.6,1.6
2023,10,1.72,1.83
2023,11,2.02,1.99
2023,12,2.03,2.06
2024,1,1.81,1.92
2024,2,1.52,1.62
2024,3,1.13,1.26
2024,4,0.77,0.82
2024,5,0.23,0.49
2024,6,0.17,0.22
2024,7,0.04,0.08
2024,8,-0.12,-0.07
2024,9,-0.26,-0.17
2024,10,-0.27,-0.21
2024,11,-0.25,-0.3
2024,12,-0.6,-0.42
2025,1,-0.74,-0.45
2025,2,-0.43,-0.24
2025,3,0.01,-0.06
2025,4,-0.14,0.02
2025,5,-0.13,-0.02
2025,6,-0.07,-0.04
2025,7,-0.14,-0.14
2025,8,-0.36,-0.28
2025,9,-0.47,-0.4
2025,10,-0.5,-0.51
2025,11,-0.7,-0.55
2025,12,-0.67,-0.54
2026,1,-0.58,-0.37
2026,2,-0.27,-0.14
2026,3,-0.01,0.13
2026,4,0.29,0.48
2026,5,0.82,
