data,nome,tipo,ano,eh_carnaval
2019-01-01,Confraternização mundial,national,2019,False
2019-03-05,Carnaval,national,2019,True
2019-04-19,Sexta-feira Santa,national,2019,False
2019-04-21,Páscoa,national,2019,False
2019-04-21,Tiradentes,national,2019,False
2019-05-01,Dia do trabalho,national,2019,False
2019-06-20,Corpus Christi,national,2019,False
2019-09-07,Independência do Brasil,national,2019,False
2019-10-12,Nossa Senhora Aparecida,national,2019,False
2019-11-02,Finados,national,2019,False
2019-11-15,Proclamação da República,national,2019,False
2019-12-25,Natal,national,2019,False
2020-01-01,Confraternização mundial,national,2020,False
2020-02-25,Carnaval,national,2020,True
2020-04-10,Sexta-feira Santa,national,2020,False
2020-04-12,Páscoa,national,2020,False
2020-04-21,Tiradentes,national,2020,False
2020-05-01,Dia do trabalho,national,2020,False
2020-06-11,Corpus Christi,national,2020,False
2020-09-07,Independência do Brasil,national,2020,False
2020-10-12,Nossa Senhora Aparecida,national,2020,False
2020-11-02,Finados,national,2020,False
2020-11-15,Proclamação da República,national,2020,False
2020-12-25,Natal,national,2020,False
2021-01-01,Confraternização mundial,national,2021,False
2021-02-16,Carnaval,national,2021,True
2021-04-02,Sexta-feira Santa,national,2021,False
2021-04-04,Páscoa,national,2021,False
2021-04-21,Tiradentes,national,2021,False
2021-05-01,Dia do trabalho,national,2021,False
2021-06-03,Corpus Christi,national,2021,False
2021-09-07,Independência do Brasil,national,2021,False
2021-10-12,Nossa Senhora Aparecida,national,2021,False
2021-11-02,Finados,national,2021,False
2021-11-15,Proclamação da República,national,2021,False
2021-12-25,Natal,national,2021,False
2022-01-01,Confraternização mundial,national,2022,False
2022-03-01,Carnaval,national,2022,True
2022-04-15,Sexta-feira Santa,national,2022,False
2022-04-17,Páscoa,national,2022,False
2022-04-21,Tiradentes,national,2022,False
2022-05-01,Dia do trabalho,national,2022,False
2022-06-16,Corpus Christi,national,2022,False
2022-09-07,Independência do Brasil,national,2022,False
2022-10-12,Nossa Senhora Aparecida,national,2022,False
2022-11-02,Finados,national,2022,False
2022-11-15,Proclamação da República,national,2022,False
2022-12-25,Natal,national,2022,False
2023-01-01,Confraternização mundial,national,2023,False
2023-02-21,Carnaval,national,2023,True
2023-04-07,Sexta-feira Santa,national,2023,False
2023-04-09,Páscoa,national,2023,False
2023-04-21,Tiradentes,national,2023,False
2023-05-01,Dia do trabalho,national,2023,False
2023-06-08,Corpus Christi,national,2023,False
2023-09-07,Independência do Brasil,national,2023,False
2023-10-12,Nossa Senhora Aparecida,national,2023,False
2023-11-02,Finados,national,2023,False
2023-11-15,Proclamação da República,national,2023,False
2023-12-25,Natal,national,2023,False
2024-01-01,Confraternização mundial,national,2024,False
2024-02-13,Carnaval,national,2024,True
2024-03-29,Sexta-feira Santa,national,2024,False
2024-03-31,Páscoa,national,2024,False
2024-04-21,Tiradentes,national,2024,False
2024-05-01,Dia do trabalho,national,2024,False
2024-05-30,Corpus Christi,national,2024,False
2024-09-07,Independência do Brasil,national,2024,False
2024-10-12,Nossa Senhora Aparecida,national,2024,False
2024-11-02,Finados,national,2024,False
2024-11-15,Proclamação da República,national,2024,False
2024-11-20,Dia da consciência negra,national,2024,False
2024-12-25,Natal,national,2024,False
2025-01-01,Confraternização mundial,national,2025,False
2025-03-04,Carnaval,national,2025,True
2025-04-18,Sexta-feira Santa,national,2025,False
2025-04-20,Páscoa,national,2025,False
2025-04-21,Tiradentes,national,2025,False
2025-05-01,Dia do trabalho,national,2025,False
2025-06-19,Corpus Christi,national,2025,False
2025-09-07,Independência do Brasil,national,2025,False
2025-10-12,Nossa Senhora Aparecida,national,2025,False
2025-11-02,Finados,national,2025,False
2025-11-15,Proclamação da República,national,2025,False
2025-11-20,Dia da consciência negra,national,2025,False
2025-12-25,Natal,national,2025,False
2026-01-01,Confraternização mundial,national,2026,False
2026-02-17,Carnaval,national,2026,True
2026-04-03,Sexta-feira Santa,national,2026,False
2026-04-05,Páscoa,national,2026,False
2026-04-21,Tiradentes,national,2026,False
2026-05-01,Dia do trabalho,national,2026,False
2026-06-04,Corpus Christi,national,2026,False
2026-09-07,Independência do Brasil,national,2026,False
2026-10-12,Nossa Senhora Aparecida,national,2026,False
2026-11-02,Finados,national,2026,False
2026-11-15,Proclamação da República,national,2026,False
2026-11-20,Dia da consciência negra,national,2026,False
2026-12-25,Natal,national,2026,False
