Ano,Semana,Data Inicio,Data Fim,Mes,Aedes aegypti,Aedes albopictus,Culex sp,Mes_editado
2019,1,2018-12-30,2019-01-05,12,55,1,128,DEZ1
2019,2,2019-01-06,2019-01-12,1,57,10,180,JAN1
2019,3,2019-01-13,2019-01-19,1,455,46,628,JAN2
2019,4,2019-01-20,2019-01-26,1,371,29,549,JAN3
2019,5,2019-01-27,2019-02-02,1,438,47,704,JAN4
2019,6,2019-02-03,2019-02-09,2,443,41,587,FEV1
2019,7,2019-02-10,2019-02-16,2,406,41,567,FEV2
2019,8,2019-02-17,2019-02-23,2,526,32,568,FEV3
2019,9,2019-02-24,2019-03-02,2,448,30,600,FEV4
2019,10,2019-03-03,2019-03-09,3,543,45,318,MAR1
2019,11,2019-03-10,2019-03-16,3,429,34,309,MAR2
2019,12,2019-03-17,2019-03-23,3,657,45,325,MAR3
2019,13,2019-03-24,2019-03-30,3,608,120,381,MAR4
2019,14,2019-03-31,2019-04-06,3,616,51,402,MAR5
2019,15,2019-04-07,2019-04-13,4,575,41,339,ABR1
2019,16,2019-04-14,2019-04-20,4,447,33,411,ABR2
2019,17,2019-04-21,2019-04-27,4,506,46,374,ABR3
2019,18,2019-04-28,2019-05-04,4,529,32,483,ABR4
2019,19,2019-05-05,2019-05-11,5,538,32,348,MAI1
2019,20,2019-05-12,2019-05-18,5,440,42,357,MAI2
2019,21,2019-05-19,2019-05-25,5,615,32,402,MAI3
2019,22,2019-05-26,2019-06-01,5,356,16,308,MAI4
2019,23,2019-06-02,2019-06-08,6,327,29,325,JUN1
2019,24,2019-06-09,2019-06-15,6,343,23,564,JUN2
2019,25,2019-06-16,2019-06-22,6,455,26,466,JUN3
2019,26,2019-06-23,2019-06-29,6,362,36,459,JUN4
2019,27,2019-06-30,2019-07-06,6,156,7,293,JUN5
2019,28,2019-07-07,2019-07-13,7,48,2,331,JUL1
2019,29,2019-07-14,2019-07-20,7,61,4,268,JUL2
2019,30,2019-07-21,2019-07-27,7,19,2,181,JUL3
2019,31,2019-07-28,2019-08-03,7,22,44,159,JUL4
2019,32,2019-08-04,2019-08-10,8,13,0,170,AGO1
2019,33,2019-08-11,2019-08-17,8,13,1,128,AGO2
2019,34,2019-08-18,2019-08-24,8,9,0,190,AGO3
2019,35,2019-08-25,2019-08-31,8,20,0,117,AGO4
2019,36,2019-09-01,2019-09-07,9,20,10,117,SET1
2019,37,2019-09-08,2019-09-14,9,4,2,101,SET2
2019,38,2019-09-15,2019-09-21,9,7,1,94,SET3
2019,39,2019-09-22,2019-09-28,9,18,3,171,SET4
2019,40,2019-09-29,2019-10-05,9,33,2,193,SET5
2019,41,2019-10-06,2019-10-12,10,29,6,202,OUT1
2019,42,2019-10-13,2019-10-19,10,43,6,311,OUT2
2019,43,2019-10-20,2019-10-26,10,35,4,291,OUT3
2019,44,2019-10-27,2019-11-02,10,40,6,272,OUT4
2019,45,2019-11-03,2019-11-09,11,102,8,273,NOV1
2019,46,2019-11-10,2019-11-16,11,80,14,371,NOV2
2019,47,2019-11-17,2019-11-23,11,149,20,293,NOV3
2019,48,2019-11-24,2019-11-30,11,254,21,423,NOV4
2019,49,2019-12-01,2019-12-07,12,198,15,417,DEZ2
2019,50,2019-12-08,2019-12-14,12,235,21,394,DEZ3
2019,51,2019-12-15,2019-12-21,12,222,18,425,DEZ4
2019,52,2019-12-22,2019-12-28,12,244,20,577,DEZ5
2020,1,2019-12-29,2020-01-04,12,229,22,467,DEZ1
2020,2,2020-01-05,2020-01-11,1,323,18,495,JAN1
2020,3,2020-01-12,2020-01-18,1,310,11,622,JAN2
2020,4,2020-01-19,2020-01-25,1,359,20,536,JAN3
2020,5,2020-01-26,2020-02-01,1,431,26,522,JAN4
2020,6,2020-02-02,2020-02-08,2,452,27,716,FEV1
2020,7,2020-02-09,2020-02-15,2,437,35,610,FEV2
2020,8,2020-02-16,2020-02-22,2,488,29,554,FEV3
2020,9,2020-02-23,2020-02-29,2,363,20,316,FEV4
2020,10,2020-03-01,2020-03-07,3,357,19,419,MAR1
2020,11,2020-03-08,2020-03-14,3,470,22,355,MAR2
2020,12,2020-03-15,2020-03-21,3,467,19,174,MAR3
2020,13,2020-03-22,2020-03-28,3,302,25,131,MAR4
2020,14,2020-03-29,2020-04-04,3,316,9,123,MAR5
2020,15,2020-04-05,2020-04-11,4,300,16,212,ABR1
2020,16,2020-04-12,2020-04-18,4,233,8,202,ABR2
2020,17,2020-04-19,2020-04-25,4,235,9,198,ABR3
2020,18,2020-04-26,2020-05-02,4,303,17,202,ABR4
2020,19,2020-05-03,2020-05-09,5,318,8,242,MAI1
2020,20,2020-05-10,2020-05-16,5,191,13,260,MAI2
2020,21,2020-05-17,2020-05-23,5,154,10,244,MAI3
2020,22,2020-05-24,2020-05-30,5,87,7,182,MAI4
2020,23,2020-05-31,2020-06-06,5,93,10,140,MAI5
2020,24,2020-06-07,2020-06-13,6,39,3,113,JUN1
2020,25,2020-06-14,2020-06-20,6,50,0,102,JUN2
2020,26,2020-06-21,2020-06-27,6,107,5,147,JUN3
