ID;Local;Ano;Semana;Data Inicio;Data Fim;Latitude;Longitude;Aedes aegypti;Aedes albopictus;Culex sp;Precipitation;Temperature;Relative humidity;Mes
993577;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.103;-51.247;0;0;0;;;;12
993578;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.103;-51.250;0;0;0;;;;12
993579;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.105;-51.247;0;0;0;;;;12
993580;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.105;-51.250;0;0;0;;;;12
993581;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.105;-51.259;0;0;0;;;;12
993582;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.104;-51.257;0;0;0;;;;12
993583;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.106;-51.253;0;0;0;;;;12
993584;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.102;-51.262;0;0;0;;;;12
993585;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.105;-51.255;0;0;0;;;;12
993586;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.102;-51.260;0;0;0;;;;12
993587;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.103;-51.259;1;0;0;;;;12
993588;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.107;-51.258;0;0;0;;;;12
993589;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.103;-51.263;0;0;0;;;;12
993590;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.107;-51.254;0;0;0;;;;12
993591;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.104;-51.260;0;0;0;;;;12
993592;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.107;-51.247;0;0;0;;;;12
993593;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.097;-51.255;0;0;0;;;;12
993594;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.107;-51.249;0;0;0;;;;12
993595;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.098;-51.252;0;0;0;;;;12
993596;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.109;-51.252;2;0;0;;;;12
993597;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.099;-51.253;0;0;0;;;;12
993598;TRISTEZA;2020;1;2019-12-29;2020-01-04;-30.110;-51.256;0;0;0;;;;12
