data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2026-05-31,202622,0.0,0,0,0,0.0,0.0,0,1,431490220262220613,2026-06-09,Porto Alegre,,0.0,1404269,,,0,0,0,,,,,0,,,,,528
2026-05-24,202621,0.0,0,0,0,0.0,0.0,0,1,431490220262120613,2026-06-09,Porto Alegre,,0.0,1404269,,,0,0,0,,,,,0,,,,,528
2026-05-17,202620,0.0,0,0,0,0.0,0.0,0,1,431490220262020613,2026-06-09,Porto Alegre,,0.0,1404269,,,0,0,0,,,,,0,,,,,528
2026-05-10,202619,0.0,0,0,0,0.0,0.0,0,1,431490220261920613,2026-06-09,Porto Alegre,,0.0,1404269,,,0,0,0,,,,,0,,,,,528
2026-05-03,202618,0.0,0,0,0,0.0,0.0,0,1,431490220261820613,2026-06-09,Porto Alegre,,0.0,1404269,19.3821142857143,72.3871714285714,0,0,0,72.3871714285714,72.3871714285714,19.3821142857143,19.3821142857143,0,,,,,528
2026-04-26,202617,0.0,0,0,0,0.0,0.0,0,1,431490220261720613,2026-06-09,Porto Alegre,,0.0,1404269,16.6857857142857,79.4446571428571,0,0,0,79.4446571428571,79.4446571428571,16.6857857142857,16.6857857142857,0,,,,,528
2026-04-19,202616,0.0,0,0,0,0.0,0.0,0,1,431490220261620613,2026-06-09,Porto Alegre,,0.0,1404269,18.4430142857143,95.4566,0,0,0,84.1744428571429,66.9813285714286,21.0809428571429,24.5349142857143,0,,,,,528
2026-04-12,202615,2.0,2,2,2,0.9779825,0.14242285,0,1,431490220261520613,2026-06-09,Porto Alegre,,18.521618,1404269,19.6348285714286,89.9323571428571,1,0,0,76.7399714285714,58.8194714285714,22.7380714285714,26.4716428571429,2,,,,,528
2026-04-05,202614,0.0,0,0,0,0.0,0.0,0,1,431490220261420613,2026-06-09,Porto Alegre,,0.0,1404269,18.6961285714286,88.2132571428571,0,0,0,73.8515714285714,56.5809714285714,21.5012571428571,25.2865428571429,0,,,,,528
2026-03-29,202613,0.0,0,0,0,0.0,0.0,0,1,431490220261320613,2026-06-09,Porto Alegre,,0.0,1404269,21.7108,96.9462428571429,0,0,0,80.2792857142857,58.3795857142857,25.0102142857143,29.3224714285714,0,,,,,528
2026-03-22,202612,0.0,0,0,0,0.0,0.0,0,1,431490220261220613,2026-06-09,Porto Alegre,,0.0,1404269,22.2087714285714,95.3233428571429,0,0,0,84.2047,68.7558714285714,24.7941285714286,28.1911142857143,0,,,,,528
2026-03-15,202611,0.0,0,0,0,0.0,0.0,0,1,431490220261120613,2026-06-09,Porto Alegre,,0.0,1404269,21.6791714285714,95.2866714285714,0,0,0,79.4790285714286,57.1029571428571,25.2012428571429,30.1784428571429,0,,,,,528
2026-03-08,202610,0.0,0,0,0,0.0,0.0,0,1,431490220261020613,2026-06-09,Porto Alegre,,0.0,1404269,19.7376,88.5842714285714,0,0,0,76.3470142857143,59.8089,22.4673142857143,26.1854,0,,,,,528
2026-03-01,202609,0.0,0,0,0,0.0,0.0,0,1,431490220260920613,2026-06-09,Porto Alegre,,0.0,1404269,20.5332285714286,86.9817285714286,0,0,0,70.8336714285714,52.2113857142857,24.4834142857143,29.7897142857143,0,,,,,528
