h,data,real,pred,naive
1,2021-01-24,0.0,0.4281664951396348,0.0
1,2021-01-31,0.0,-1.618273006753559,0.0
1,2021-02-07,0.0,14.193370318994312,0.0
1,2021-02-14,2.0,5.79732660035646,0.0
1,2021-02-21,0.0,7.509651156394402,2.0
1,2021-02-28,1.0,3.0811575443166563,0.0
1,2021-03-07,0.0,2.551750012797306,1.0
1,2021-03-14,1.0,1.0967364577116905,0.0
1,2021-03-21,1.0,1.7523288652200821,1.0
1,2021-03-28,9.0,1.8570916343617998,1.0
1,2021-04-04,12.0,9.63639155971303,9.0
1,2021-04-11,12.0,14.542349028743844,12.0
1,2021-04-18,8.0,14.17015670117498,12.0
1,2021-04-25,7.0,8.250278491772686,8.0
1,2021-05-02,9.0,5.32916823672337,7.0
1,2021-05-09,5.0,8.270334204385277,9.0
1,2021-05-16,0.0,6.338497125310883,5.0
1,2021-05-23,1.0,-1.163022904454686,0.0
1,2021-05-30,1.0,1.601673345326695,1.0
1,2021-06-06,0.0,0.9942179542284701,1.0
1,2021-06-13,0.0,0.23533459156449074,0.0
1,2021-06-20,0.0,0.530371064264729,0.0
1,2021-06-27,1.0,-0.11643371809425782,0.0
1,2021-07-04,0.0,0.6325472212311627,1.0
1,2021-07-11,1.0,-0.1449703202594638,0.0
1,2021-07-18,0.0,0.3173961726704975,1.0
1,2021-07-25,0.0,0.6637975405833249,0.0
1,2021-08-01,0.0,0.36698920105752997,0.0
1,2021-08-08,0.0,0.5827475245496306,0.0
1,2021-08-15,0.0,1.281391960331463,0.0
1,2021-08-22,0.0,0.04992236027082465,0.0
1,2021-08-29,0.0,0.08514460617765064,0.0
1,2021-09-05,0.0,-0.3814856235063929,0.0
1,2021-09-12,0.0,-0.012461689259548199,0.0
1,2021-09-19,0.0,0.29448403520149685,0.0
1,2021-09-26,0.0,-0.05421052079056739,0.0
1,2021-10-03,0.0,0.012983800355516524,0.0
1,2021-10-10,0.0,-0.037856482032103,0.0
1,2021-10-17,0.0,0.008501190961169476,0.0
1,2021-10-24,0.0,0.13463025298875958,0.0
1,2021-10-31,0.0,0.043001925597696194,0.0
1,2021-11-07,0.0,0.38074180387228546,0.0
1,2021-11-14,0.0,0.02164289707439402,0.0
1,2021-11-21,0.0,-0.02340752161402189,0.0
1,2021-11-28,1.0,0.0957996562994965,0.0
1,2021-12-05,0.0,1.2313204825495272,1.0
1,2021-12-12,0.0,1.2555326944440528,0.0
1,2021-12-19,0.0,1.2963736147049496,0.0
1,2021-12-26,1.0,4.82858240772031,0.0
1,2022-01-02,0.0,1.6504393832423032,1.0
1,2022-01-09,2.0,1.5492925247104883,0.0
1,2022-01-16,0.0,1.4921845343621631,2.0
1,2022-01-23,1.0,1.2196634818335477,0.0
1,2022-01-30,2.0,0.384285677696453,1.0
1,2022-02-06,9.0,2.211071533268788,2.0
1,2022-02-13,20.0,14.490116743206741,9.0
1,2022-02-20,51.0,22.348658117464016,20.0
1,2022-02-27,203.0,56.39783564393126,51.0
1,2022-03-06,269.0,91.58054554126377,203.0
1,2022-03-13,463.0,116.43986113400727,269.0
1,2022-03-20,482.0,268.44242556288606,463.0
1,2022-03-27,524.0,369.3984857264602,482.0
1,2022-04-03,753.0,470.2735633886469,524.0
1,2022-04-10,879.0,614.9633349602751,753.0
1,2022-04-17,569.0,641.2504331444635,879.0
1,2022-04-24,344.0,564.0517996428371,569.0
1,2022-05-01,223.0,432.19658930827427,344.0
1,2022-05-08,313.0,314.7630119642598,223.0
1,2022-05-15,122.0,346.4250219411876,313.0
1,2022-05-22,92.0,73.24535022020349,122.0
1,2022-05-29,61.0,94.68817848374968,92.0
