data_ini_se,SE,ano,semana_epi,casos,casos_est,casconf,p_inc100k,nivel,Rt,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,receptivo,transmissao,vetor_fonte,n_armadilhas,aegypti_total,aegypti_femea,aegypti_por_armadilha,imfa_femea,sem_sin,sem_cos,bloco
2010-01-03,201001,2010,1,1,1.0,,0.06719292,1,0.0,22.0,26.150376,29.5714285714286,67.2857142857143,82.9047608571429,99.1428571428571,1,0,,,,,,,0.12053668025532305,0.992708874098054,0
2010-01-10,201002,2010,2,2,2.0,,0.13438584,1,0.0,20.5714285714286,25.7464497142857,30.1428571428571,57.0,76.7167931428571,100.0,1,0,,,,,,,0.23931566428755774,0.970941817426052,0
2010-01-17,201003,2010,3,2,2.0,,0.13438584,2,0.0,20.0,25.285714,29.1428571428571,63.7142857142857,81.7744371428571,100.0,1,0,,,,,,,0.3546048870425356,0.9350162426854148,0
2010-01-24,201004,2010,4,2,2.0,,0.13438584,2,0.0,21.8571428571429,26.3086881428571,30.5714285714286,63.5714285714286,84.1875521428571,100.0,1,0,,,,,,,0.4647231720437685,0.8854560256532099,0
2010-01-31,201005,2010,5,1,1.0,,0.06719292,2,0.0,23.8571428571429,30.4999995714286,36.7142857142857,48.1428571428571,73.084376,99.1428571428571,1,0,,,,,,,0.5680647467311558,0.8229838658936564,0
2010-02-07,201006,2010,6,1,1.0,,0.06719292,2,0.5916454,22.8571428571429,28.494447,34.0,52.1428571428571,77.0444257142857,100.0,1,0,,,,,,,0.6631226582407952,0.7485107481711011,0
2010-02-14,201007,2010,7,8,8.0,,0.53754336,2,4.779653,21.2857142857143,25.7116227142857,30.0,66.2857142857143,84.088555,100.0,1,1,,,,,,,0.7485107481711011,0.6631226582407953,0
2010-02-21,201008,2010,8,13,13.0,,0.873508,3,3.828398,19.4285714285714,25.0824368571429,30.0,55.2857142857143,77.3166258571429,100.0,1,1,,,,,,,0.8229838658936564,0.5680647467311558,0
2010-02-28,201009,2010,9,17,17.0,,1.1422796,3,2.2486475,18.8571428571429,25.4828287142857,31.1428571428571,51.5714285714286,76.2128084285714,100.0,1,1,,,,,,,0.8854560256532098,0.4647231720437686,0
2010-03-07,201010,2010,10,12,12.0,,0.80631506,3,1.0048481,20.8571428571429,24.5225562857143,28.7142857142857,63.8571428571429,87.307435,100.0,1,0,,,,,,,0.9350162426854148,0.35460488704253557,0
2010-03-14,201011,2010,11,11,11.0,,0.73912215,1,0.79355437,17.0,24.5280847142857,30.4285714285714,51.0,76.9049092857143,100.0,0,0,,,,,,,0.970941817426052,0.23931566428755804,0
2010-03-21,201012,2010,12,8,8.0,,0.53754336,1,0.6283436,21.0,24.227653,27.1428571428571,73.5714285714286,88.7965742857143,100.0,1,0,,,,,,,0.992708874098054,0.120536680255323,0
2010-03-28,201013,2010,13,11,11.0,,0.73912215,1,1.0186871,18.5714285714286,24.1954885714286,29.1428571428571,61.8571428571429,84.4736842857143,100.0,1,0,,,,,,,1.0,-1.6081226496766366e-16,0
2010-04-04,201014,2010,14,6,6.0,,0.40315753,1,0.6273641,13.7142857142857,19.1395154285714,24.1428571428571,55.4285714285714,83.3149535714286,100.0,0,0,,,,,,,0.992708874098054,-0.12053668025532288,0
2010-04-11,201015,2010,15,4,4.0,,0.26877168,1,0.46289352,14.7142857142857,22.010025,28.0,48.7142857142857,75.3157891428571,100.0,0,0,,,,,,,0.9709418174260521,-0.2393156642875575,0
2010-04-18,201016,2010,16,5,5.0,,0.33596462,1,0.7379552,17.4285714285714,21.378151,25.1428571428571,74.0,89.6738894285714,100.0,1,0,,,,,,,0.9350162426854148,-0.35460488704253545,0
2010-04-25,201017,2010,17,2,2.0,,0.13438584,1,0.40029827,11.7142857142857,17.1173768571429,22.4285714285714,67.4285714285714,89.6315795714286,100.0,0,0,,,,,,,0.8854560256532099,-0.4647231720437685,0
2010-05-02,201018,2010,18,1,1.0,,0.06719292,1,0.2581105,13.7142857142857,18.4919894285714,23.4285714285714,63.5714285714286,86.5164887142857,100.0,0,0,,,,,,,0.8229838658936565,-0.5680647467311557,0
2010-05-09,201019,2010,19,1,1.0,,0.06719292,1,0.3925049,12.8571428571429,16.7535261428571,20.8571428571429,75.1428571428571,92.9334857142857,100.0,0,0,,,,,,,0.7485107481711013,-0.6631226582407951,0
2010-05-16,201020,2010,20,3,3.0,,0.20157877,1,1.9043641,14.4285714285714,17.3358395714286,20.1428571428571,79.4285714285714,92.1741864285714,100.0,0,0,,,,,,,0.6631226582407952,-0.7485107481711012,0
2010-05-23,201021,2010,21,5,5.0,,0.33596462,1,2.8289096,15.7142857142857,18.7184625714286,22.0,76.2857142857143,91.8370908571429,100.0,0,0,,,,,,,0.5680647467311558,-0.8229838658936564,0
